domain,case,attempts,official_ok,non_ok,campaign_best_candidate,campaign_best_area,campaign_best_delay,campaign_best_adp,baseline_frontend_adp,delta_vs_baseline,improved_vs_baseline,reference_adp,verilog_path,aig_path,log_path,agent_id,method_signature
unknown,ex286,40,40,0,ex286_r8_current_muxclean_aig,1346,15,20190,20190,0,0,2376,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-hard-r8/ex286/verilog/ex286_r8_current_muxclean_aig.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-hard-r8/ex286/aigs/ex286_r8_current_muxclean_aig.aig,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-hard-r8/ex286/logs/ex286_r8_current_muxclean_aig.evaluate.py.log,unknown-hard-r8,ex286|current_best_source_preserving_rewrite|muxclean_aig_flow|current_frontend_best_symcof_onehot-group_source|yosys_frontend_abc_g_aig|official_evaluate|all_outputs
unknown,ex287,43,43,0,ex287_r8_current_muxclean_aig,1680,16,26880,26880,0,0,5782,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-hard-r8/ex287/verilog/ex287_r8_current_muxclean_aig.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-hard-r8/ex287/aigs/ex287_r8_current_muxclean_aig.aig,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-hard-r8/ex287/logs/ex287_r8_current_muxclean_aig.evaluate.py.log,unknown-hard-r8,ex287|current_best_source_preserving_rewrite|muxclean_aig_flow|current_frontend_best_k4_full-word_case_source|yosys_frontend_abc_g_aig|official_evaluate|all_outputs
unknown,ex288,13,12,1,ex288_r8_current_keybdd_synth_preset_control,2173,14,30422,31598,1176,1,16394,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-mid-r8/ex288/verilog/ex288_r8_current_keybdd_synth_preset_control.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-mid-r8/ex288/aigs/ex288_r8_current_keybdd_synth_preset_control.aig,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-mid-r8/ex288/logs/ex288_r8_current_keybdd_synth_preset_control.evaluate.py.log,unknown-mid-r8,ex288|source_preserving_synth_preset_control|direct_current_source|no_output_overlay|yosys_synth_preset|official_evaluate|all_outputs
unknown,ex289,5,4,1,ex289_r7_split2_case_edge_overlay,1071,20,21420,,,,,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-mid-r7/ex289/verilog/ex289_r7_split2_case_edge_overlay.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-mid-r7/ex289/aigs/ex289_r7_split2_case_edge_overlay.aig,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-mid-r7/ex289/logs/ex289_r7_split2_case_edge_overlay.evaluate.py.log,unknown-mid-r7,ex289|split2_duality_output_plane_overlay|case_group_edge_planes|f10_onehot_xor_base_plus_f10_case_edges|yosys_internal_abc_g_aig|official_evaluate|bits_0_1_14_15
unknown,ex290,7,7,0,ex290_r8_rotate_parallel_case_attrs,4376,14,61264,,,,,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-mid-r8/ex290/verilog/ex290_r8_rotate_parallel_case_attrs.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-mid-r8/ex290/aigs/ex290_r8_rotate_parallel_case_attrs.aig,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-mid-r8/ex290/logs/ex290_r8_rotate_parallel_case_attrs.evaluate.py.log,unknown-mid-r8,ex290|global_state_rotate_split_source_attrs|parallel_case|rotate_high_split_nested_cases|yosys_synth_preset|official_evaluate|all_outputs
unknown,ex291,7,7,0,ex291_r8_rotate_parallel_case_attrs,6447,14,90258,,,,,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-mid-r8/ex291/verilog/ex291_r8_rotate_parallel_case_attrs.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-mid-r8/ex291/aigs/ex291_r8_rotate_parallel_case_attrs.aig,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-mid-r8/ex291/logs/ex291_r8_rotate_parallel_case_attrs.evaluate.py.log,unknown-mid-r8,ex291|global_state_rotate_split_source_attrs|parallel_case|rotate_high_split_nested_cases|yosys_synth_preset|official_evaluate|all_outputs
unknown,ex292,51,51,0,ex292_r8_mod7_4_drop_mod7_13,6743,20,134860,135780,920,1,84854,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-mid-r8/ex292/verilog/ex292_r8_mod7_4_drop_mod7_13.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-mid-r8/ex292/aigs/ex292_r8_mod7_4_drop_mod7_13.aig,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-mid-r8/ex292/logs/ex292_r8_mod7_4_drop_mod7_13.evaluate.py.log,unknown-mid-r8,ex292|global_state_output_plane_overlay_guarded_sweep|adj_2_3_10_11_mod7_0_4_7|mod4_base_plus_adjacent_and_mod7_selected_planes|yosys_internal_abc_g_aig|official_evaluate|delay20_guard
unknown,ex294,15,15,0,ex294_r8_current_synth_preset,10497,21,220437,234608,14171,1,133365,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-large-r8/ex294/verilog/ex294_r8_current_synth_preset.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-large-r8/ex294/aigs/ex294_r8_current_synth_preset.aig,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-large-r8/ex294/logs/ex294_r8_current_synth_preset.yosys.log,unknown-large-r8,ex294|global_state_octant_descriptor_cofactor|current_source_flow_probe|direct_current_source|yosys_synth_flatten_abc_g_aig|official_evaluate|all_outputs
unknown,ex297,17,15,2,ex297_r9_casez_full_parallel_synth_preset,26188,16,419008,425024,6016,1,225900,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-wide-r9/ex297/verilog/ex297_r9_casez_full_parallel_synth_preset.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-wide-r9/ex297/aigs/ex297_r9_casez_full_parallel_synth_preset.aig,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-wide-r9/ex297/logs/ex297_r9_casez_full_parallel_synth_preset.yosys.log,unknown-wide-r9,ex297|cyclic_2bit_selector_state_paired_classes|casez_full_parallel_synth_preset|cell_bit_template_case_boundary_attrs|yosys_synth_flatten_abc_g_aig|official_evaluate|cell_pair_outputs
unknown,ex298,3,3,0,ex298_r7_rotate_split_parallel_case_attrs,33802,18,608436,,,,,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-large-r7/ex298/verilog/ex298_r7_rotate_split_parallel_case_attrs.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-large-r7/ex298/aigs/ex298_r7_rotate_split_parallel_case_attrs.aig,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-large-r7/ex298/logs/ex298_r7_rotate_split_parallel_case_attrs.yosys.log,unknown-large-r7,ex298|open_boundary_source_split_compression|parallel_case_attrs|rotate_high_split_nested_cases|yosys_synth_preset|official_evaluate|all_outputs
unknown,ex299,18,17,1,ex299_r9_pairsel_center_quad_synth_preset,96502,18,1737036,1774260,37224,1,1013807,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-wide-r9/ex299/verilog/ex299_r9_pairsel_center_quad_synth_preset.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-wide-r9/ex299/aigs/ex299_r9_pairsel_center_quad_synth_preset.aig,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-wide-r9/ex299/logs/ex299_r9_pairsel_center_quad_synth_preset.yosys.log,unknown-wide-r9,ex299|cyclic_2bit_symbol_sparse_bridge_overlay|pairsel_center_quad_6_7_8_9|static_pair89_base_plus_pairsel_center_quad|yosys_synth_flatten_abc_g_aig|official_evaluate|bits_6_7_8_9
