case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high2_node,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_high2_node,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high2_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high2_node.aig,1,1,1,729,29,21141,0.870,transform=prefix_parity_reduce; threshold=0; group_mode=high2; order_metric=node; groups=2; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=627; max_est_depth=15; orders=0:endpoint_rev:bits=0.1.2.3.4.5.6.7.8.9:nodes=184:depth=15:emit=516|1:rot3:bits=10.11:nodes=46:depth=14:emit=111; hash=420ec9645800,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high7_depth,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_high7_depth,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high7_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high7_depth.aig,1,1,1,732,33,24156,0.886,transform=prefix_parity_reduce; threshold=0; group_mode=high7; order_metric=depth; groups=2; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=702; max_est_depth=14; orders=0:lsb:bits=0.1.2.3.4:nodes=97:depth=11:emit=251|1:center:bits=5.6.7.8.9.10.11:nodes=171:depth=14:emit=451; hash=e5bc69ad0181,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split2_node,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_split2_node,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split2_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split2_node.aig,1,1,1,752,29,21808,0.887,transform=prefix_parity_reduce; threshold=0; group_mode=split2; order_metric=node; groups=6; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=657; max_est_depth=14; orders=0:endpoint:bits=0.1:nodes=27:depth=10:emit=43|1:center:bits=2.3:nodes=42:depth=13:emit=78|2:endpoint:bits=4.5:nodes=48:depth=12:emit=105|3:endpoint:bits=6.7:nodes=84:depth=13:emit=181|4:center:bits=8.9:nodes=67:depth=14:emit=139|5:rot3:bits=10.11:nodes=46:depth=14:emit=111; hash=5c394c2b5c2d,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split2_depth,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_split2_depth,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split2_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split2_depth.aig,1,1,1,817,29,23693,0.924,transform=prefix_parity_reduce; threshold=0; group_mode=split2; order_metric=depth; groups=6; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=719; max_est_depth=14; orders=0:endpoint:bits=0.1:nodes=27:depth=10:emit=43|1:endpoint:bits=2.3:nodes=48:depth=11:emit=83|2:rot1:bits=4.5:nodes=73:depth=11:emit=162|3:endpoint:bits=6.7:nodes=84:depth=13:emit=181|4:center:bits=8.9:nodes=67:depth=14:emit=139|5:rot3:bits=10.11:nodes=46:depth=14:emit=111; hash=9bf6035ca075,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split3_node,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_split3_node,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split3_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split3_node.aig,1,1,1,777,28,21756,0.895,transform=prefix_parity_reduce; threshold=0; group_mode=split3; order_metric=node; groups=4; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=641; max_est_depth=14; orders=0:endpoint:bits=0.1.2:nodes=48:depth=11:emit=81|1:center:bits=3.4.5:nodes=62:depth=14:emit=126|2:endpoint:bits=6.7.8:nodes=114:depth=14:emit=269|3:center:bits=9.10.11:nodes=60:depth=14:emit=165; hash=700ed118f131,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split3_depth,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_split3_depth,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split3_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split3_depth.aig,1,1,1,740,28,20720,0.880,transform=prefix_parity_reduce; threshold=0; group_mode=split3; order_metric=depth; groups=4; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=660; max_est_depth=14; orders=0:endpoint:bits=0.1.2:nodes=48:depth=11:emit=81|1:endpoint:bits=3.4.5:nodes=66:depth=12:emit=145|2:endpoint:bits=6.7.8:nodes=114:depth=14:emit=269|3:center:bits=9.10.11:nodes=60:depth=14:emit=165; hash=2ae6ca232253,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split4_node,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_split4_node,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split4_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split4_node.aig,1,1,1,726,30,21780,0.916,transform=prefix_parity_reduce; threshold=0; group_mode=split4; order_metric=node; groups=3; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=628; max_est_depth=14; orders=0:center:bits=0.1.2.3:nodes=62:depth=13:emit=115|1:endpoint_rev:bits=4.5.6.7:nodes=113:depth=14:emit=274|2:center:bits=8.9.10.11:nodes=84:depth=14:emit=239; hash=025763108b75,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split4_depth,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_split4_depth,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split4_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split4_depth.aig,1,1,1,733,29,21257,0.890,transform=prefix_parity_reduce; threshold=0; group_mode=split4; order_metric=depth; groups=3; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=639; max_est_depth=14; orders=0:endpoint:bits=0.1.2.3:nodes=63:depth=11:emit=122|1:endpoint:bits=4.5.6.7:nodes=115:depth=13:emit=278|2:center:bits=8.9.10.11:nodes=84:depth=14:emit=239; hash=50e46eb24a36,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split5_node,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_split5_node,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split5_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split5_node.aig,1,1,1,671,30,20130,0.873,transform=prefix_parity_reduce; threshold=0; group_mode=split5; order_metric=node; groups=3; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=606; max_est_depth=15; orders=0:center:bits=0.1.2.3.4:nodes=74:depth=14:emit=146|1:endpoint_rev:bits=5.6.7.8.9:nodes=151:depth=15:emit=349|2:rot3:bits=10.11:nodes=46:depth=14:emit=111; hash=cde67b173173,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split5_depth,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_split5_depth,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split5_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split5_depth.aig,1,1,1,747,30,22410,0.888,transform=prefix_parity_reduce; threshold=0; group_mode=split5; order_metric=depth; groups=3; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=727; max_est_depth=14; orders=0:lsb:bits=0.1.2.3.4:nodes=97:depth=11:emit=251|1:endpoint:bits=5.6.7.8.9:nodes=153:depth=14:emit=365|2:rot3:bits=10.11:nodes=46:depth=14:emit=111; hash=bb26bc829b76,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split6_node,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_split6_node,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split6_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split6_node.aig,1,1,1,704,34,23936,0.859,transform=prefix_parity_reduce; threshold=0; group_mode=split6; order_metric=node; groups=2; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=575; max_est_depth=14; orders=0:center:bits=0.1.2.3.4.5:nodes=91:depth=14:emit=189|1:endpoint:bits=6.7.8.9.10.11:nodes=150:depth=14:emit=386; hash=bc93898023c5,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split6_depth,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_split6_depth,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split6_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split6_depth.aig,1,1,1,730,34,24820,0.868,transform=prefix_parity_reduce; threshold=0; group_mode=split6; order_metric=depth; groups=2; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=608; max_est_depth=14; orders=0:endpoint:bits=0.1.2.3.4.5:nodes=99:depth=12:emit=222|1:endpoint:bits=6.7.8.9.10.11:nodes=150:depth=14:emit=386; hash=88e72437a25a,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split7_node,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_split7_node,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split7_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split7_node.aig,1,1,1,748,32,23936,0.888,transform=prefix_parity_reduce; threshold=0; group_mode=split7; order_metric=node; groups=2; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=634; max_est_depth=14; orders=0:endpoint_rev:bits=0.1.2.3.4.5.6:nodes=108:depth=14:emit=306|1:center:bits=7.8.9.10.11:nodes=116:depth=14:emit=328; hash=ee8d1f08bb22,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split7_depth,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_split7_depth,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split7_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split7_depth.aig,1,1,1,759,29,22011,0.890,transform=prefix_parity_reduce; threshold=0; group_mode=split7; order_metric=depth; groups=2; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=620; max_est_depth=14; orders=0:endpoint:bits=0.1.2.3.4.5.6:nodes=122:depth=12:emit=292|1:center:bits=7.8.9.10.11:nodes=116:depth=14:emit=328; hash=1623f61ce796,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low2_node,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_low2_node,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low2_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low2_node.aig,1,1,1,743,32,23776,0.877,transform=prefix_parity_reduce; threshold=0; group_mode=low2; order_metric=node; groups=2; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=565; max_est_depth=14; orders=0:endpoint:bits=0.1:nodes=27:depth=10:emit=43|1:center:bits=2.3.4.5.6.7.8.9.10.11:nodes=196:depth=14:emit=522; hash=f09884666637,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low2_depth,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_low2_depth,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low2_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low2_depth.aig,1,1,1,743,32,23776,0.874,transform=prefix_parity_reduce; threshold=0; group_mode=low2; order_metric=depth; groups=2; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=565; max_est_depth=14; orders=0:endpoint:bits=0.1:nodes=27:depth=10:emit=43|1:center:bits=2.3.4.5.6.7.8.9.10.11:nodes=196:depth=14:emit=522; hash=f09884666637,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low3_node,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_low3_node,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low3_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low3_node.aig,1,1,1,718,36,25848,0.869,transform=prefix_parity_reduce; threshold=0; group_mode=low3; order_metric=node; groups=2; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=580; max_est_depth=14; orders=0:endpoint:bits=0.1.2:nodes=48:depth=11:emit=81|1:center:bits=3.4.5.6.7.8.9.10.11:nodes=190:depth=14:emit=499; hash=acee59350dad,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low3_depth,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_low3_depth,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low3_depth.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low3_depth.aig,1,1,1,718,36,25848,0.870,transform=prefix_parity_reduce; threshold=0; group_mode=low3; order_metric=depth; groups=2; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=580; max_est_depth=14; orders=0:endpoint:bits=0.1.2:nodes=48:depth=11:emit=81|1:center:bits=3.4.5.6.7.8.9.10.11:nodes=190:depth=14:emit=499; hash=acee59350dad,unknown grouped ANF/Davio Verilog seed
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low4_node,unknown_grouped_anf_davio,prefix_parity_reduce_deg0_low4_node,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low4_node.v,student/work/ex280_frontend_grouped_davio_refine_20260608_2348/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_low4_node.aig,1,1,1,736,32,23552,0.866,transform=prefix_parity_reduce; threshold=0; group_mode=low4; order_metric=node; groups=2; direct_terms=0; residual_terms=932; direct_unique=0; davio_nodes=598; max_est_depth=14; orders=0:center:bits=0.1.2.3:nodes=62:depth=13:emit=115|1:endpoint:bits=4.5.6.7.8.9.10.11:nodes=181:depth=14:emit=483; hash=59505035308b,unknown grouped ANF/Davio Verilog seed
