case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace_center_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_center_hcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/verilog/ex260_smul_baugh_wooley_wallace_center_hcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_center_hcla4_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.217,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_center_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_evenodd_hcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_evenodd_hcla4+synth_preset_d13,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/verilog/ex260_smul_baugh_wooley_wallace_evenodd_hcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_evenodd_hcla4_synth_preset_d13.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.251,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_evenodd_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_evenodd_rhcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_evenodd_rhcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/verilog/ex260_smul_baugh_wooley_wallace_evenodd_rhcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_evenodd_rhcla4_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.201,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_evenodd_rhcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_evenodd_rhcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_evenodd_rhcla4+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/verilog/ex260_smul_baugh_wooley_wallace_evenodd_rhcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_evenodd_rhcla4_wreduce_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.208,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_evenodd_rhcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_evenodd_rhcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_evenodd_rhcla4+synth_preset_d13,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/verilog/ex260_smul_baugh_wooley_wallace_evenodd_rhcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_evenodd_rhcla4_synth_preset_d13.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.269,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_evenodd_rhcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,1,1,1,88,13,1144,657,1.741248,0,0,0.201,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig.aig,1,1,1,88,13,1144,657,1.741248,0,0,0.230,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+synth_preset_d13,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13.aig,1,1,1,88,16,1408,657,2.143075,0,0,0.272,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_outside_rhcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_rhcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_rhcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_rhcla4_abc_g_aig.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.201,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_rhcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_rhcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_rhcla4+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_rhcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_rhcla4_wreduce_abc_g_aig.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.200,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_rhcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_rhcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_outside_rhcla4+synth_preset_d13,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_rhcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_rhcla4_synth_preset_d13.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.265,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_rhcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_rhcla3_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_rhcla3+abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_rhcla3.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_rhcla3_abc_g_aig.aig,1,1,1,87,16,1392,657,2.118721,0,0,0.215,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_rhcla3; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_rhcla3_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_rhcla3+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_rhcla3.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_rhcla3_wreduce_abc_g_aig.aig,1,1,1,87,16,1392,657,2.118721,0,0,0.200,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_rhcla3; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_rhcla3_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_rhcla3+synth_preset_d13,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_rhcla3.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_rhcla3_synth_preset_d13.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.266,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_rhcla3; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_center_hcla4_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_center_hcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/verilog/ex261_smul_baugh_wooley_wallace_center_hcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/aigs/ex261_smul_baugh_wooley_wallace_center_hcla4_abc_g_aig.aig,1,1,1,165,19,3135,2041,1.536012,0,0,0.241,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_center_hcla4; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_center_hcla4_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_center_hcla4+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/verilog/ex261_smul_baugh_wooley_wallace_center_hcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/aigs/ex261_smul_baugh_wooley_wallace_center_hcla4_wreduce_abc_g_aig.aig,1,1,1,165,19,3135,2041,1.536012,0,0,0.251,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_center_hcla4; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_center_hcla4_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_center_hcla4+synth_preset_d13,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/verilog/ex261_smul_baugh_wooley_wallace_center_hcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/aigs/ex261_smul_baugh_wooley_wallace_center_hcla4_synth_preset_d13.aig,1,1,1,167,19,3173,2041,1.554630,0,0,0.313,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_center_hcla4; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_center_rhcla3_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_center_rhcla3+abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/verilog/ex261_smul_baugh_wooley_wallace_center_rhcla3.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/aigs/ex261_smul_baugh_wooley_wallace_center_rhcla3_abc_g_aig.aig,1,1,1,161,19,3059,2041,1.498775,1,0,0.234,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_center_rhcla3; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_center_rhcla3_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_center_rhcla3+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/verilog/ex261_smul_baugh_wooley_wallace_center_rhcla3.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/aigs/ex261_smul_baugh_wooley_wallace_center_rhcla3_wreduce_abc_g_aig.aig,1,1,1,160,20,3200,2041,1.567859,0,0,0.240,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_center_rhcla3; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_center_rhcla3_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_center_rhcla3+synth_preset_d13,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/verilog/ex261_smul_baugh_wooley_wallace_center_rhcla3.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/aigs/ex261_smul_baugh_wooley_wallace_center_rhcla3_synth_preset_d13.aig,1,1,1,166,19,3154,2041,1.545321,0,0,0.308,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_center_rhcla3; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_center_rhcla4_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_center_rhcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/verilog/ex261_smul_baugh_wooley_wallace_center_rhcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/aigs/ex261_smul_baugh_wooley_wallace_center_rhcla4_abc_g_aig.aig,1,1,1,165,18,2970,2041,1.455169,1,0,0.232,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_center_rhcla4; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_center_rhcla4_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_center_rhcla4+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/verilog/ex261_smul_baugh_wooley_wallace_center_rhcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/aigs/ex261_smul_baugh_wooley_wallace_center_rhcla4_wreduce_abc_g_aig.aig,1,1,1,164,19,3116,2041,1.526703,0,0,0.240,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_center_rhcla4; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_center_rhcla4_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_center_rhcla4+synth_preset_d13,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/verilog/ex261_smul_baugh_wooley_wallace_center_rhcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/aigs/ex261_smul_baugh_wooley_wallace_center_rhcla4_synth_preset_d13.aig,1,1,1,165,19,3135,2041,1.536012,0,0,0.309,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_center_rhcla4; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_evenodd_hcla4_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_evenodd_hcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/verilog/ex261_smul_baugh_wooley_wallace_evenodd_hcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/aigs/ex261_smul_baugh_wooley_wallace_evenodd_hcla4_abc_g_aig.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.237,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_evenodd_hcla4; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_evenodd_hcla4_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_evenodd_hcla4+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/verilog/ex261_smul_baugh_wooley_wallace_evenodd_hcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/aigs/ex261_smul_baugh_wooley_wallace_evenodd_hcla4_wreduce_abc_g_aig.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.241,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_evenodd_hcla4; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_evenodd_hcla4_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_evenodd_hcla4+synth_preset_d13,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/verilog/ex261_smul_baugh_wooley_wallace_evenodd_hcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/aigs/ex261_smul_baugh_wooley_wallace_evenodd_hcla4_synth_preset_d13.aig,1,1,1,165,18,2970,2041,1.455169,1,0,0.343,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_evenodd_hcla4; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_evenodd_rhcla4_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_evenodd_rhcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/verilog/ex261_smul_baugh_wooley_wallace_evenodd_rhcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/aigs/ex261_smul_baugh_wooley_wallace_evenodd_rhcla4_abc_g_aig.aig,1,1,1,162,20,3240,2041,1.587457,0,0,0.226,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_evenodd_rhcla4; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_evenodd_rhcla4_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_evenodd_rhcla4+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/verilog/ex261_smul_baugh_wooley_wallace_evenodd_rhcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/aigs/ex261_smul_baugh_wooley_wallace_evenodd_rhcla4_wreduce_abc_g_aig.aig,1,1,1,162,20,3240,2041,1.587457,0,0,0.230,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_evenodd_rhcla4; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_evenodd_rhcla4_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_evenodd_rhcla4+synth_preset_d13,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/verilog/ex261_smul_baugh_wooley_wallace_evenodd_rhcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/aigs/ex261_smul_baugh_wooley_wallace_evenodd_rhcla4_synth_preset_d13.aig,1,1,1,164,19,3116,2041,1.526703,0,0,0.301,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_evenodd_rhcla4; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_rev_hcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/verilog/ex261_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/aigs/ex261_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.247,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig
