case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_prefix3_ge_tree_msb_abc_g_aig,unsigned_floor_isqrt,prefix3_ge_tree_msb+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix3_ge_tree_msb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix3_ge_tree_msb_abc_g_aig.aig,1,1,1,46,9,414,204,2.029412,0,0,0.222,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_ge_tree_msb; flow=abc_g_aig
ex275,ex275_isqrt_prefix5_ge_tree_msb_abc_g_aig,unsigned_floor_isqrt,prefix5_ge_tree_msb+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix5_ge_tree_msb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix5_ge_tree_msb_abc_g_aig.aig,1,1,1,45,10,450,204,2.205882,0,0,0.225,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_ge_tree_msb; flow=abc_g_aig
ex275,ex275_isqrt_prefix5_ge_tree_msb_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix5_ge_tree_msb+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix5_ge_tree_msb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix5_ge_tree_msb_wreduce_abc_g_aig.aig,1,1,1,46,9,414,204,2.029412,0,0,0.236,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_ge_tree_msb; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix5_ge_tree_msb_arith_wreduce_aig,unsigned_floor_isqrt,prefix5_ge_tree_msb+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix5_ge_tree_msb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix5_ge_tree_msb_arith_wreduce_aig.aig,1,1,1,45,10,450,204,2.205882,0,0,0.217,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_ge_tree_msb; flow=arith_wreduce_aig
ex275,ex275_isqrt_prefix5_ge_tree_msb_synth_preset,unsigned_floor_isqrt,prefix5_ge_tree_msb+synth_preset,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix5_ge_tree_msb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix5_ge_tree_msb_synth_preset.aig,1,1,1,45,9,405,204,1.985294,0,0,0.277,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_ge_tree_msb; flow=synth_preset
ex275,ex275_isqrt_prefix5_ge_tree_msb_synth_preset_d6,unsigned_floor_isqrt,prefix5_ge_tree_msb+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix5_ge_tree_msb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix5_ge_tree_msb_synth_preset_d6.aig,1,1,1,45,9,405,204,1.985294,0,0,0.275,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_ge_tree_msb; flow=synth_preset_d6
ex275,ex275_isqrt_prefix5_ge_tree_msb_synth_preset_d8,unsigned_floor_isqrt,prefix5_ge_tree_msb+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix5_ge_tree_msb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix5_ge_tree_msb_synth_preset_d8.aig,1,1,1,45,9,405,204,1.985294,0,0,0.276,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_ge_tree_msb; flow=synth_preset_d8
ex275,ex275_isqrt_prefix5_ge_tree_msb_synth_preset_d10,unsigned_floor_isqrt,prefix5_ge_tree_msb+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix5_ge_tree_msb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix5_ge_tree_msb_synth_preset_d10.aig,1,1,1,45,9,405,204,1.985294,0,0,0.273,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_ge_tree_msb; flow=synth_preset_d10
ex275,ex275_isqrt_prefix3_ge_tree_lsb_abc_g_aig,unsigned_floor_isqrt,prefix3_ge_tree_lsb+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix3_ge_tree_lsb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix3_ge_tree_lsb_abc_g_aig.aig,1,1,1,44,10,440,204,2.156863,0,0,0.214,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_ge_tree_lsb; flow=abc_g_aig
ex275,ex275_isqrt_prefix3_ge_tree_lsb_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix3_ge_tree_lsb+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix3_ge_tree_lsb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix3_ge_tree_lsb_wreduce_abc_g_aig.aig,1,1,1,45,9,405,204,1.985294,0,0,0.223,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_ge_tree_lsb; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix3_ge_tree_lsb_arith_wreduce_aig,unsigned_floor_isqrt,prefix3_ge_tree_lsb+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix3_ge_tree_lsb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix3_ge_tree_lsb_arith_wreduce_aig.aig,1,1,1,44,10,440,204,2.156863,0,0,0.221,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_ge_tree_lsb; flow=arith_wreduce_aig
ex275,ex275_isqrt_prefix3_ge_tree_lsb_synth_preset,unsigned_floor_isqrt,prefix3_ge_tree_lsb+synth_preset,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix3_ge_tree_lsb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix3_ge_tree_lsb_synth_preset.aig,1,1,1,44,9,396,204,1.941176,0,0,0.286,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_ge_tree_lsb; flow=synth_preset
ex275,ex275_isqrt_prefix3_ge_tree_lsb_synth_preset_d6,unsigned_floor_isqrt,prefix3_ge_tree_lsb+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix3_ge_tree_lsb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix3_ge_tree_lsb_synth_preset_d6.aig,1,1,1,44,9,396,204,1.941176,0,0,0.286,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_ge_tree_lsb; flow=synth_preset_d6
ex275,ex275_isqrt_prefix3_ge_tree_lsb_synth_preset_d8,unsigned_floor_isqrt,prefix3_ge_tree_lsb+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix3_ge_tree_lsb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix3_ge_tree_lsb_synth_preset_d8.aig,1,1,1,44,9,396,204,1.941176,0,0,0.286,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_ge_tree_lsb; flow=synth_preset_d8
ex275,ex275_isqrt_prefix3_ge_tree_lsb_synth_preset_d10,unsigned_floor_isqrt,prefix3_ge_tree_lsb+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix3_ge_tree_lsb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix3_ge_tree_lsb_synth_preset_d10.aig,1,1,1,44,9,396,204,1.941176,0,0,0.286,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_ge_tree_lsb; flow=synth_preset_d10
ex275,ex275_isqrt_prefix4_ge_tree_lsb_abc_g_aig,unsigned_floor_isqrt,prefix4_ge_tree_lsb+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_ge_tree_lsb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_ge_tree_lsb_abc_g_aig.aig,1,1,1,50,8,400,204,1.960784,0,0,0.208,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_ge_tree_lsb; flow=abc_g_aig
ex275,ex275_isqrt_prefix4_ge_tree_lsb_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix4_ge_tree_lsb+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_ge_tree_lsb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_ge_tree_lsb_wreduce_abc_g_aig.aig,1,1,1,45,9,405,204,1.985294,0,0,0.215,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_ge_tree_lsb; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix4_ge_tree_lsb_arith_wreduce_aig,unsigned_floor_isqrt,prefix4_ge_tree_lsb+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_ge_tree_lsb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_ge_tree_lsb_arith_wreduce_aig.aig,1,1,1,50,8,400,204,1.960784,0,0,0.210,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_ge_tree_lsb; flow=arith_wreduce_aig
ex275,ex275_isqrt_prefix4_ge_tree_lsb_synth_preset,unsigned_floor_isqrt,prefix4_ge_tree_lsb+synth_preset,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_ge_tree_lsb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_ge_tree_lsb_synth_preset.aig,1,1,1,42,10,420,204,2.058824,0,0,0.276,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_ge_tree_lsb; flow=synth_preset
ex275,ex275_isqrt_prefix4_ge_tree_lsb_synth_preset_d6,unsigned_floor_isqrt,prefix4_ge_tree_lsb+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_ge_tree_lsb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_ge_tree_lsb_synth_preset_d6.aig,1,1,1,42,10,420,204,2.058824,0,0,0.282,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_ge_tree_lsb; flow=synth_preset_d6
ex275,ex275_isqrt_prefix4_ge_tree_lsb_synth_preset_d8,unsigned_floor_isqrt,prefix4_ge_tree_lsb+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_ge_tree_lsb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_ge_tree_lsb_synth_preset_d8.aig,1,1,1,42,10,420,204,2.058824,0,0,0.277,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_ge_tree_lsb; flow=synth_preset_d8
ex275,ex275_isqrt_prefix4_ge_tree_lsb_synth_preset_d10,unsigned_floor_isqrt,prefix4_ge_tree_lsb+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix4_ge_tree_lsb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix4_ge_tree_lsb_synth_preset_d10.aig,1,1,1,42,10,420,204,2.058824,0,0,0.275,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_ge_tree_lsb; flow=synth_preset_d10
ex275,ex275_isqrt_prefix5_ge_tree_lsb_abc_g_aig,unsigned_floor_isqrt,prefix5_ge_tree_lsb+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix5_ge_tree_lsb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix5_ge_tree_lsb_abc_g_aig.aig,1,1,1,52,8,416,204,2.039216,0,0,0.209,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_ge_tree_lsb; flow=abc_g_aig
ex275,ex275_isqrt_prefix5_ge_tree_lsb_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix5_ge_tree_lsb+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix5_ge_tree_lsb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix5_ge_tree_lsb_wreduce_abc_g_aig.aig,1,1,1,52,8,416,204,2.039216,0,0,0.211,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_ge_tree_lsb; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix5_ge_tree_lsb_arith_wreduce_aig,unsigned_floor_isqrt,prefix5_ge_tree_lsb+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix5_ge_tree_lsb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix5_ge_tree_lsb_arith_wreduce_aig.aig,1,1,1,43,7,301,204,1.475490,1,0,0.212,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_ge_tree_lsb; flow=arith_wreduce_aig
ex275,ex275_isqrt_prefix5_ge_tree_lsb_synth_preset,unsigned_floor_isqrt,prefix5_ge_tree_lsb+synth_preset,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix5_ge_tree_lsb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix5_ge_tree_lsb_synth_preset.aig,1,1,1,55,9,495,204,2.426471,0,0,0.286,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_ge_tree_lsb; flow=synth_preset
ex275,ex275_isqrt_prefix5_ge_tree_lsb_synth_preset_d6,unsigned_floor_isqrt,prefix5_ge_tree_lsb+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix5_ge_tree_lsb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix5_ge_tree_lsb_synth_preset_d6.aig,1,1,1,55,9,495,204,2.426471,0,0,0.281,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_ge_tree_lsb; flow=synth_preset_d6
ex275,ex275_isqrt_prefix5_ge_tree_lsb_synth_preset_d8,unsigned_floor_isqrt,prefix5_ge_tree_lsb+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix5_ge_tree_lsb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix5_ge_tree_lsb_synth_preset_d8.aig,1,1,1,55,9,495,204,2.426471,0,0,0.287,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_ge_tree_lsb; flow=synth_preset_d8
ex275,ex275_isqrt_prefix5_ge_tree_lsb_synth_preset_d10,unsigned_floor_isqrt,prefix5_ge_tree_lsb+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/verilog/ex275_isqrt_prefix5_ge_tree_lsb.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex275/aigs/ex275_isqrt_prefix5_ge_tree_lsb_synth_preset_d10.aig,1,1,1,55,9,495,204,2.426471,0,0,0.284,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_ge_tree_lsb; flow=synth_preset_d10
