case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex276,ex276_isqrt_threshold_popcount_synth_preset_d6,unsigned_floor_isqrt,threshold_popcount+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/verilog/ex276_isqrt_threshold_popcount.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/aigs/ex276_isqrt_threshold_popcount_synth_preset_d6.aig,1,1,1,189,27,5103,632,8.074367,0,0,0.553,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=threshold_popcount; flow=synth_preset_d6
ex276,ex276_isqrt_threshold_popcount_synth_preset_d8,unsigned_floor_isqrt,threshold_popcount+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/verilog/ex276_isqrt_threshold_popcount.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/aigs/ex276_isqrt_threshold_popcount_synth_preset_d8.aig,1,1,1,189,27,5103,632,8.074367,0,0,0.531,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=threshold_popcount; flow=synth_preset_d8
ex276,ex276_isqrt_threshold_popcount_synth_preset_d10,unsigned_floor_isqrt,threshold_popcount+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/verilog/ex276_isqrt_threshold_popcount.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/aigs/ex276_isqrt_threshold_popcount_synth_preset_d10.aig,1,1,1,189,27,5103,632,8.074367,0,0,0.498,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=threshold_popcount; flow=synth_preset_d10
ex276,ex276_isqrt_threshold_xor_abc_g_aig,unsigned_floor_isqrt,threshold_xor+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/verilog/ex276_isqrt_threshold_xor.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/aigs/ex276_isqrt_threshold_xor_abc_g_aig.aig,1,1,1,131,11,1441,632,2.280063,0,0,0.350,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=threshold_xor; flow=abc_g_aig
ex276,ex276_isqrt_threshold_xor_wreduce_abc_g_aig,unsigned_floor_isqrt,threshold_xor+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/verilog/ex276_isqrt_threshold_xor.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/aigs/ex276_isqrt_threshold_xor_wreduce_abc_g_aig.aig,1,1,1,131,11,1441,632,2.280063,0,0,0.360,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=threshold_xor; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_threshold_xor_arith_wreduce_aig,unsigned_floor_isqrt,threshold_xor+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/verilog/ex276_isqrt_threshold_xor.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/aigs/ex276_isqrt_threshold_xor_arith_wreduce_aig.aig,1,1,1,135,11,1485,632,2.349684,0,0,0.366,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=threshold_xor; flow=arith_wreduce_aig
ex276,ex276_isqrt_threshold_xor_synth_preset,unsigned_floor_isqrt,threshold_xor+synth_preset,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/verilog/ex276_isqrt_threshold_xor.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/aigs/ex276_isqrt_threshold_xor_synth_preset.aig,1,1,1,130,11,1430,632,2.262658,0,0,0.440,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=threshold_xor; flow=synth_preset
ex276,ex276_isqrt_threshold_xor_synth_preset_d6,unsigned_floor_isqrt,threshold_xor+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/verilog/ex276_isqrt_threshold_xor.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/aigs/ex276_isqrt_threshold_xor_synth_preset_d6.aig,1,1,1,130,11,1430,632,2.262658,0,0,0.444,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=threshold_xor; flow=synth_preset_d6
ex276,ex276_isqrt_threshold_xor_synth_preset_d8,unsigned_floor_isqrt,threshold_xor+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/verilog/ex276_isqrt_threshold_xor.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/aigs/ex276_isqrt_threshold_xor_synth_preset_d8.aig,1,1,1,130,11,1430,632,2.262658,0,0,0.443,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=threshold_xor; flow=synth_preset_d8
ex276,ex276_isqrt_threshold_xor_synth_preset_d10,unsigned_floor_isqrt,threshold_xor+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/verilog/ex276_isqrt_threshold_xor.v,student/work/ex275_ex276_frontend_isqrt_threshold_popcount_20260609_1618/ex276/aigs/ex276_isqrt_threshold_xor_synth_preset_d10.aig,1,1,1,130,11,1430,632,2.262658,0,0,0.439,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=threshold_xor; flow=synth_preset_d10
