case,candidate_id,hypothesis,function_guess,variant,classification,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,verilog_path,aig_path,source_csv,notes
ex282,ex282_unknown_muxcoord_anf_prefix_parity_full_clamp_simplified_grouped_deg2,unknown_muxcoord_anf,,prefix_parity_full_clamp_simplified_grouped_deg2,,253,33,8349,2704,3.087648,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex282/verilog/ex282_unknown_muxcoord_anf_prefix_parity_full_clamp_simplified_grouped_deg2.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex282/aigs/ex282_unknown_muxcoord_anf_prefix_parity_full_clamp_simplified_grouped_deg2.aig,student/runs/unknown/ex280_ex284_frontend_muxcoord_keychain_simplified_20260609_0142/results/candidates.csv,unknown mux-coordinate ANF Verilog seed
ex282,ex282_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_endpoint_rev_abc_g_aig,unknown_muxcoord_anf_synthflow,,prefix_parity_reduce_deg2_hybrid_endpoint_rev_abc_g_aig,,405,34,13770,2704,5.092456,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex282/verilog/ex282_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_endpoint_rev.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex282/aigs/ex282_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_endpoint_rev_abc_g_aig.aig,student/runs/unknown/ex280_ex284_frontend_muxcoord_hybrid_synthflow_20260609_0057/results/candidates.csv,Yosys abc gate set aig
ex283,ex283_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic,unknown_quadratic_compressor,,prefix_parity_reduce_full_clamp_basic,,201,38,7638,3168,2.410985,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex283/verilog/ex283_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex283/aigs/ex283_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.aig,student/runs/unknown/ex280_ex284_frontend_quadratic_compressor_20260609_0216/results/candidates.csv,unknown quadratic shared-compressor Verilog seed
ex283,ex283_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig,unknown_muxcoord_anf,unknown_muxcoord_anf,abc_g_aig,synthflow_exact,227,35,7945,3168,2.507891,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex283/verilog/ex283_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex283/aigs/ex283_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig.aig,student/runs/unknown/ex280_ex284_frontend_muxcoord_simplified_synthflow_20260609_0142/results/candidates.csv,Yosys abc gate set aig
ex283,ex283_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2,unknown_muxcoord_anf,,prefix_parity_reduce_full_clamp_grouped_deg2,,284,35,9940,3168,3.137626,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex283/verilog/ex283_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex283/aigs/ex283_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.aig,student/runs/unknown/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/results/candidates.csv,unknown mux-coordinate ANF Verilog seed
ex283,ex283_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_best_node_abc_g_aig,unknown_muxcoord_anf_synthflow,,prefix_parity_reduce_deg2_hybrid_best_node_abc_g_aig,,405,36,14580,3168,4.602273,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex283/verilog/ex283_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_best_node.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex283/aigs/ex283_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_best_node_abc_g_aig.aig,student/runs/unknown/ex280_ex284_frontend_muxcoord_hybrid_synthflow_20260609_0057/results/candidates.csv,Yosys abc gate set aig
ex284,ex284_unknown_quadratic_compressor_prefix_parity_full_clamp_boundary,unknown_quadratic_compressor,,prefix_parity_full_clamp_boundary,,215,39,8385,4240,1.977594,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex284/verilog/ex284_unknown_quadratic_compressor_prefix_parity_full_clamp_boundary.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex284/aigs/ex284_unknown_quadratic_compressor_prefix_parity_full_clamp_boundary.aig,student/runs/unknown/ex280_ex284_frontend_quadratic_compressor_smoke_20260609_0216/results/candidates.csv,unknown quadratic shared-compressor Verilog seed
ex284,ex284_prefix_parity_full_clamp_simplified_grouped_deg2_abc_g_aig,unknown_muxcoord_anf,unknown_muxcoord_anf,abc_g_aig,synthflow_exact,233,37,8621,4240,2.033255,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex284/verilog/ex284_unknown_muxcoord_anf_prefix_parity_full_clamp_simplified_grouped_deg2.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex284/aigs/ex284_prefix_parity_full_clamp_simplified_grouped_deg2_abc_g_aig.aig,student/runs/unknown/ex280_ex284_frontend_muxcoord_keychain_smoke_synthflow_20260609_0142/results/candidates.csv,Yosys abc gate set aig
ex284,ex284_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2,unknown_muxcoord_anf,,prefix_parity_reduce_full_clamp_grouped_deg2,,289,37,10693,4240,2.521934,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex284/verilog/ex284_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex284/aigs/ex284_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.aig,student/runs/unknown/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/results/candidates.csv,unknown mux-coordinate ANF Verilog seed
ex284,ex284_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_best_node_abc_g_aig,unknown_muxcoord_anf_synthflow,,prefix_parity_reduce_deg2_hybrid_best_node_abc_g_aig,,434,41,17794,4240,4.196698,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex284/verilog/ex284_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_best_node.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex284/aigs/ex284_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_best_node_abc_g_aig.aig,student/runs/unknown/ex280_ex284_frontend_muxcoord_hybrid_synthflow_20260609_0057/results/candidates.csv,Yosys abc gate set aig
ex285,ex285_unknown_shared_bdd_12x12_order_8_9_10_11_0_1_2_3_4_5_6_7,unknown_shared_bdd_12x12,unknown_shared_bdd_12x12,order_8_9_10_11_0_1_2_3_4_5_6_7,structural_exact,794,18,14292,5499,2.599018,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex285/verilog/ex285_unknown_shared_bdd_12x12_order_8_9_10_11_0_1_2_3_4_5_6_7.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex285/aigs/ex285_unknown_shared_bdd_12x12_order_8_9_10_11_0_1_2_3_4_5_6_7.aig,student/results/unknown_candidates_current.csv,unknown function shared-BDD Verilog seed
ex285,ex285_unknown_symcof_interleave_f10_k4,unknown_symmetry_cofactor_classonehot,,interleave_f10_k4,,1042,15,15630,5499,2.842335,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex285/verilog/ex285_unknown_symcof_interleave_f10_k4.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex285/aigs/ex285_unknown_symcof_interleave_f10_k4.aig,student/runs/unknown/ex285_ex289_frontend_symmetry_cofactor_classonehot_20260609_0548/results/candidates.csv,unknown symmetry cofactor class-onehot Verilog seed
ex285,ex285_unknown_12x12_rotate_high_split_default,unknown_12x12,unknown_12x12,rotate_high_split_default,structural_exact,1352,13,17576,5499,3.196217,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex285/verilog/ex285_unknown_12x12_rotate_high_split_default.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex285/aigs/ex285_unknown_12x12_rotate_high_split_default.aig,student/results/unknown_candidates_current.csv,unknown function structural Verilog seed
ex285,ex285_interleave_f10_synth_preset,unknown_symmetry_canonical_bdd,unknown_symmetry_canonical_bdd,synth_preset,synthflow_exact,1037,17,17629,5499,3.205856,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex285/verilog/ex285_unknown_symbdd_interleave_f10.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex285/aigs/ex285_interleave_f10_synth_preset.aig,student/results/unknown_candidates_current.csv,Yosys synth preset with flatten
ex286,ex286_unknown_symcof_keybdd_selected_interleave_f00_k4_keybdd_5_6_7_abc_g_aig,unknown_symcof_keybdd_selected,unknown_symcof_keybdd_selected,abc_g_aig,synthflow_exact,1453,15,21795,2376,9.172980,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex286/verilog/ex286_unknown_symcof_interleave_f00_k4_onehot_group_keybdd_5_6_7.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex286/aigs/ex286_unknown_symcof_keybdd_selected_interleave_f00_k4_keybdd_5_6_7_abc_g_aig.aig,student/runs/unknown/ex286_ex288_frontend_keybdd_selected_synth_20260609_1448/results/candidates.csv,Yosys abc gate set aig
ex286,ex286_unknown_symcof_interleave_f00_k4_onehot_group,unknown_symmetry_cofactor_classonehot,,interleave_f00_k4_onehot_group,,1449,16,23184,2376,9.757576,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex286/verilog/ex286_unknown_symcof_interleave_f00_k4_onehot_group.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex286/aigs/ex286_unknown_symcof_interleave_f00_k4_onehot_group.aig,student/runs/unknown/ex286_frontend_symcof_selector_20260609_0822/results/candidates.csv,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_rotate_low_split_default_abc_g_aig,unknown_13x13,unknown_13x13,abc_g_aig,synthflow_exact,1860,13,24180,2376,10.176768,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex286/verilog/ex286_unknown_13x13_rotate_low_split_default.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex286/aigs/ex286_rotate_low_split_default_abc_g_aig.aig,student/results/unknown_candidates_current.csv,Yosys abc gate set aig
ex286,ex286_primary_7_abc_g_aig,unknown_bit_hybrid,unknown_bit_hybrid,abc_g_aig,synthflow_exact,1864,13,24232,2376,10.198653,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex286/verilog/ex286_unknown_bit_hybrid_primary_7.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex286/aigs/ex286_primary_7_abc_g_aig.aig,student/results/unknown_candidates_current.csv,Yosys abc gate set aig
ex287,ex287_unknown_symcof_keybdd_selected_interleave_f00_k5_keybdd_6_7_abc_g_aig,unknown_symcof_keybdd_selected,unknown_symcof_keybdd_selected,abc_g_aig,synthflow_exact,1856,15,27840,5782,4.814943,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex287/verilog/ex287_unknown_symcof_interleave_f00_k5_onehot_group_keybdd_6_7.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex287/aigs/ex287_unknown_symcof_keybdd_selected_interleave_f00_k5_keybdd_6_7_abc_g_aig.aig,student/runs/unknown/ex286_ex288_frontend_keybdd_selected_synth_20260609_1448/results/candidates.csv,Yosys abc gate set aig
ex287,ex287_unknown_symcof_interleave_f00_k6_case,unknown_symmetry_cofactor_classonehot,,interleave_f00_k6_case,,2061,14,28854,5782,4.990315,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex287/verilog/ex287_unknown_symcof_interleave_f00_k6_case.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex287/aigs/ex287_unknown_symcof_interleave_f00_k6_case.aig,student/runs/unknown/ex287_frontend_multipair_symcof_casemux_20260609_0643/results/candidates.csv,unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_interleave_f10_synth_preset,unknown_symmetry_canonical_bdd,unknown_symmetry_canonical_bdd,synth_preset,synthflow_exact,1723,18,31014,5782,5.363888,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex287/verilog/ex287_unknown_symbdd_interleave_f10.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex287/aigs/ex287_interleave_f10_synth_preset.aig,student/results/unknown_candidates_current.csv,Yosys synth preset with flatten
ex287,ex287_decision_tree_greedy_synth_preset,unknown_14x14,unknown_14x14,synth_preset,synthflow_exact,1743,18,31374,5782,5.426150,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex287/verilog/ex287_unknown_14x14_decision_tree_greedy.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex287/aigs/ex287_decision_tree_greedy_synth_preset.aig,student/results/unknown_candidates_current.csv,Yosys synth preset with flatten
ex288,ex288_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_abc_g_aig,unknown_symmetry_cofactor_classonehot,unknown_symmetry_cofactor_classonehot,abc_g_aig,synthflow_exact,2281,14,31934,16394,1.947908,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex288/verilog/ex288_unknown_symcof_interleave_f10_k6.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex288/aigs/ex288_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_abc_g_aig.aig,student/runs/unknown/ex286_ex288_frontend_lowdelay_symcof_synthflow_20260609_1140/results/candidates.csv,Yosys abc gate set aig
ex288,ex288_unknown_symcof_interleave_f10_k4_case,unknown_symmetry_cofactor_classonehot,,interleave_f10_k4_case,,1905,18,34290,16394,2.091619,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex288/verilog/ex288_unknown_symcof_interleave_f10_k4_case.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex288/aigs/ex288_unknown_symcof_interleave_f10_k4_case.aig,student/runs/unknown/ex288_ex289_frontend_symcof_casemux_20260609_0643/results/candidates.csv,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_bit_hybrid_primary_7,unknown_bit_hybrid,,primary_7,,1918,18,34524,16394,2.105892,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex288/verilog/ex288_unknown_bit_hybrid_primary_7.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex288/aigs/ex288_unknown_bit_hybrid_primary_7.aig,student/runs/unknown/ex288_frontend_k6_k4_bit_hybrid_20260609_1144/results/candidates.csv,bit-hybrid of two verified exact Verilog sources
ex288,ex288_unknown_symcof_interleave_f10_k4_onehot_group,unknown_symmetry_cofactor_classonehot,unknown_symmetry_cofactor_classonehot,interleave_f10_k4_onehot_group,structural_exact,1938,18,34884,16394,2.127852,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex288/verilog/ex288_unknown_symcof_interleave_f10_k4_onehot_group.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex288/aigs/ex288_unknown_symcof_interleave_f10_k4_onehot_group.aig,student/results/unknown_candidates_current.csv,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_split2_f00_bits_0_1_12_13_onehot_group_abc_g_aig,unknown_duality_symcof,unknown_duality_symcof,abc_g_aig,synthflow_exact,1046,20,20920,13620,1.535977,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex289/verilog/ex289_unknown_duality_symcof_split2_f00_bits_0_1_12_13_onehot_group.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex289/aigs/ex289_split2_f00_bits_0_1_12_13_onehot_group_abc_g_aig.aig,student/runs/unknown/ex289_frontend_duality_symcof_splitbits_synthflow_20260609_1109/results/candidates.csv,Yosys abc gate set aig
ex289,ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_case_group_xor,unknown_duality_symcof,,split2_f10_bits_0_1_12_13_case_group_xor,,1118,20,22360,13620,1.641703,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex289/verilog/ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_case_group_xor.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex289/aigs/ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_case_group_xor.aig,student/runs/unknown/ex289_frontend_duality_symcof_split2_xorwrap_20260609_1126/results/candidates.csv,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_interleave_f00_bits_0_1_12_13_case_group_synth_preset,unknown_symmetry_cofactor_classonehot,unknown_symmetry_cofactor_classonehot,synth_preset,synthflow_exact,1325,19,25175,13620,1.848385,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex289/verilog/ex289_unknown_symcof_interleave_f00_bits_0_1_12_13_case_group.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex289/aigs/ex289_interleave_f00_bits_0_1_12_13_case_group_synth_preset.aig,student/results/unknown_candidates_current.csv,Yosys synth preset with flatten
ex289,ex289_order_0_1_12_13_2_14_3_11_4_5_6_7_8_9_10_synth_preset,unknown_duality_half_bdd,unknown_duality_half_bdd,synth_preset,synthflow_exact,1114,23,25622,13620,1.881204,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex289/verilog/ex289_unknown_duality_half_bdd_order_0_1_12_13_2_14_3_11_4_5_6_7_8_9_10.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex289/aigs/ex289_order_0_1_12_13_2_14_3_11_4_5_6_7_8_9_10_synth_preset.aig,student/runs/unknown/ex289_frontend_duality_half_bdd_synthflow_20260609_1050/results/candidates.csv,Yosys synth preset with flatten
ex290,ex290_unknown_12x12_rotate_low_split_default,unknown_12x12,unknown_12x12,rotate_low_split_default,structural_exact,4484,16,71744,42328,1.694954,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex290/verilog/ex290_unknown_12x12_rotate_low_split_default.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex290/aigs/ex290_unknown_12x12_rotate_low_split_default.aig,student/results/unknown_candidates_current.csv,unknown function structural Verilog seed
ex290,ex290_unknown_shared_bdd_12x12_order_8_9_10_11_0_1_2_3_4_5_6_7,unknown_shared_bdd_12x12,unknown_shared_bdd_12x12,order_8_9_10_11_0_1_2_3_4_5_6_7,structural_exact,3949,19,75031,42328,1.772609,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex290/verilog/ex290_unknown_shared_bdd_12x12_order_8_9_10_11_0_1_2_3_4_5_6_7.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex290/aigs/ex290_unknown_shared_bdd_12x12_order_8_9_10_11_0_1_2_3_4_5_6_7.aig,student/results/unknown_candidates_current.csv,unknown function shared-BDD Verilog seed
ex290,ex290_unknown_shared_bdd_12x12_order_0_11_1_10_2_9_3_8_4_7_5_6,unknown_shared_bdd_12x12,unknown_shared_bdd_12x12,order_0_11_1_10_2_9_3_8_4_7_5_6,structural_exact,3958,19,75202,42328,1.776649,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex290/verilog/ex290_unknown_shared_bdd_12x12_order_0_11_1_10_2_9_3_8_4_7_5_6.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex290/aigs/ex290_unknown_shared_bdd_12x12_order_0_11_1_10_2_9_3_8_4_7_5_6.aig,student/results/unknown_candidates_current.csv,unknown function shared-BDD Verilog seed
ex290,ex290_unknown_12x12_low_split_default,unknown_12x12,unknown_12x12,low_split_default,structural_exact,6132,16,98112,42328,2.317898,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex290/verilog/ex290_unknown_12x12_low_split_default.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex290/aigs/ex290_unknown_12x12_low_split_default.aig,student/results/unknown_candidates_current.csv,unknown function structural Verilog seed
