case,candidate_id,hypothesis,function_guess,variant,classification,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,verilog_path,aig_path,source_csv,notes
ex290,ex290_unknown_12x12_rotate_low_split_default,unknown_12x12,unknown_12x12,rotate_low_split_default,structural_exact,4484,16,71744,42328,1.694954,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex290/verilog/ex290_unknown_12x12_rotate_low_split_default.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex290/aigs/ex290_unknown_12x12_rotate_low_split_default.aig,student/results/unknown_candidates_current.csv,unknown function structural Verilog seed
ex291,ex291_unknown_shared_bdd_13x13_order_0_12_1_11_2_10_3_9_4_8_5_7_6,unknown_shared_bdd_13x13,unknown_shared_bdd_13x13,order_0_12_1_11_2_10_3_9_4_8_5_7_6,structural_exact,5369,21,112749,66850,1.686597,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex291/verilog/ex291_unknown_shared_bdd_13x13_order_0_12_1_11_2_10_3_9_4_8_5_7_6.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex291/aigs/ex291_unknown_shared_bdd_13x13_order_0_12_1_11_2_10_3_9_4_8_5_7_6.aig,student/results/unknown_candidates_current.csv,unknown function shared-BDD Verilog seed
ex292,ex292_unknown_cofactor_bdd_low1,unknown_cofactor_bdd,unknown_cofactor_bdd,low1,structural_exact,6826,23,156998,84854,1.850213,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex292/verilog/ex292_unknown_cofactor_bdd_low1.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex292/aigs/ex292_unknown_cofactor_bdd_low1.aig,student/runs/unknown/ex292_ex294_frontend_bdd_cofactor_20260608_1554/results/candidates.csv,unknown function cofactor-BDD Verilog seed
ex293,ex293_unknown_15x15_rotate_high_split_default,unknown_15x15,unknown_15x15,rotate_high_split_default,structural_exact,8395,18,151110,112966,1.337659,1,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex293/verilog/ex293_unknown_15x15_rotate_high_split_default.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex293/aigs/ex293_unknown_15x15_rotate_high_split_default.aig,student/results/unknown_candidates_current.csv,unknown function structural Verilog seed
ex294,ex294_unknown_cofactor_bdd_low1,unknown_cofactor_bdd,unknown_cofactor_bdd,low1,structural_exact,10898,23,250654,133365,1.879459,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex294/verilog/ex294_unknown_cofactor_bdd_low1.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex294/aigs/ex294_unknown_cofactor_bdd_low1.aig,student/runs/unknown/ex292_ex294_frontend_bdd_cofactor_20260608_1554/results/candidates.csv,unknown function cofactor-BDD Verilog seed
ex295,ex295_unknown_12x12_high_split_default,unknown_12x12,unknown_12x12,high_split_default,structural_exact,8693,18,156474,68064,2.298925,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex295/verilog/ex295_unknown_12x12_high_split_default.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex295/aigs/ex295_unknown_12x12_high_split_default.aig,student/results/unknown_candidates_current.csv,unknown function structural Verilog seed
ex296,ex296_unknown_13x13_rotate_high_split_default,unknown_13x13,unknown_13x13,rotate_high_split_default,structural_exact,9986,17,169762,104025,1.631935,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex296/verilog/ex296_unknown_13x13_rotate_high_split_default.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex296/aigs/ex296_unknown_13x13_rotate_high_split_default.aig,student/results/unknown_candidates_current.csv,unknown function structural Verilog seed
ex297,ex297_unknown_14x14_rotate_high_split_default,unknown_14x14,unknown_14x14,rotate_high_split_default,structural_exact,32609,21,684789,225900,3.031381,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex297/verilog/ex297_unknown_14x14_rotate_high_split_default.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex297/aigs/ex297_unknown_14x14_rotate_high_split_default.aig,student/results/unknown_candidates_current.csv,unknown function structural Verilog seed
ex298,ex298_unknown_15x15_high_split_default,unknown_15x15,unknown_15x15,high_split_default,structural_exact,31910,22,702020,442296,1.587218,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex298/verilog/ex298_unknown_15x15_high_split_default.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex298/aigs/ex298_unknown_15x15_high_split_default.aig,student/results/unknown_candidates_current.csv,unknown function structural Verilog seed
ex299,ex299_unknown_16x16_low_split_default,unknown_16x16,unknown_16x16,low_split_default,structural_exact,119023,25,2975575,1013807,2.935051,0,0,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex299/verilog/ex299_unknown_16x16_low_split_default.v,student/seeds/unknown/ex280_ex299_backend_candidates_20260609_2047/ex299/aigs/ex299_unknown_16x16_low_split_default.aig,student/results/unknown_candidates_current.csv,unknown function structural Verilog seed
