case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace_signbit_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_signbit+abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/verilog/ex260_smul_baugh_wooley_wallace_signbit.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/aigs/ex260_smul_baugh_wooley_wallace_signbit_abc_g_aig.aig,1,1,1,98,14,1372,657,2.088280,0,0,0.197,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_signbit; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_wallace+synth_preset_d18,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/verilog/ex260_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/aigs/ex260_smul_baugh_wooley_wallace_synth_preset_d18.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.262,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_rev_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev+abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_abc_g_aig.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.208,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_wreduce_abc_g_aig.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.221,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev+synth_preset_d13,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_synth_preset_d13.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.287,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_wallace_rev+synth_preset_d18,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_synth_preset_d18.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.292,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_outside_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside+abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_abc_g_aig.aig,1,1,1,90,14,1260,657,1.917808,0,0,0.204,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_wreduce_abc_g_aig.aig,1,1,1,90,14,1260,657,1.917808,0,0,0.220,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_outside+synth_preset_d13,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_synth_preset_d13.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.263,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_outside_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_wallace_outside+synth_preset_d18,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_synth_preset_d18.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.267,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_signbit_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_signbit+abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/verilog/ex261_smul_baugh_wooley_wallace_signbit.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/aigs/ex261_smul_baugh_wooley_wallace_signbit_abc_g_aig.aig,1,1,1,169,20,3380,2041,1.656051,0,0,0.226,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_signbit; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_signbit_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_signbit+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/verilog/ex261_smul_baugh_wooley_wallace_signbit.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/aigs/ex261_smul_baugh_wooley_wallace_signbit_wreduce_abc_g_aig.aig,1,1,1,169,20,3380,2041,1.656051,0,0,0.229,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_signbit; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_signbit_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_signbit+synth_preset_d13,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/verilog/ex261_smul_baugh_wooley_wallace_signbit.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/aigs/ex261_smul_baugh_wooley_wallace_signbit_synth_preset_d13.aig,1,1,1,169,20,3380,2041,1.656051,0,0,0.278,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_signbit; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_signbit_synth_preset_d18,signed low5_high5:a*b,baugh_wooley_wallace_signbit+synth_preset_d18,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/verilog/ex261_smul_baugh_wooley_wallace_signbit.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/aigs/ex261_smul_baugh_wooley_wallace_signbit_synth_preset_d18.aig,1,1,1,169,20,3380,2041,1.656051,0,0,0.275,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_signbit; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_rev_signbit_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_rev_signbit+abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/verilog/ex261_smul_baugh_wooley_wallace_rev_signbit.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/aigs/ex261_smul_baugh_wooley_wallace_rev_signbit_abc_g_aig.aig,1,1,1,165,20,3300,2041,1.616854,0,0,0.256,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rev_signbit; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_rev_signbit_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_rev_signbit+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/verilog/ex261_smul_baugh_wooley_wallace_rev_signbit.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/aigs/ex261_smul_baugh_wooley_wallace_rev_signbit_wreduce_abc_g_aig.aig,1,1,1,165,20,3300,2041,1.616854,0,0,0.224,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rev_signbit; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_rev_signbit_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_rev_signbit+synth_preset_d13,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/verilog/ex261_smul_baugh_wooley_wallace_rev_signbit.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/aigs/ex261_smul_baugh_wooley_wallace_rev_signbit_synth_preset_d13.aig,1,1,1,165,20,3300,2041,1.616854,0,0,0.294,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rev_signbit; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_rev_signbit_synth_preset_d18,signed low5_high5:a*b,baugh_wooley_wallace_rev_signbit+synth_preset_d18,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/verilog/ex261_smul_baugh_wooley_wallace_rev_signbit.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/aigs/ex261_smul_baugh_wooley_wallace_rev_signbit_synth_preset_d18.aig,1,1,1,165,20,3300,2041,1.616854,0,0,0.269,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rev_signbit; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace+abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/verilog/ex261_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/aigs/ex261_smul_baugh_wooley_wallace_abc_g_aig.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.263,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/verilog/ex261_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/aigs/ex261_smul_baugh_wooley_wallace_wreduce_abc_g_aig.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.229,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace+synth_preset_d13,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/verilog/ex261_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/aigs/ex261_smul_baugh_wooley_wallace_synth_preset_d13.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.282,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_synth_preset_d18,signed low5_high5:a*b,baugh_wooley_wallace+synth_preset_d18,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/verilog/ex261_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/aigs/ex261_smul_baugh_wooley_wallace_synth_preset_d18.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.281,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_rev_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_rev+abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/verilog/ex261_smul_baugh_wooley_wallace_rev.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/aigs/ex261_smul_baugh_wooley_wallace_rev_abc_g_aig.aig,1,1,1,161,20,3220,2041,1.577658,0,0,0.247,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rev; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_rev_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_rev+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/verilog/ex261_smul_baugh_wooley_wallace_rev.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/aigs/ex261_smul_baugh_wooley_wallace_rev_wreduce_abc_g_aig.aig,1,1,1,161,20,3220,2041,1.577658,0,0,0.225,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rev; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_rev_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_rev+synth_preset_d13,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/verilog/ex261_smul_baugh_wooley_wallace_rev.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/aigs/ex261_smul_baugh_wooley_wallace_rev_synth_preset_d13.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.274,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_rev_synth_preset_d18,signed low5_high5:a*b,baugh_wooley_wallace_rev+synth_preset_d18,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/verilog/ex261_smul_baugh_wooley_wallace_rev.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/aigs/ex261_smul_baugh_wooley_wallace_rev_synth_preset_d18.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.278,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_outside_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_outside+abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/verilog/ex261_smul_baugh_wooley_wallace_outside.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/aigs/ex261_smul_baugh_wooley_wallace_outside_abc_g_aig.aig,1,1,1,159,20,3180,2041,1.558060,0,0,0.216,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_outside; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_outside_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_outside+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/verilog/ex261_smul_baugh_wooley_wallace_outside.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/aigs/ex261_smul_baugh_wooley_wallace_outside_wreduce_abc_g_aig.aig,1,1,1,159,20,3180,2041,1.558060,0,0,0.234,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_outside; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_outside_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_outside+synth_preset_d13,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/verilog/ex261_smul_baugh_wooley_wallace_outside.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/aigs/ex261_smul_baugh_wooley_wallace_outside_synth_preset_d13.aig,1,1,1,159,20,3180,2041,1.558060,0,0,0.266,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_outside; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_outside_synth_preset_d18,signed low5_high5:a*b,baugh_wooley_wallace_outside+synth_preset_d18,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/verilog/ex261_smul_baugh_wooley_wallace_outside.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex261/aigs/ex261_smul_baugh_wooley_wallace_outside_synth_preset_d18.aig,1,1,1,159,20,3180,2041,1.558060,0,0,0.282,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_outside; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_wallace_signbit_abc_g_aig,signed low8_high8:a*b,baugh_wooley_wallace_signbit+abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex264/verilog/ex264_smul_baugh_wooley_wallace_signbit.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex264/aigs/ex264_smul_baugh_wooley_wallace_signbit_abc_g_aig.aig,1,1,1,504,31,15624,9724,1.606746,0,0,1.785,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_signbit; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_signbit_wreduce_abc_g_aig,signed low8_high8:a*b,baugh_wooley_wallace_signbit+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex264/verilog/ex264_smul_baugh_wooley_wallace_signbit.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex264/aigs/ex264_smul_baugh_wooley_wallace_signbit_wreduce_abc_g_aig.aig,1,1,1,504,31,15624,9724,1.606746,0,0,1.900,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_signbit; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_signbit_synth_preset_d13,signed low8_high8:a*b,baugh_wooley_wallace_signbit+synth_preset_d13,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex264/verilog/ex264_smul_baugh_wooley_wallace_signbit.v,student/work/ex260_ex264_frontend_smul_baugh_signbit_20260609_0314/ex264/aigs/ex264_smul_baugh_wooley_wallace_signbit_synth_preset_d13.aig,1,1,1,504,31,15624,9724,1.606746,0,0,1.955,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_signbit; flow=synth_preset_d13
