case,layer,adjacent_pairs,same_output,distance2,distance4,distance_ge6,avg_output_distance,max_output_distance,notes
ex288,3,8190,294,2018,3098,2780,4.042491,6,output Hamming distance for adjacent input subsets in the Johnson graph
ex288,4,30030,931,6041,9139,13919,4.757975,8,output Hamming distance for adjacent input subsets in the Johnson graph
ex288,5,75075,2399,12589,21152,38935,5.261405,10,output Hamming distance for adjacent input subsets in the Johnson graph
ex288,6,135135,4126,21370,35218,74421,5.582373,12,output Hamming distance for adjacent input subsets in the Johnson graph
ex288,7,180180,5610,27266,45985,101319,5.733866,14,output Hamming distance for adjacent input subsets in the Johnson graph
ex288,8,180180,5596,27608,46163,100813,5.720602,14,output Hamming distance for adjacent input subsets in the Johnson graph
ex288,9,135135,4135,22092,35767,73141,5.548555,12,output Hamming distance for adjacent input subsets in the Johnson graph
ex288,10,75075,2441,13330,21128,38176,5.214199,10,output Hamming distance for adjacent input subsets in the Johnson graph
ex288,11,30030,929,6623,8815,13663,4.700100,8,output Hamming distance for adjacent input subsets in the Johnson graph
ex288,12,8190,315,2139,2997,2739,3.992674,6,output Hamming distance for adjacent input subsets in the Johnson graph
ex288,13,1365,45,559,761,0,3.049084,4,output Hamming distance for adjacent input subsets in the Johnson graph
ex288,14,105,11,94,0,0,1.790476,2,output Hamming distance for adjacent input subsets in the Johnson graph
ex289,1,120,14,106,0,0,1.766667,2,output Hamming distance for adjacent input subsets in the Johnson graph
ex289,2,1680,60,692,928,0,3.033333,4,output Hamming distance for adjacent input subsets in the Johnson graph
ex289,3,10920,490,2867,3751,3812,3.993590,6,output Hamming distance for adjacent input subsets in the Johnson graph
ex289,4,43680,1504,10276,11672,20228,4.715934,8,output Hamming distance for adjacent input subsets in the Johnson graph
ex289,5,120120,4612,22102,33148,60258,5.242674,10,output Hamming distance for adjacent input subsets in the Johnson graph
ex289,6,240240,8216,43466,58242,130316,5.600167,12,output Hamming distance for adjacent input subsets in the Johnson graph
ex289,7,360360,13362,57849,92139,197010,5.806771,14,output Hamming distance for adjacent input subsets in the Johnson graph
ex289,8,411840,14080,69716,95904,232140,5.875622,16,output Hamming distance for adjacent input subsets in the Johnson graph
ex289,9,360360,13362,57849,92139,197010,5.806771,14,output Hamming distance for adjacent input subsets in the Johnson graph
ex289,10,240240,8216,43466,58242,130316,5.600167,12,output Hamming distance for adjacent input subsets in the Johnson graph
ex289,11,120120,4612,22102,33148,60258,5.242674,10,output Hamming distance for adjacent input subsets in the Johnson graph
ex289,12,43680,1504,10276,11672,20228,4.715934,8,output Hamming distance for adjacent input subsets in the Johnson graph
ex289,13,10920,490,2867,3751,3812,3.993590,6,output Hamming distance for adjacent input subsets in the Johnson graph
ex289,14,1680,60,692,928,0,3.033333,4,output Hamming distance for adjacent input subsets in the Johnson graph
ex289,15,120,14,106,0,0,1.766667,2,output Hamming distance for adjacent input subsets in the Johnson graph
