case,layer,layer_size,rank,input_order,output_order,input_scheme,output_scheme,transform,matches,match_ratio,param,mean_abs_cyclic_displacement,max_abs_cyclic_displacement,notes
ex286,7,1716,4,natural,onehot_slot,revcolex,revlex,affine_small,10,0.005828,a=1;b=1585,412.207459,857,best small-multiplier affine modulo layer size
ex286,7,1716,5,reverse,onehot_slot,lex,lex,affine_small,10,0.005828,a=-1;b=130,412.207459,857,best small-multiplier affine modulo layer size
ex286,7,1716,6,reverse,onehot_slot,lex,revlex,affine_small,10,0.005828,a=1;b=1585,412.207459,857,best small-multiplier affine modulo layer size
ex286,7,1716,7,reverse,onehot_slot,revlex,lex,affine_small,10,0.005828,a=1;b=131,412.207459,857,best small-multiplier affine modulo layer size
ex286,7,1716,8,reverse,onehot_slot,revlex,revlex,affine_small,10,0.005828,a=-1;b=1584,412.207459,857,best small-multiplier affine modulo layer size
ex286,8,1287,1,onehot_slot_rev,onehot_slot_rev,lex,lex,affine_small,12,0.009324,a=1;b=1284,308.881119,643,best small-multiplier affine modulo layer size
ex286,8,1287,2,onehot_slot_rev,onehot_slot_rev,lex,revlex,affine_small,12,0.009324,a=-1;b=2,308.881119,643,best small-multiplier affine modulo layer size
ex286,8,1287,3,onehot_slot_rev,onehot_slot_rev,revlex,lex,affine_small,12,0.009324,a=-1;b=1283,308.881119,643,best small-multiplier affine modulo layer size
ex286,8,1287,4,onehot_slot_rev,onehot_slot_rev,revlex,revlex,affine_small,12,0.009324,a=1;b=3,308.881119,643,best small-multiplier affine modulo layer size
ex286,8,1287,5,natural,natural,colex,colex,affine_small,9,0.006993,a=1;b=1,287.692308,643,best small-multiplier affine modulo layer size
ex286,8,1287,6,natural,natural,colex,revcolex,affine_small,9,0.006993,a=-1;b=1285,287.692308,643,best small-multiplier affine modulo layer size
ex286,8,1287,7,natural,natural,revcolex,colex,affine_small,9,0.006993,a=-1;b=0,287.692308,643,best small-multiplier affine modulo layer size
ex286,8,1287,8,natural,natural,revcolex,revcolex,affine_small,9,0.006993,a=1;b=1286,287.692308,643,best small-multiplier affine modulo layer size
ex286,9,715,1,natural,natural,colex,colex,affine_small,12,0.016783,a=1;b=1,155.116084,356,best small-multiplier affine modulo layer size
ex286,9,715,2,natural,natural,colex,revcolex,affine_small,12,0.016783,a=-1;b=713,155.116084,356,best small-multiplier affine modulo layer size
ex286,9,715,3,natural,natural,revcolex,colex,affine_small,12,0.016783,a=-1;b=0,155.116084,356,best small-multiplier affine modulo layer size
ex286,9,715,4,natural,natural,revcolex,revcolex,affine_small,12,0.016783,a=1;b=714,155.116084,356,best small-multiplier affine modulo layer size
ex286,9,715,5,natural,reverse,colex,lex,affine_small,12,0.016783,a=-1;b=713,155.116084,356,best small-multiplier affine modulo layer size
ex286,9,715,6,natural,reverse,colex,revlex,affine_small,12,0.016783,a=1;b=1,155.116084,356,best small-multiplier affine modulo layer size
ex286,9,715,7,natural,reverse,revcolex,lex,affine_small,12,0.016783,a=1;b=714,155.116084,356,best small-multiplier affine modulo layer size
ex286,9,715,8,natural,reverse,revcolex,revlex,affine_small,12,0.016783,a=-1;b=0,155.116084,356,best small-multiplier affine modulo layer size
ex286,10,286,1,natural,natural,colex,colex,affine_small,9,0.031469,a=1;b=285,53.832168,142,best small-multiplier affine modulo layer size
ex286,10,286,2,natural,natural,colex,revcolex,affine_small,9,0.031469,a=-1;b=0,53.832168,142,best small-multiplier affine modulo layer size
ex286,10,286,3,natural,natural,revcolex,colex,affine_small,9,0.031469,a=-1;b=284,53.832168,142,best small-multiplier affine modulo layer size
ex286,10,286,4,natural,natural,revcolex,revcolex,affine_small,9,0.031469,a=1;b=1,53.832168,142,best small-multiplier affine modulo layer size
ex286,10,286,5,natural,reverse,colex,lex,affine_small,9,0.031469,a=-1;b=0,53.832168,142,best small-multiplier affine modulo layer size
ex286,10,286,6,natural,reverse,colex,revlex,affine_small,9,0.031469,a=1;b=285,53.832168,142,best small-multiplier affine modulo layer size
ex286,10,286,7,natural,reverse,revcolex,lex,affine_small,9,0.031469,a=1;b=1,53.832168,142,best small-multiplier affine modulo layer size
ex286,10,286,8,natural,reverse,revcolex,revlex,affine_small,9,0.031469,a=-1;b=284,53.832168,142,best small-multiplier affine modulo layer size
ex286,11,78,1,natural,natural,colex,colex,identity,11,0.141026,,11.051282,37,
ex286,11,78,2,natural,natural,colex,colex,affine_small,11,0.141026,a=1;b=0,11.051282,37,best small-multiplier affine modulo layer size
ex286,11,78,3,natural,natural,colex,revcolex,reverse,11,0.141026,,11.051282,37,
ex286,11,78,4,natural,natural,colex,revcolex,affine_small,11,0.141026,a=-1;b=77,11.051282,37,best small-multiplier affine modulo layer size
ex286,11,78,5,natural,natural,revcolex,colex,reverse,11,0.141026,,11.051282,37,
ex286,11,78,6,natural,natural,revcolex,colex,affine_small,11,0.141026,a=-1;b=77,11.051282,37,best small-multiplier affine modulo layer size
ex286,11,78,7,natural,natural,revcolex,revcolex,identity,11,0.141026,,11.051282,37,
ex286,11,78,8,natural,natural,revcolex,revcolex,affine_small,11,0.141026,a=1;b=0,11.051282,37,best small-multiplier affine modulo layer size
ex286,12,13,1,center,onehot_slot,lex,lex,affine_small,6,0.461538,a=-2;b=10,2.000000,5,best small-multiplier affine modulo layer size
ex286,12,13,2,center,onehot_slot,lex,revlex,affine_small,6,0.461538,a=2;b=2,2.000000,5,best small-multiplier affine modulo layer size
ex286,12,13,3,center,onehot_slot,lex,colex,affine_small,6,0.461538,a=-2;b=10,2.000000,5,best small-multiplier affine modulo layer size
ex286,12,13,4,center,onehot_slot,lex,revcolex,affine_small,6,0.461538,a=2;b=2,2.000000,5,best small-multiplier affine modulo layer size
ex286,12,13,5,center,onehot_slot,revlex,lex,affine_small,6,0.461538,a=2;b=12,2.000000,5,best small-multiplier affine modulo layer size
ex286,12,13,6,center,onehot_slot,revlex,revlex,affine_small,6,0.461538,a=-2;b=0,2.000000,5,best small-multiplier affine modulo layer size
ex286,12,13,7,center,onehot_slot,revlex,colex,affine_small,6,0.461538,a=2;b=12,2.000000,5,best small-multiplier affine modulo layer size
ex286,12,13,8,center,onehot_slot,revlex,revcolex,affine_small,6,0.461538,a=-2;b=0,2.000000,5,best small-multiplier affine modulo layer size
ex287,1,14,1,natural,center,lex,lex,affine_small,6,0.428571,a=-1;b=0,1.857143,7,best small-multiplier affine modulo layer size
ex287,1,14,2,natural,center,lex,revlex,affine_small,6,0.428571,a=1;b=13,1.857143,7,best small-multiplier affine modulo layer size
ex287,1,14,3,natural,center,lex,colex,affine_small,6,0.428571,a=-1;b=0,1.857143,7,best small-multiplier affine modulo layer size
ex287,1,14,4,natural,center,lex,revcolex,affine_small,6,0.428571,a=1;b=13,1.857143,7,best small-multiplier affine modulo layer size
ex287,1,14,5,natural,center,revlex,lex,affine_small,6,0.428571,a=1;b=1,1.857143,7,best small-multiplier affine modulo layer size
ex287,1,14,6,natural,center,revlex,revlex,affine_small,6,0.428571,a=-1;b=12,1.857143,7,best small-multiplier affine modulo layer size
ex287,1,14,7,natural,center,revlex,colex,affine_small,6,0.428571,a=1;b=1,1.857143,7,best small-multiplier affine modulo layer size
ex287,1,14,8,natural,center,revlex,revcolex,affine_small,6,0.428571,a=-1;b=12,1.857143,7,best small-multiplier affine modulo layer size
ex287,2,91,1,natural,natural,colex,lex,affine_small,8,0.087912,a=-1;b=10,16.428571,45,best small-multiplier affine modulo layer size
ex287,2,91,2,natural,natural,colex,revlex,affine_small,8,0.087912,a=1;b=80,16.428571,45,best small-multiplier affine modulo layer size
ex287,2,91,3,natural,natural,revcolex,lex,affine_small,8,0.087912,a=1;b=11,16.428571,45,best small-multiplier affine modulo layer size
ex287,2,91,4,natural,natural,revcolex,revlex,affine_small,8,0.087912,a=-1;b=79,16.428571,45,best small-multiplier affine modulo layer size
ex287,2,91,5,natural,reverse,colex,colex,affine_small,8,0.087912,a=1;b=80,16.428571,45,best small-multiplier affine modulo layer size
ex287,2,91,6,natural,reverse,colex,revcolex,affine_small,8,0.087912,a=-1;b=10,16.428571,45,best small-multiplier affine modulo layer size
ex287,2,91,7,natural,reverse,revcolex,colex,affine_small,8,0.087912,a=-1;b=79,16.428571,45,best small-multiplier affine modulo layer size
ex287,2,91,8,natural,reverse,revcolex,revcolex,affine_small,8,0.087912,a=1;b=11,16.428571,45,best small-multiplier affine modulo layer size
ex287,3,364,1,onehot_slot_rev,center,colex,colex,affine_small,8,0.021978,a=5;b=207,83.173077,181,best small-multiplier affine modulo layer size
ex287,3,364,2,onehot_slot_rev,center,colex,revcolex,affine_small,8,0.021978,a=-5;b=156,83.173077,181,best small-multiplier affine modulo layer size
ex287,3,364,3,onehot_slot_rev,center,revcolex,colex,affine_small,8,0.021978,a=-5;b=202,83.173077,181,best small-multiplier affine modulo layer size
ex287,3,364,4,onehot_slot_rev,center,revcolex,revcolex,affine_small,8,0.021978,a=5;b=161,83.173077,181,best small-multiplier affine modulo layer size
ex287,3,364,5,center,center,colex,colex,affine_small,8,0.021978,a=-3;b=203,86.365385,182,best small-multiplier affine modulo layer size
ex287,3,364,6,center,center,colex,revcolex,affine_small,8,0.021978,a=3;b=160,86.365385,182,best small-multiplier affine modulo layer size
ex287,3,364,7,center,center,revcolex,colex,affine_small,8,0.021978,a=3;b=206,86.365385,182,best small-multiplier affine modulo layer size
ex287,3,364,8,center,center,revcolex,revcolex,affine_small,8,0.021978,a=-3;b=157,86.365385,182,best small-multiplier affine modulo layer size
ex287,4,1001,1,natural,natural,colex,colex,identity,11,0.010989,,207.468531,500,
ex287,4,1001,2,natural,natural,colex,colex,affine_small,11,0.010989,a=1;b=0,207.468531,500,best small-multiplier affine modulo layer size
ex287,4,1001,3,natural,natural,colex,revcolex,reverse,11,0.010989,,207.468531,500,
ex287,4,1001,4,natural,natural,colex,revcolex,affine_small,11,0.010989,a=-1;b=1000,207.468531,500,best small-multiplier affine modulo layer size
ex287,4,1001,5,natural,natural,revcolex,colex,reverse,11,0.010989,,207.468531,500,
ex287,4,1001,6,natural,natural,revcolex,colex,affine_small,11,0.010989,a=-1;b=1000,207.468531,500,best small-multiplier affine modulo layer size
ex287,4,1001,7,natural,natural,revcolex,revcolex,identity,11,0.010989,,207.468531,500,
ex287,4,1001,8,natural,natural,revcolex,revcolex,affine_small,11,0.010989,a=1;b=0,207.468531,500,best small-multiplier affine modulo layer size
ex287,5,2002,1,center,center,lex,lex,affine_small,15,0.007493,a=1;b=2,447.596903,1000,best small-multiplier affine modulo layer size
ex287,5,2002,2,center,center,lex,revlex,affine_small,15,0.007493,a=-1;b=1999,447.596903,1000,best small-multiplier affine modulo layer size
ex287,5,2002,3,center,center,revlex,lex,affine_small,15,0.007493,a=-1;b=1,447.596903,1000,best small-multiplier affine modulo layer size
ex287,5,2002,4,center,center,revlex,revlex,affine_small,15,0.007493,a=1;b=2000,447.596903,1000,best small-multiplier affine modulo layer size
ex287,5,2002,5,natural,natural,lex,lex,affine_small,13,0.006494,a=1;b=1,455.942557,1001,best small-multiplier affine modulo layer size
ex287,5,2002,6,natural,natural,lex,revlex,affine_small,13,0.006494,a=-1;b=2000,455.942557,1001,best small-multiplier affine modulo layer size
ex287,5,2002,7,natural,natural,revlex,lex,affine_small,13,0.006494,a=-1;b=0,455.942557,1001,best small-multiplier affine modulo layer size
ex287,5,2002,8,natural,natural,revlex,revlex,affine_small,13,0.006494,a=1;b=2001,455.942557,1001,best small-multiplier affine modulo layer size
ex287,6,3003,1,center,outside,lex,colex,affine_small,9,0.002997,a=-1;b=229,667.973027,1501,best small-multiplier affine modulo layer size
ex287,6,3003,2,center,outside,lex,revcolex,affine_small,9,0.002997,a=1;b=2773,667.973027,1501,best small-multiplier affine modulo layer size
ex287,6,3003,3,center,outside,revlex,colex,affine_small,9,0.002997,a=1;b=230,667.973027,1501,best small-multiplier affine modulo layer size
ex287,6,3003,4,center,outside,revlex,revcolex,affine_small,9,0.002997,a=-1;b=2772,667.973027,1501,best small-multiplier affine modulo layer size
ex287,6,3003,5,natural,outside,lex,colex,affine_small,9,0.002997,a=-1;b=377,701.317682,1499,best small-multiplier affine modulo layer size
ex287,6,3003,6,natural,outside,lex,revcolex,affine_small,9,0.002997,a=1;b=2625,701.317682,1499,best small-multiplier affine modulo layer size
ex287,6,3003,7,natural,outside,revlex,colex,affine_small,9,0.002997,a=1;b=378,701.317682,1499,best small-multiplier affine modulo layer size
ex287,6,3003,8,natural,outside,revlex,revcolex,affine_small,9,0.002997,a=-1;b=2624,701.317682,1499,best small-multiplier affine modulo layer size
ex287,7,3432,1,center,outside,lex,colex,affine_small,9,0.002622,a=-1;b=2,761.000291,1714,best small-multiplier affine modulo layer size
ex287,7,3432,2,center,outside,lex,revcolex,affine_small,9,0.002622,a=1;b=3429,761.000291,1714,best small-multiplier affine modulo layer size
ex287,7,3432,3,center,outside,revlex,colex,affine_small,9,0.002622,a=1;b=3,761.000291,1714,best small-multiplier affine modulo layer size
ex287,7,3432,4,center,outside,revlex,revcolex,affine_small,9,0.002622,a=-1;b=3428,761.000291,1714,best small-multiplier affine modulo layer size
ex287,7,3432,5,center,onehot_slot,colex,colex,affine_small,9,0.002622,a=1;b=1979,826.538170,1716,best small-multiplier affine modulo layer size
ex287,7,3432,6,center,onehot_slot,colex,revcolex,affine_small,9,0.002622,a=-1;b=1452,826.538170,1716,best small-multiplier affine modulo layer size
ex287,7,3432,7,center,onehot_slot,revcolex,colex,affine_small,9,0.002622,a=-1;b=1978,826.538170,1716,best small-multiplier affine modulo layer size
ex287,7,3432,8,center,onehot_slot,revcolex,revcolex,affine_small,9,0.002622,a=1;b=1453,826.538170,1716,best small-multiplier affine modulo layer size
ex287,8,3003,1,natural,natural,colex,colex,identity,11,0.003663,,647.543124,1501,
ex287,8,3003,2,natural,natural,colex,colex,affine_small,11,0.003663,a=1;b=0,647.543124,1501,best small-multiplier affine modulo layer size
ex287,8,3003,3,natural,natural,colex,revcolex,reverse,11,0.003663,,647.543124,1501,
ex287,8,3003,4,natural,natural,colex,revcolex,affine_small,11,0.003663,a=-1;b=3002,647.543124,1501,best small-multiplier affine modulo layer size
ex287,8,3003,5,natural,natural,revcolex,colex,reverse,11,0.003663,,647.543124,1501,
ex287,8,3003,6,natural,natural,revcolex,colex,affine_small,11,0.003663,a=-1;b=3002,647.543124,1501,best small-multiplier affine modulo layer size
ex287,8,3003,7,natural,natural,revcolex,revcolex,identity,11,0.003663,,647.543124,1501,
ex287,8,3003,8,natural,natural,revcolex,revcolex,affine_small,11,0.003663,a=1;b=0,647.543124,1501,best small-multiplier affine modulo layer size
ex287,9,2002,1,natural,natural,colex,colex,identity,14,0.006993,,428.284715,1000,
ex287,9,2002,2,natural,natural,colex,colex,affine_small,14,0.006993,a=1;b=0,428.284715,1000,best small-multiplier affine modulo layer size
ex287,9,2002,3,natural,natural,colex,revcolex,reverse,14,0.006993,,428.284715,1000,
ex287,9,2002,4,natural,natural,colex,revcolex,affine_small,14,0.006993,a=-1;b=2001,428.284715,1000,best small-multiplier affine modulo layer size
ex287,9,2002,5,natural,natural,revcolex,colex,reverse,14,0.006993,,428.284715,1000,
ex287,9,2002,6,natural,natural,revcolex,colex,affine_small,14,0.006993,a=-1;b=2001,428.284715,1000,best small-multiplier affine modulo layer size
ex287,9,2002,7,natural,natural,revcolex,revcolex,identity,14,0.006993,,428.284715,1000,
ex287,9,2002,8,natural,natural,revcolex,revcolex,affine_small,14,0.006993,a=1;b=0,428.284715,1000,best small-multiplier affine modulo layer size
ex287,10,1001,1,natural,natural,colex,colex,identity,13,0.012987,,207.499500,499,
ex287,10,1001,2,natural,natural,colex,colex,affine_small,13,0.012987,a=1;b=0,207.499500,499,best small-multiplier affine modulo layer size
ex287,10,1001,3,natural,natural,colex,revcolex,reverse,13,0.012987,,207.499500,499,
ex287,10,1001,4,natural,natural,colex,revcolex,affine_small,13,0.012987,a=-1;b=1000,207.499500,499,best small-multiplier affine modulo layer size
ex287,10,1001,5,natural,natural,revcolex,colex,reverse,13,0.012987,,207.499500,499,
ex287,10,1001,6,natural,natural,revcolex,colex,affine_small,13,0.012987,a=-1;b=1000,207.499500,499,best small-multiplier affine modulo layer size
ex287,10,1001,7,natural,natural,revcolex,revcolex,identity,13,0.012987,,207.499500,499,
ex287,10,1001,8,natural,natural,revcolex,revcolex,affine_small,13,0.012987,a=1;b=0,207.499500,499,best small-multiplier affine modulo layer size
ex287,11,364,1,natural,natural,colex,colex,identity,12,0.032967,,69.774725,182,
ex287,11,364,2,natural,natural,colex,colex,affine_small,12,0.032967,a=1;b=0,69.774725,182,best small-multiplier affine modulo layer size
ex287,11,364,3,natural,natural,colex,revcolex,reverse,12,0.032967,,69.774725,182,
ex287,11,364,4,natural,natural,colex,revcolex,affine_small,12,0.032967,a=-1;b=363,69.774725,182,best small-multiplier affine modulo layer size
ex287,11,364,5,natural,natural,revcolex,colex,reverse,12,0.032967,,69.774725,182,
ex287,11,364,6,natural,natural,revcolex,colex,affine_small,12,0.032967,a=-1;b=363,69.774725,182,best small-multiplier affine modulo layer size
ex287,11,364,7,natural,natural,revcolex,revcolex,identity,12,0.032967,,69.774725,182,
ex287,11,364,8,natural,natural,revcolex,revcolex,affine_small,12,0.032967,a=1;b=0,69.774725,182,best small-multiplier affine modulo layer size
ex287,12,91,1,natural,natural,colex,colex,identity,9,0.098901,,14.758242,43,
ex287,12,91,2,natural,natural,colex,colex,affine_small,9,0.098901,a=1;b=0,14.758242,43,best small-multiplier affine modulo layer size
ex287,12,91,3,natural,natural,colex,revcolex,reverse,9,0.098901,,14.758242,43,
ex287,12,91,4,natural,natural,colex,revcolex,affine_small,9,0.098901,a=-1;b=90,14.758242,43,best small-multiplier affine modulo layer size
ex287,12,91,5,natural,natural,revcolex,colex,reverse,9,0.098901,,14.758242,43,
ex287,12,91,6,natural,natural,revcolex,colex,affine_small,9,0.098901,a=-1;b=90,14.758242,43,best small-multiplier affine modulo layer size
ex287,12,91,7,natural,natural,revcolex,revcolex,identity,9,0.098901,,14.758242,43,
ex287,12,91,8,natural,natural,revcolex,revcolex,affine_small,9,0.098901,a=1;b=0,14.758242,43,best small-multiplier affine modulo layer size
ex287,13,14,1,onehot_slot,onehot_slot,lex,lex,affine_small,5,0.357143,a=1;b=1,1.642857,6,best small-multiplier affine modulo layer size
ex287,13,14,2,onehot_slot,onehot_slot,lex,revlex,affine_small,5,0.357143,a=-1;b=12,1.642857,6,best small-multiplier affine modulo layer size
ex287,13,14,3,onehot_slot,onehot_slot,lex,colex,affine_small,5,0.357143,a=1;b=1,1.642857,6,best small-multiplier affine modulo layer size
ex287,13,14,4,onehot_slot,onehot_slot,lex,revcolex,affine_small,5,0.357143,a=-1;b=12,1.642857,6,best small-multiplier affine modulo layer size
ex287,13,14,5,onehot_slot,onehot_slot,revlex,lex,affine_small,5,0.357143,a=-1;b=0,1.642857,6,best small-multiplier affine modulo layer size
ex287,13,14,6,onehot_slot,onehot_slot,revlex,revlex,affine_small,5,0.357143,a=1;b=13,1.642857,6,best small-multiplier affine modulo layer size
ex287,13,14,7,onehot_slot,onehot_slot,revlex,colex,affine_small,5,0.357143,a=-1;b=0,1.642857,6,best small-multiplier affine modulo layer size
ex287,13,14,8,onehot_slot,onehot_slot,revlex,revcolex,affine_small,5,0.357143,a=1;b=13,1.642857,6,best small-multiplier affine modulo layer size
ex288,1,15,1,onehot_slot,natural,lex,lex,affine_small,6,0.400000,a=1;b=1,0.800000,2,best small-multiplier affine modulo layer size
ex288,1,15,2,onehot_slot,natural,lex,revlex,affine_small,6,0.400000,a=-1;b=13,0.800000,2,best small-multiplier affine modulo layer size
ex288,1,15,3,onehot_slot,natural,lex,colex,affine_small,6,0.400000,a=1;b=1,0.800000,2,best small-multiplier affine modulo layer size
ex288,1,15,4,onehot_slot,natural,lex,revcolex,affine_small,6,0.400000,a=-1;b=13,0.800000,2,best small-multiplier affine modulo layer size
ex288,1,15,5,onehot_slot,natural,revlex,lex,affine_small,6,0.400000,a=-1;b=0,0.800000,2,best small-multiplier affine modulo layer size
ex288,1,15,6,onehot_slot,natural,revlex,revlex,affine_small,6,0.400000,a=1;b=14,0.800000,2,best small-multiplier affine modulo layer size
ex288,1,15,7,onehot_slot,natural,revlex,colex,affine_small,6,0.400000,a=-1;b=0,0.800000,2,best small-multiplier affine modulo layer size
ex288,1,15,8,onehot_slot,natural,revlex,revcolex,affine_small,6,0.400000,a=1;b=14,0.800000,2,best small-multiplier affine modulo layer size
ex288,2,105,1,natural,onehot_slot_rev,colex,lex,affine_small,8,0.076190,a=-1;b=96,17.809524,52,best small-multiplier affine modulo layer size
ex288,2,105,2,natural,onehot_slot_rev,colex,revlex,affine_small,8,0.076190,a=1;b=8,17.809524,52,best small-multiplier affine modulo layer size
ex288,2,105,3,natural,onehot_slot_rev,revcolex,lex,affine_small,8,0.076190,a=1;b=97,17.809524,52,best small-multiplier affine modulo layer size
ex288,2,105,4,natural,onehot_slot_rev,revcolex,revlex,affine_small,8,0.076190,a=-1;b=7,17.809524,52,best small-multiplier affine modulo layer size
