case,candidate_id,parent_id,source,tool_chain,aig_path,area,delay,adp,equivalent,runtime_sec,notes
ex218,ex218_abc_dc2_dch,ex218_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex218.aig,1477,13,19201,1,0.659,abc portfolio flow
ex219,ex219_abc_dc2_dch,ex219_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex219.aig,4785,19,90915,1,1.955,abc portfolio flow
ex220,ex220_abc_dc2_dch,ex220_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex220.aig,46400,22,1020800,1,11.770,abc portfolio flow
ex221,ex221_abc_dc2_dch,ex221_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex221.aig,31456,22,692032,1,6.700,abc portfolio flow
ex222,ex222_abc_dc2_dch,ex222_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex222.aig,46959,22,1033098,1,11.236,abc portfolio flow
ex223,ex223_abc_dc2_dch,ex223_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex223.aig,53888,24,1293312,1,12.465,abc portfolio flow
ex224,ex224_abc_dc2_dch,ex224_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex224.aig,38946,23,895758,1,8.615,abc portfolio flow
ex225,ex225_abc_dc2_dch,ex225_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex225.aig,52348,24,1256352,1,11.515,abc portfolio flow
ex226,ex226_abc_dc2_dch,ex226_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex226.aig,97057,22,2135254,1,20.476,abc portfolio flow
ex227,ex227_abc_dc2_dch,ex227_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex227.aig,110205,23,2534715,1,25.655,abc portfolio flow
ex228,ex228_abc_dc2_dch,ex228_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex228.aig,24784,20,495680,1,6.205,abc portfolio flow
ex229,ex229_abc_dc2_dch,ex229_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex229.aig,12804,20,256080,1,2.699,abc portfolio flow
ex230,ex230_abc_dc2_dch,ex230_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex230.aig,30366,21,637686,1,7.347,abc portfolio flow
ex231,ex231_abc_dc2_dch,ex231_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex231.aig,2856,16,45696,1,1.135,abc portfolio flow
ex232,ex232_abc_dc2_dch,ex232_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex232.aig,3115,16,49840,1,0.847,abc portfolio flow
ex233,ex233_abc_dch_dc2,ex233_baseline,abc,abc_dch_dc2,student/work/best/abc_all_full_20260602_1524/ex233.aig,8415,21,176715,1,3.622,abc portfolio flow
ex234,ex234_abc_dc2_dch,ex234_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex234.aig,3540,16,56640,1,0.921,abc portfolio flow
ex235,ex235_abc_dc2_dch,ex235_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex235.aig,7948,20,158960,1,2.665,abc portfolio flow
ex236,ex236_abc_dc2_dch,ex236_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex236.aig,7109,17,120853,1,1.478,abc portfolio flow
ex237,ex237_abc_dc2_dch,ex237_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex237.aig,16133,20,322660,1,3.861,abc portfolio flow
ex238,ex238_abc_dc2_dch,ex238_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex238.aig,6867,17,116739,1,1.464,abc portfolio flow
ex239,ex239_abc_dc2_dch,ex239_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex239.aig,17472,21,366912,1,3.872,abc portfolio flow
ex240,ex240_abc_dc2_dch,ex240_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex240.aig,18706,21,392826,1,4.046,abc portfolio flow
ex241,ex241_abc_dc2_dch,ex241_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex241.aig,8170,19,155230,1,1.821,abc portfolio flow
ex242,ex242_abc_dc2_dch,ex242_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex242.aig,9291,19,176529,1,1.994,abc portfolio flow
ex243,ex243_abc_dc2_dch,ex243_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex243.aig,14016,19,266304,1,2.583,abc portfolio flow
ex244,ex244_abc_dc2_dch,ex244_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex244.aig,3895,18,70110,1,1.098,abc portfolio flow
ex245,ex245_abc_dc2_dch,ex245_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex245.aig,9914,19,188366,1,2.385,abc portfolio flow
ex246,ex246_abc_dc2_dch,ex246_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex246.aig,4665,17,79305,1,1.138,abc portfolio flow
ex247,ex247_abc_dc2_dch,ex247_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex247.aig,5156,18,92808,1,1.286,abc portfolio flow
ex248,ex248_abc_dc2_dch,ex248_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex248.aig,8520,18,153360,1,1.614,abc portfolio flow
ex249,ex249_abc_dc2_dch,ex249_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex249.aig,1292,17,21964,1,0.593,abc portfolio flow
ex250,ex250_abc_dc2_dch,ex250_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex250.aig,13151,19,249869,1,2.427,abc portfolio flow
ex251,ex251_abc_dc2_dch,ex251_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex251.aig,15452,20,309040,1,2.900,abc portfolio flow
ex252,ex252_abc_dc2_dch,ex252_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex252.aig,54237,23,1247451,1,11.640,abc portfolio flow
ex253,ex253_abc_dc2_dch,ex253_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex253.aig,10228,21,214788,1,2.947,abc portfolio flow
ex254,ex254_abc_dc2_dch,ex254_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex254.aig,18905,21,397005,1,3.524,abc portfolio flow
ex255,ex255_abc_dc2_dch,ex255_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex255.aig,327,11,3597,1,0.161,abc portfolio flow
ex256,ex256_abc_dc2_dch,ex256_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex256.aig,1386,14,19404,1,0.261,abc portfolio flow
ex257,ex257_abc_dc2_dch,ex257_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex257.aig,5875,18,105750,1,0.866,abc portfolio flow
ex258,ex258_abc_dc2_dch,ex258_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex258.aig,22483,21,472143,1,3.560,abc portfolio flow
ex259,ex259_abc_dc2_dch,ex259_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex259.aig,88093,24,2114232,1,21.793,abc portfolio flow
ex260,ex260_abc_dch_dc2,ex260_baseline,abc,abc_dch_dc2,student/work/best/abc_all_full_20260602_1524/ex260.aig,252,10,2520,1,0.154,abc portfolio flow
ex261,ex261_abc_dc2_dch,ex261_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex261.aig,1042,14,14588,1,0.227,abc portfolio flow
ex262,ex262_abc_dch_rw,ex262_baseline,abc,abc_dch_rw,student/work/best/abc_all_full_20260602_1524/ex262.aig,4021,17,68357,1,0.658,abc portfolio flow
ex263,ex263_abc_dc2_dch,ex263_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex263.aig,16596,20,331920,1,2.899,abc portfolio flow
ex264,ex264_abc_dc2_dch,ex264_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex264.aig,64761,24,1554264,1,16.191,abc portfolio flow
ex265,ex265_abc_dc2_dch,ex265_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex265.aig,99,10,990,1,0.142,abc portfolio flow
ex266,ex266_abc_dc2_dch,ex266_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex266.aig,284,12,3408,1,0.155,abc portfolio flow
ex267,ex267_abc_dch_dc2,ex267_baseline,abc,abc_dch_dc2,student/work/best/abc_all_full_20260602_1524/ex267.aig,754,16,12064,1,0.207,abc portfolio flow
ex268,ex268_abc_dch_dc2,ex268_baseline,abc,abc_dch_dc2,student/work/best/abc_all_full_20260602_1524/ex268.aig,1862,19,35378,1,0.376,abc portfolio flow
ex269,ex269_abc_dch_rw,ex269_baseline,abc,abc_dch_rw,student/work/best/abc_all_full_20260602_1524/ex269.aig,4613,22,101486,1,0.888,abc portfolio flow
ex270,ex270_abc_dc2_dch,ex270_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex270.aig,495,11,5445,1,0.174,abc portfolio flow
ex271,ex271_abc_dch_rw,ex271_baseline,abc,abc_dch_rw,student/work/best/abc_all_full_20260602_1524/ex271.aig,2071,14,28994,1,0.393,abc portfolio flow
ex272,ex272_abc_dch_rw,ex272_baseline,abc,abc_dch_rw,student/work/best/abc_all_full_20260602_1524/ex272.aig,8518,18,153324,1,1.344,abc portfolio flow
ex273,ex273_abc_dc2_dch,ex273_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex273.aig,32894,21,690774,1,6.112,abc portfolio flow
ex274,ex274_abc_dc2_dch,ex274_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex274.aig,125633,24,3015192,1,41.962,abc portfolio flow
ex275,ex275_abc_dc2_dch,ex275_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex275.aig,65,8,520,1,0.162,abc portfolio flow
ex276,ex276_abc_dc2_dch,ex276_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex276.aig,237,11,2607,1,0.204,abc portfolio flow
ex277,ex277_abc_dch_dc2,ex277_baseline,abc,abc_dch_dc2,student/work/best/abc_all_full_20260602_1524/ex277.aig,561,15,8415,1,0.192,abc portfolio flow
ex278,ex278_abc_dc2_dch,ex278_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex278.aig,1494,16,23904,1,0.327,abc portfolio flow
ex279,ex279_abc_dc2_dch,ex279_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex279.aig,3480,19,66120,1,0.892,abc portfolio flow
ex280,ex280_abc_dc2_dch,ex280_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex280.aig,3177,16,50832,1,0.484,abc portfolio flow
ex281,ex281_abc_dch_rw,ex281_baseline,abc,abc_dch_rw,student/work/best/abc_all_full_20260602_1524/ex281.aig,5279,17,89743,1,0.795,abc portfolio flow
ex282,ex282_abc_dc2_dch,ex282_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex282.aig,7062,19,134178,1,1.114,abc portfolio flow
ex283,ex283_abc_dch_dc2,ex283_baseline,abc,abc_dch_dc2,student/work/best/abc_all_full_20260602_1524/ex283.aig,11276,20,225520,1,2.172,abc portfolio flow
ex284,ex284_abc_dch_dc2,ex284_baseline,abc,abc_dch_dc2,student/work/best/abc_all_full_20260602_1524/ex284.aig,15300,21,321300,1,3.708,abc portfolio flow
ex285,ex285_abc_dc2_dch,ex285_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex285.aig,6356,16,101696,1,1.040,abc portfolio flow
ex286,ex286_abc_dc2_dch,ex286_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex286.aig,7886,17,134062,1,1.383,abc portfolio flow
ex287,ex287_abc_dch_dc2,ex287_baseline,abc,abc_dch_dc2,student/work/best/abc_all_full_20260602_1524/ex287.aig,14913,18,268434,1,3.448,abc portfolio flow
ex288,ex288_abc_dc2_dch,ex288_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex288.aig,24328,19,462232,1,5.711,abc portfolio flow
ex289,ex289_abc_dc2_dch,ex289_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex289.aig,31337,19,595403,1,9.230,abc portfolio flow
ex290,ex290_abc_dc2_dch,ex290_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex290.aig,10649,17,181033,1,1.733,abc portfolio flow
ex291,ex291_abc_dc2_dch,ex291_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex291.aig,16020,18,288360,1,2.986,abc portfolio flow
ex292,ex292_abc_dc2_dch,ex292_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex292.aig,23171,18,417078,1,4.871,abc portfolio flow
ex293,ex293_abc_dc2_dch,ex293_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex293.aig,31361,19,595859,1,7.414,abc portfolio flow
ex294,ex294_abc_dc2_dch,ex294_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex294.aig,40022,20,800440,1,11.351,abc portfolio flow
ex295,ex295_abc_dc2_dch,ex295_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex295.aig,19373,18,348714,1,2.897,abc portfolio flow
ex296,ex296_abc_dc2_dch,ex296_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex296.aig,22785,19,432915,1,3.971,abc portfolio flow
ex297,ex297_abc_dc2_dch,ex297_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex297.aig,81731,21,1716351,1,16.445,abc portfolio flow
ex298,ex298_abc_dc2_dch,ex298_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex298.aig,93156,21,1956276,1,22.522,abc portfolio flow
ex299,ex299_abc_dc2_dch,ex299_baseline,abc,abc_dc2_dch,student/work/best/abc_all_full_20260602_1524/ex299.aig,333372,24,8000928,1,157.571,abc portfolio flow
