case,insert_bit,input_width,transition_count,unique_deltas,delta_popcount_hist,majority_delta_popcount_match,before_output_keys,before_output_conflicts,before_output_majority_match,before_output_max_delta_fanout,before_layer_keys,before_layer_conflicts,before_layer_majority_match,before_layer_max_delta_fanout,bucket_state_keys,bucket_state_conflicts,bucket_state_majority_match,bucket_state_max_delta_fanout,delta_bdd_nodes,delta_bdd_output_width,selected_features
ex287,11,14,8192,1107,1:768;3:2175;5:2750;7:1810;9:614;11:75,2750,1928,543,6249,5,1928,543,6249,5,3456,0,8192,1,4293,14,xor6_7:xor8_9:raw13:raw12
ex287,12,14,8192,569,1:912;3:2336;5:2696;7:1720;9:488;11:40,2696,1817,418,6579,4,1817,418,6579,4,3456,0,8192,1,3881,14,xor6_7:xor8_9:raw13:raw12
ex287,13,14,8192,236,1:952;3:2644;5:2868;7:1460;9:260;11:8,2868,1817,388,6706,4,1817,388,6706,4,3456,0,8192,1,4274,14,xor6_7:xor8_9:raw13:raw12
ex288,0,15,16384,3517,1:93;3:817;5:2721;7:4759;9:4718;11:2524;13:688;15:64,4759,4406,1355,12252,5,4406,1355,12252,5,6912,0,16384,1,8301,15,raw13:raw10:xor6_7
ex288,1,15,16384,2759,1:793;3:3647;5:5832;7:4313;9:1535;11:242;13:22,5832,4402,1263,12142,6,4402,1263,12142,6,6912,0,16384,1,7917,15,raw13:raw10:xor6_7
ex288,2,15,16384,1234,1:1010;3:3897;5:5819;7:4147;9:1373;11:136;13:2,5819,4416,1273,12450,5,4416,1273,12450,5,6912,0,16384,1,8011,15,raw13:raw10:xor6_7
ex288,3,15,16384,899,1:887;3:4013;5:6166;7:4087;9:1150;11:80;13:1,6166,4349,1240,12391,6,4349,1240,12391,6,6912,0,16384,1,9616,15,raw13:raw10:xor6_7
ex288,4,15,16384,378,1:9426;3:5246;5:1353;7:332;9:27,9426,5543,2242,10700,8,5543,2242,10700,8,9216,0,16384,1,3232,15,raw13:raw10:xor6_7
ex288,5,15,16384,378,1:9426;3:5246;5:1353;7:332;9:27,9426,5543,2242,10700,8,5543,2242,10700,8,9216,0,16384,1,3232,15,raw13:raw10:xor6_7
ex288,6,15,16384,28,1:11884;3:4500,11884,5572,2169,10927,8,5572,2169,10927,8,9216,0,16384,1,1351,15,raw13:raw10:xor6_7
ex288,7,15,16384,28,1:11884;3:4500,11884,5572,2169,10927,8,5572,2169,10927,8,9216,0,16384,1,1351,15,raw13:raw10:xor6_7
ex288,8,15,16384,394,1:9216;3:6144;5:1024,9216,5010,1901,10967,8,5010,1901,10967,8,9216,0,16384,1,3143,15,raw13:raw10:xor6_7
ex288,9,15,16384,394,1:9216;3:6144;5:1024,9216,5010,1901,10967,8,5010,1901,10967,8,9216,0,16384,1,3143,15,raw13:raw10:xor6_7
ex288,10,15,16384,54,1:12288;3:4096,12288,4321,1224,12413,6,4321,1224,12413,6,6912,0,16384,1,1688,15,raw13:raw10:xor6_7
ex288,11,15,16384,2477,1:160;3:1208;5:3504;7:5256;9:4272;11:1728;13:256,5256,4380,1254,12600,4,4380,1254,12600,4,6912,0,16384,1,7469,15,raw13:raw10:xor6_7
ex288,12,15,16384,2058,1:892;3:3116;5:5109;7:4617;9:2191;11:431;13:28,5109,4341,1252,12432,6,4341,1252,12432,6,6912,0,16384,1,7092,15,raw13:raw10:xor6_7
ex288,13,15,16384,1834,1:788;3:3396;5:5366;7:4440;9:2006;11:368;13:20,5366,4374,1244,12255,6,4374,1244,12255,6,6912,0,16384,1,6683,15,raw13:raw10:xor6_7
ex288,14,15,16384,506,1:964;3:3633;5:5531;7:4305;9:1693;11:254;13:4,5531,4281,1073,12776,8,4281,1073,12776,8,6912,0,16384,1,5987,15,raw13:raw10:xor6_7
