case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex270,ex270_square_full_word_case_small_abc_g_aig,unsigned_square_x_times_x,full_word_case_small+abc_g_aig,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/verilog/ex270_square_full_word_case_small.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/aigs/ex270_square_full_word_case_small_abc_g_aig.aig,1,1,1,381,13,4953,2076,2.385838,0,0,0.314,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=full_word_case_small; flow=abc_g_aig
ex270,ex270_square_wallace_square_outside_csel5_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel5+wreduce_abc_g_aig,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel5.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel5_wreduce_abc_g_aig.aig,1,1,1,194,17,3298,2076,1.588632,0,0,0.259,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel5; flow=wreduce_abc_g_aig
ex270,ex270_square_wallace_square_outside_csel5_synth_preset,unsigned_square_x_times_x,wallace_square_outside_csel5+synth_preset,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel5.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel5_synth_preset.aig,1,1,1,191,17,3247,2076,1.564066,0,0,0.366,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel5; flow=synth_preset
ex270,ex270_square_wallace_square_outside_csel5_default,unsigned_square_x_times_x,wallace_square_outside_csel5+default,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel5.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel5_default.aig,1,1,1,251,17,4267,2076,2.055395,0,0,0.254,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel5; flow=default
ex270,ex270_square_wallace_square_outside_csel5_wreduce_default,unsigned_square_x_times_x,wallace_square_outside_csel5+wreduce_default,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel5.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel5_wreduce_default.aig,1,1,1,255,17,4335,2076,2.088150,0,0,0.261,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel5; flow=wreduce_default
ex271,ex271_square_full_word_case_small_abc_g_aig,unsigned_square_x_times_x,full_word_case_small+abc_g_aig,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/verilog/ex271_square_full_word_case_small.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/aigs/ex271_square_full_word_case_small_abc_g_aig.aig,1,1,1,1200,16,19200,5542,3.464453,0,0,0.770,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=full_word_case_small; flow=abc_g_aig
ex271,ex271_square_full_word_case_small_wreduce_abc_g_aig,unsigned_square_x_times_x,full_word_case_small+wreduce_abc_g_aig,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/verilog/ex271_square_full_word_case_small.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/aigs/ex271_square_full_word_case_small_wreduce_abc_g_aig.aig,1,1,1,1200,16,19200,5542,3.464453,0,0,0.767,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=full_word_case_small; flow=wreduce_abc_g_aig
ex271,ex271_square_full_word_case_small_synth_preset,unsigned_square_x_times_x,full_word_case_small+synth_preset,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/verilog/ex271_square_full_word_case_small.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/aigs/ex271_square_full_word_case_small_synth_preset.aig,1,1,1,1181,16,18896,5542,3.409599,0,0,0.945,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=full_word_case_small; flow=synth_preset
ex271,ex271_square_full_word_case_small_default,unsigned_square_x_times_x,full_word_case_small+default,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/verilog/ex271_square_full_word_case_small.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/aigs/ex271_square_full_word_case_small_default.aig,1,1,1,1213,16,19408,5542,3.501985,0,0,0.767,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=full_word_case_small; flow=default
ex271,ex271_square_full_word_case_small_wreduce_default,unsigned_square_x_times_x,full_word_case_small+wreduce_default,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/verilog/ex271_square_full_word_case_small.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/aigs/ex271_square_full_word_case_small_wreduce_default.aig,1,1,1,1213,16,19408,5542,3.501985,0,0,0.755,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=full_word_case_small; flow=wreduce_default
ex271,ex271_square_wallace_square_outside_csel4_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel4+abc_g_aig,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/verilog/ex271_square_wallace_square_outside_csel4.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/aigs/ex271_square_wallace_square_outside_csel4_abc_g_aig.aig,1,1,1,333,25,8325,5542,1.502165,0,0,0.336,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside_csel4; flow=abc_g_aig
ex271,ex271_square_wallace_square_outside_csel4_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel4+wreduce_abc_g_aig,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/verilog/ex271_square_wallace_square_outside_csel4.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/aigs/ex271_square_wallace_square_outside_csel4_wreduce_abc_g_aig.aig,1,1,1,333,25,8325,5542,1.502165,0,0,0.345,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside_csel4; flow=wreduce_abc_g_aig
ex271,ex271_square_wallace_square_outside_csel4_synth_preset,unsigned_square_x_times_x,wallace_square_outside_csel4+synth_preset,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/verilog/ex271_square_wallace_square_outside_csel4.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/aigs/ex271_square_wallace_square_outside_csel4_synth_preset.aig,1,1,1,331,25,8275,5542,1.493143,1,0,0.404,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside_csel4; flow=synth_preset
ex271,ex271_square_wallace_square_outside_csel4_default,unsigned_square_x_times_x,wallace_square_outside_csel4+default,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/verilog/ex271_square_wallace_square_outside_csel4.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/aigs/ex271_square_wallace_square_outside_csel4_default.aig,1,1,1,429,25,10725,5542,1.935222,0,0,0.312,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside_csel4; flow=default
ex271,ex271_square_wallace_square_outside_csel4_wreduce_default,unsigned_square_x_times_x,wallace_square_outside_csel4+wreduce_default,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/verilog/ex271_square_wallace_square_outside_csel4.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/aigs/ex271_square_wallace_square_outside_csel4_wreduce_default.aig,1,1,1,433,25,10825,5542,1.953266,0,0,0.324,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside_csel4; flow=wreduce_default
ex271,ex271_square_wallace_square_outside_csel5_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel5+abc_g_aig,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/verilog/ex271_square_wallace_square_outside_csel5.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/aigs/ex271_square_wallace_square_outside_csel5_abc_g_aig.aig,1,1,1,328,27,8856,5542,1.597979,0,0,0.307,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside_csel5; flow=abc_g_aig
ex271,ex271_square_wallace_square_outside_csel5_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel5+wreduce_abc_g_aig,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/verilog/ex271_square_wallace_square_outside_csel5.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/aigs/ex271_square_wallace_square_outside_csel5_wreduce_abc_g_aig.aig,1,1,1,328,27,8856,5542,1.597979,0,0,0.312,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside_csel5; flow=wreduce_abc_g_aig
ex271,ex271_square_wallace_square_outside_csel5_synth_preset,unsigned_square_x_times_x,wallace_square_outside_csel5+synth_preset,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/verilog/ex271_square_wallace_square_outside_csel5.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/aigs/ex271_square_wallace_square_outside_csel5_synth_preset.aig,1,1,1,324,27,8748,5542,1.578492,0,0,0.407,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside_csel5; flow=synth_preset
ex271,ex271_square_wallace_square_outside_csel5_default,unsigned_square_x_times_x,wallace_square_outside_csel5+default,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/verilog/ex271_square_wallace_square_outside_csel5.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/aigs/ex271_square_wallace_square_outside_csel5_default.aig,1,1,1,446,27,12042,5542,2.172862,0,0,0.326,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside_csel5; flow=default
ex271,ex271_square_wallace_square_outside_csel5_wreduce_default,unsigned_square_x_times_x,wallace_square_outside_csel5+wreduce_default,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/verilog/ex271_square_wallace_square_outside_csel5.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex271/aigs/ex271_square_wallace_square_outside_csel5_wreduce_default.aig,1,1,1,454,27,12258,5542,2.211837,0,0,0.327,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside_csel5; flow=wreduce_default
