case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex256,ex256_umul_csa_androws_4to2_leave0_cla_abc_g_aig,unsigned low5_high5:a*b,csa_androws_4to2_leave0_cla+abc_g_aig,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_4to2_leave0_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave0_cla_abc_g_aig.aig,1,1,1,179,19,3401,1911,1.779696,0,0,0.234,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave0_cla; flow=abc_g_aig
ex256,ex256_umul_csa_androws_4to2_leave2_cla_synth_preset_d18,unsigned low5_high5:a*b,csa_androws_4to2_leave2_cla+synth_preset_d18,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_4to2_leave2_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave2_cla_synth_preset_d18.aig,1,1,1,168,20,3360,1911,1.758242,0,0,0.322,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave2_cla; flow=synth_preset_d18
ex256,ex256_umul_csa_androws_4to2_leave3_cla_abc_g_aig,unsigned low5_high5:a*b,csa_androws_4to2_leave3_cla+abc_g_aig,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_4to2_leave3_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave3_cla_abc_g_aig.aig,1,1,1,154,21,3234,1911,1.692308,0,0,0.222,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave3_cla; flow=abc_g_aig
ex256,ex256_umul_csa_androws_4to2_leave3_cla_wreduce_abc_g_aig,unsigned low5_high5:a*b,csa_androws_4to2_leave3_cla+wreduce_abc_g_aig,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_4to2_leave3_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave3_cla_wreduce_abc_g_aig.aig,1,1,1,154,21,3234,1911,1.692308,0,0,0.222,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave3_cla; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_androws_4to2_leave3_cla_synth_preset_d13,unsigned low5_high5:a*b,csa_androws_4to2_leave3_cla+synth_preset_d13,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_4to2_leave3_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave3_cla_synth_preset_d13.aig,1,1,1,154,22,3388,1911,1.772894,0,0,0.283,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave3_cla; flow=synth_preset_d13
ex256,ex256_umul_csa_androws_4to2_leave3_cla_synth_preset_d18,unsigned low5_high5:a*b,csa_androws_4to2_leave3_cla+synth_preset_d18,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_4to2_leave3_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave3_cla_synth_preset_d18.aig,1,1,1,154,22,3388,1911,1.772894,0,0,0.266,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave3_cla; flow=synth_preset_d18
ex256,ex256_umul_csa_androws_4to2_leave4_cla_abc_g_aig,unsigned low5_high5:a*b,csa_androws_4to2_leave4_cla+abc_g_aig,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_4to2_leave4_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave4_cla_abc_g_aig.aig,1,1,1,159,18,2862,1911,1.497645,1,0,0.221,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave4_cla; flow=abc_g_aig
ex256,ex256_umul_csa_androws_4to2_leave4_cla_wreduce_abc_g_aig,unsigned low5_high5:a*b,csa_androws_4to2_leave4_cla+wreduce_abc_g_aig,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_4to2_leave4_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave4_cla_wreduce_abc_g_aig.aig,1,1,1,159,18,2862,1911,1.497645,1,0,0.228,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave4_cla; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_androws_4to2_leave4_cla_synth_preset_d13,unsigned low5_high5:a*b,csa_androws_4to2_leave4_cla+synth_preset_d13,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_4to2_leave4_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave4_cla_synth_preset_d13.aig,1,1,1,156,20,3120,1911,1.632653,0,0,0.304,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave4_cla; flow=synth_preset_d13
ex256,ex256_umul_csa_androws_4to2_leave4_cla_synth_preset_d18,unsigned low5_high5:a*b,csa_androws_4to2_leave4_cla+synth_preset_d18,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_4to2_leave4_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_4to2_leave4_cla_synth_preset_d18.aig,1,1,1,156,20,3120,1911,1.632653,0,0,0.304,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_4to2_leave4_cla; flow=synth_preset_d18
ex256,ex256_umul_csa_androws_cla_abc_g_aig,unsigned low5_high5:a*b,csa_androws_cla+abc_g_aig,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_cla_abc_g_aig.aig,1,1,1,159,18,2862,1911,1.497645,1,0,0.219,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=abc_g_aig
ex256,ex256_umul_csa_androws_cla_wreduce_abc_g_aig,unsigned low5_high5:a*b,csa_androws_cla+wreduce_abc_g_aig,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_cla_wreduce_abc_g_aig.aig,1,1,1,159,18,2862,1911,1.497645,1,0,0.227,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_androws_cla_synth_preset_d13,unsigned low5_high5:a*b,csa_androws_cla+synth_preset_d13,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_cla_synth_preset_d13.aig,1,1,1,156,20,3120,1911,1.632653,0,0,0.298,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=synth_preset_d13
ex256,ex256_umul_csa_androws_cla_synth_preset_d18,unsigned low5_high5:a*b,csa_androws_cla+synth_preset_d18,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/verilog/ex256_umul_csa_androws_cla.v,student/work/ex256_frontend_umul_4to2_compressor_20260609_0153/ex256/aigs/ex256_umul_csa_androws_cla_synth_preset_d18.aig,1,1,1,156,20,3120,1911,1.632653,0,0,0.336,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=synth_preset_d18
