case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_prefix5_bitwise_arith_wreduce_aig,unsigned_floor_isqrt,prefix5_bitwise+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/verilog/ex275_isqrt_prefix5_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/aigs/ex275_isqrt_prefix5_bitwise_arith_wreduce_aig.aig,1,1,1,74,9,666,204,3.264706,0,0,0.247,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_bitwise; flow=arith_wreduce_aig
ex275,ex275_isqrt_prefix5_bitwise_synth_preset,unsigned_floor_isqrt,prefix5_bitwise+synth_preset,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/verilog/ex275_isqrt_prefix5_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/aigs/ex275_isqrt_prefix5_bitwise_synth_preset.aig,1,1,1,54,9,486,204,2.382353,0,0,0.286,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_bitwise; flow=synth_preset
ex275,ex275_isqrt_prefix5_bitwise_synth_preset_d6,unsigned_floor_isqrt,prefix5_bitwise+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/verilog/ex275_isqrt_prefix5_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/aigs/ex275_isqrt_prefix5_bitwise_synth_preset_d6.aig,1,1,1,54,9,486,204,2.382353,0,0,0.286,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_bitwise; flow=synth_preset_d6
ex275,ex275_isqrt_prefix5_bitwise_synth_preset_d8,unsigned_floor_isqrt,prefix5_bitwise+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/verilog/ex275_isqrt_prefix5_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/aigs/ex275_isqrt_prefix5_bitwise_synth_preset_d8.aig,1,1,1,54,9,486,204,2.382353,0,0,0.295,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_bitwise; flow=synth_preset_d8
ex275,ex275_isqrt_prefix5_bitwise_synth_preset_d10,unsigned_floor_isqrt,prefix5_bitwise+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/verilog/ex275_isqrt_prefix5_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/aigs/ex275_isqrt_prefix5_bitwise_synth_preset_d10.aig,1,1,1,54,9,486,204,2.382353,0,0,0.291,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_bitwise; flow=synth_preset_d10
ex275,ex275_isqrt_prefix5_bitwise_abc_g_aig_d6,unsigned_floor_isqrt,prefix5_bitwise+abc_g_aig_d6,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/verilog/ex275_isqrt_prefix5_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/aigs/ex275_isqrt_prefix5_bitwise_abc_g_aig_d6.aig,1,1,1,74,9,666,204,3.264706,0,0,0.247,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_bitwise; flow=abc_g_aig_d6
ex275,ex275_isqrt_prefix5_bitwise_abc_g_aig_d8,unsigned_floor_isqrt,prefix5_bitwise+abc_g_aig_d8,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/verilog/ex275_isqrt_prefix5_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/aigs/ex275_isqrt_prefix5_bitwise_abc_g_aig_d8.aig,1,1,1,74,9,666,204,3.264706,0,0,0.242,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_bitwise; flow=abc_g_aig_d8
ex275,ex275_isqrt_prefix5_bitwise_abc_g_aig_d10,unsigned_floor_isqrt,prefix5_bitwise+abc_g_aig_d10,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/verilog/ex275_isqrt_prefix5_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/aigs/ex275_isqrt_prefix5_bitwise_abc_g_aig_d10.aig,1,1,1,74,9,666,204,3.264706,0,0,0.272,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_bitwise; flow=abc_g_aig_d10
ex275,ex275_isqrt_prefix6_bitwise_abc_g_aig,unsigned_floor_isqrt,prefix6_bitwise+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/verilog/ex275_isqrt_prefix6_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/aigs/ex275_isqrt_prefix6_bitwise_abc_g_aig.aig,1,1,1,107,13,1391,204,6.818627,0,0,0.287,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix6_bitwise; flow=abc_g_aig
ex275,ex275_isqrt_prefix6_bitwise_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix6_bitwise+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/verilog/ex275_isqrt_prefix6_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/aigs/ex275_isqrt_prefix6_bitwise_wreduce_abc_g_aig.aig,1,1,1,107,13,1391,204,6.818627,0,0,0.294,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix6_bitwise; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix6_bitwise_arith_wreduce_aig,unsigned_floor_isqrt,prefix6_bitwise+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/verilog/ex275_isqrt_prefix6_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/aigs/ex275_isqrt_prefix6_bitwise_arith_wreduce_aig.aig,1,1,1,91,10,910,204,4.460784,0,0,0.293,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix6_bitwise; flow=arith_wreduce_aig
ex275,ex275_isqrt_prefix6_bitwise_synth_preset,unsigned_floor_isqrt,prefix6_bitwise+synth_preset,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/verilog/ex275_isqrt_prefix6_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/aigs/ex275_isqrt_prefix6_bitwise_synth_preset.aig,1,1,1,52,8,416,204,2.039216,0,0,0.305,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix6_bitwise; flow=synth_preset
ex275,ex275_isqrt_prefix6_bitwise_synth_preset_d6,unsigned_floor_isqrt,prefix6_bitwise+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/verilog/ex275_isqrt_prefix6_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/aigs/ex275_isqrt_prefix6_bitwise_synth_preset_d6.aig,1,1,1,52,8,416,204,2.039216,0,0,0.307,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix6_bitwise; flow=synth_preset_d6
ex275,ex275_isqrt_prefix6_bitwise_synth_preset_d8,unsigned_floor_isqrt,prefix6_bitwise+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/verilog/ex275_isqrt_prefix6_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/aigs/ex275_isqrt_prefix6_bitwise_synth_preset_d8.aig,1,1,1,52,8,416,204,2.039216,0,0,0.308,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix6_bitwise; flow=synth_preset_d8
ex275,ex275_isqrt_prefix6_bitwise_synth_preset_d10,unsigned_floor_isqrt,prefix6_bitwise+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/verilog/ex275_isqrt_prefix6_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/aigs/ex275_isqrt_prefix6_bitwise_synth_preset_d10.aig,1,1,1,52,8,416,204,2.039216,0,0,3.152,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix6_bitwise; flow=synth_preset_d10
ex275,ex275_isqrt_prefix6_bitwise_abc_g_aig_d6,unsigned_floor_isqrt,prefix6_bitwise+abc_g_aig_d6,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/verilog/ex275_isqrt_prefix6_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/aigs/ex275_isqrt_prefix6_bitwise_abc_g_aig_d6.aig,1,1,1,107,13,1391,204,6.818627,0,0,1.218,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix6_bitwise; flow=abc_g_aig_d6
ex275,ex275_isqrt_prefix6_bitwise_abc_g_aig_d8,unsigned_floor_isqrt,prefix6_bitwise+abc_g_aig_d8,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/verilog/ex275_isqrt_prefix6_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_bitwise_20260609_1551/ex275/aigs/ex275_isqrt_prefix6_bitwise_abc_g_aig_d8.aig,1,1,1,107,13,1391,204,6.818627,0,0,0.991,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix6_bitwise; flow=abc_g_aig_d8
