case,input_coord,output_coord,degree,exact_bits,total_bits,total_terms,low_degree_terms,max_degree,bit_term_counts,bit_degrees,notes
ex289,raw,prefix_onehot,2,1,16,99376,556,16,16:7403:7537:9157:8759:5410:3098:7659:8069:4424:6238:8277:5756:7325:7566:2682,1:16:16:16:16:15:11:16:16:12:13:16:15:16:15:11,output-coordinate ANF over transformed input coordinates
ex289,raw,prefix_onehot,1,1,16,99376,121,16,16:7403:7537:9157:8759:5410:3098:7659:8069:4424:6238:8277:5756:7325:7566:2682,1:16:16:16:16:15:11:16:16:12:13:16:15:16:15:11,output-coordinate ANF over transformed input coordinates
ex289,raw,suffix_onehot,4,1,16,99406,5720,16,7387:5396:4424:5770:2676:8753:7535:3096:7574:8077:9171:6252:7339:16:8287:7653,16:15:12:15:11:16:16:11:15:16:16:13:16:1:16:16,output-coordinate ANF over transformed input coordinates
ex289,raw,suffix_onehot,3,1,16,99406,2297,16,7387:5396:4424:5770:2676:8753:7535:3096:7574:8077:9171:6252:7339:16:8287:7653,16:15:12:15:11:16:16:11:15:16:16:13:16:1:16:16,output-coordinate ANF over transformed input coordinates
ex289,raw,suffix_onehot,2,1,16,99406,586,16,7387:5396:4424:5770:2676:8753:7535:3096:7574:8077:9171:6252:7339:16:8287:7653,16:15:12:15:11:16:16:11:15:16:16:13:16:1:16:16,output-coordinate ANF over transformed input coordinates
ex289,raw,suffix_onehot,1,1,16,99406,151,16,7387:5396:4424:5770:2676:8753:7535:3096:7574:8077:9171:6252:7339:16:8287:7653,16:15:12:15:11:16:16:11:15:16:16:13:16:1:16:16,output-coordinate ANF over transformed input coordinates
ex289,raw,raw,4,0,16,111408,5012,16,7387:7315:6027:6817:8479:7413:6305:6239:7351:7257:5927:6761:8421:7325:6231:6153,16:16:16:16:16:16:16:16:16:16:16:16:16:16:16:16,output-coordinate ANF over transformed input coordinates
ex289,raw,reverse_bits,4,0,16,111408,5012,16,6153:6231:7325:8421:6761:5927:7257:7351:6239:6305:7413:8479:6817:6027:7315:7387,16:16:16:16:16:16:16:16:16:16:16:16:16:16:16:16,output-coordinate ANF over transformed input coordinates
ex289,raw,raw,3,0,16,111408,1532,16,7387:7315:6027:6817:8479:7413:6305:6239:7351:7257:5927:6761:8421:7325:6231:6153,16:16:16:16:16:16:16:16:16:16:16:16:16:16:16:16,output-coordinate ANF over transformed input coordinates
ex289,raw,reverse_bits,3,0,16,111408,1532,16,6153:6231:7325:8421:6761:5927:7257:7351:6239:6305:7413:8479:6817:6027:7315:7387,16:16:16:16:16:16:16:16:16:16:16:16:16:16:16:16,output-coordinate ANF over transformed input coordinates
ex289,raw,raw,2,0,16,111408,250,16,7387:7315:6027:6817:8479:7413:6305:6239:7351:7257:5927:6761:8421:7325:6231:6153,16:16:16:16:16:16:16:16:16:16:16:16:16:16:16:16,output-coordinate ANF over transformed input coordinates
ex289,raw,reverse_bits,2,0,16,111408,250,16,6153:6231:7325:8421:6761:5927:7257:7351:6239:6305:7413:8479:6817:6027:7315:7387,16:16:16:16:16:16:16:16:16:16:16:16:16:16:16:16,output-coordinate ANF over transformed input coordinates
ex289,raw,raw,1,0,16,111408,16,16,7387:7315:6027:6817:8479:7413:6305:6239:7351:7257:5927:6761:8421:7325:6231:6153,16:16:16:16:16:16:16:16:16:16:16:16:16:16:16:16,output-coordinate ANF over transformed input coordinates
ex289,raw,reverse_bits,1,0,16,111408,16,16,6153:6231:7325:8421:6761:5927:7257:7351:6239:6305:7413:8479:6817:6027:7315:7387,16:16:16:16:16:16:16:16:16:16:16:16:16:16:16:16,output-coordinate ANF over transformed input coordinates
