case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_prefix3_range_synth_preset,unsigned_floor_isqrt,prefix3_range+synth_preset,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_prefix3_range.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_prefix3_range_synth_preset.aig,1,1,1,48,8,384,204,1.882353,0,0,0.282,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_range; flow=synth_preset
ex275,ex275_isqrt_prefix4_range_abc_g_aig,unsigned_floor_isqrt,prefix4_range+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_prefix4_range.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_prefix4_range_abc_g_aig.aig,1,1,1,50,8,400,204,1.960784,0,0,0.213,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_range; flow=abc_g_aig
ex275,ex275_isqrt_prefix4_range_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix4_range+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_prefix4_range.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_prefix4_range_wreduce_abc_g_aig.aig,1,1,1,50,8,400,204,1.960784,0,0,0.214,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_range; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix4_range_synth_preset,unsigned_floor_isqrt,prefix4_range+synth_preset,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_prefix4_range.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_prefix4_range_synth_preset.aig,1,1,1,51,7,357,204,1.750000,0,0,0.282,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_range; flow=synth_preset
ex275,ex275_isqrt_full_case_small_abc_g_aig,unsigned_floor_isqrt,full_case_small+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_full_case_small.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_full_case_small_abc_g_aig.aig,1,1,1,46,10,460,204,2.254902,0,0,0.199,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=full_case_small; flow=abc_g_aig
ex275,ex275_isqrt_full_case_small_wreduce_abc_g_aig,unsigned_floor_isqrt,full_case_small+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_full_case_small.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_full_case_small_wreduce_abc_g_aig.aig,1,1,1,46,10,460,204,2.254902,0,0,0.201,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=full_case_small; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_full_case_small_synth_preset,unsigned_floor_isqrt,full_case_small+synth_preset,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_full_case_small.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_full_case_small_synth_preset.aig,1,1,1,43,9,387,204,1.897059,0,0,0.257,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=full_case_small; flow=synth_preset
ex275,ex275_isqrt_bdd_natural_abc_g_aig,unsigned_floor_isqrt,bdd_natural+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_bdd_natural.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_bdd_natural_abc_g_aig.aig,1,1,1,50,10,500,204,2.450980,0,0,0.184,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_natural; flow=abc_g_aig
ex275,ex275_isqrt_bdd_natural_wreduce_abc_g_aig,unsigned_floor_isqrt,bdd_natural+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_bdd_natural.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_bdd_natural_wreduce_abc_g_aig.aig,1,1,1,50,10,500,204,2.450980,0,0,0.185,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_natural; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_bdd_natural_synth_preset,unsigned_floor_isqrt,bdd_natural+synth_preset,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/verilog/ex275_isqrt_bdd_natural.v,student/work/ex275_ex279_frontend_isqrt_structures_20260609_1551/ex275/aigs/ex275_isqrt_bdd_natural_synth_preset.aig,1,1,1,52,11,572,204,2.803922,0,0,0.244,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_natural; flow=synth_preset
