case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_wallace_square_outside_csel8_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel8+abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex273/verilog/ex273_square_wallace_square_outside_csel8.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex273/aigs/ex273_square_wallace_square_outside_csel8_abc_g_aig.aig,1,1,1,725,38,27550,15078,1.827165,0,0,0.776,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel8; flow=abc_g_aig
ex273,ex273_square_wallace_square_outside_csel8_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel8+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex273/verilog/ex273_square_wallace_square_outside_csel8.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex273/aigs/ex273_square_wallace_square_outside_csel8_wreduce_abc_g_aig.aig,1,1,1,723,37,26751,15078,1.774174,0,0,0.779,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel8; flow=wreduce_abc_g_aig
ex273,ex273_square_wallace_square_outside_csel8_synth_preset,unsigned_square_x_times_x,wallace_square_outside_csel8+synth_preset,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex273/verilog/ex273_square_wallace_square_outside_csel8.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex273/aigs/ex273_square_wallace_square_outside_csel8_synth_preset.aig,1,1,1,724,37,26788,15078,1.776628,0,0,0.936,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel8; flow=synth_preset
ex274,ex274_square_hybrid_bddtop2_perbit_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_perbit+abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2_perbit.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_perbit_abc_g_aig.aig,1,1,1,991,44,43604,21630,2.015904,0,0,4.170,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_perbit; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop2_perbit_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_perbit+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2_perbit.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_perbit_wreduce_abc_g_aig.aig,1,1,1,991,44,43604,21630,2.015904,0,0,4.443,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_perbit; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop2_perbit_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_perbit+synth_preset,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2_perbit.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_perbit_synth_preset.aig,1,1,1,991,43,42613,21630,1.970088,0,0,4.463,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_perbit; flow=synth_preset
ex274,ex274_square_hybrid_bddtop3_perbit_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_perbit+abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop3_perbit.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop3_perbit_abc_g_aig.aig,1,1,1,1019,43,43817,21630,2.025751,0,0,3.426,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_perbit; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop3_perbit_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_perbit+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop3_perbit.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop3_perbit_wreduce_abc_g_aig.aig,1,1,1,1017,43,43731,21630,2.021775,0,0,3.491,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_perbit; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop3_perbit_synth_preset,unsigned_square_x_times_x,hybrid_bddtop3_perbit+synth_preset,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop3_perbit.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop3_perbit_synth_preset.aig,1,1,1,1017,42,42714,21630,1.974757,0,0,3.693,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_perbit; flow=synth_preset
ex274,ex274_square_hybrid_bddtop4_perbit_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_perbit+abc_g_aig,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop4_perbit.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop4_perbit_abc_g_aig.aig,1,1,1,1059,41,43419,21630,2.007351,0,0,3.533,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4_perbit; flow=abc_g_aig
