case,candidate_id,evaluate_status,equivalent,area,delay,adp,verilog_path,aig_path,log_path,agent_id,notes,status,output_dir,evaluate_log,runtime_sec,shard_csv,domain,method_signature,evaluate_command,beats_frontend,beats_current_best,beats_reference
ex244,ex244_ex244_r75_valid_delta_bits_repo_yosys,OK,1,326,38,12388,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex244/verilog/ex244_r75_valid_delta_bits.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex244/aigs/ex244_ex244_r75_valid_delta_bits_repo_yosys.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex244/logs/ex244_ex244_r75_valid_delta_bits_repo_yosys.yosys.log,sub-fp8-addhypot-redesc-r75,official evaluate.py OK; eval_sec=0.552; total_sec=0.854,OK,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex244/eval/ex244_ex244_r75_valid_delta_bits_repo_yosys,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex244/logs/ex244_ex244_r75_valid_delta_bits_repo_yosys.evaluate.py.log,0.854,agent_shards/sub-fp8-addhypot-redesc-r75/evaluation_results.csv,float_fp8,"ex244|E4M3FN packed hypot abs(high,low)|ex244_r75_valid_delta_bits|gate_individual_max_plus_delta_bits_with_the_small_gap_predicate_after_the_exact_delta_bdd|repo_yosys_frontend_default|official_evaluate|full_word",,,,
ex244,ex244_ex244_r75_field_valid_delta_bits_repo_yosys,OK,1,328,35,11480,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex244/verilog/ex244_r75_field_valid_delta_bits.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex244/aigs/ex244_ex244_r75_field_valid_delta_bits_repo_yosys.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex244/logs/ex244_ex244_r75_field_valid_delta_bits_repo_yosys.yosys.log,sub-fp8-addhypot-redesc-r75,official evaluate.py OK; eval_sec=0.518; total_sec=0.772,OK,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex244/eval/ex244_ex244_r75_field_valid_delta_bits_repo_yosys,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex244/logs/ex244_ex244_r75_field_valid_delta_bits_repo_yosys.evaluate.py.log,0.772,agent_shards/sub-fp8-addhypot-redesc-r75/evaluation_results.csv,float_fp8,"ex244|E4M3FN packed hypot abs(high,low)|ex244_r75_field_valid_delta_bits|field_level_max_min_decode_plus_individual_valid_gated_delta_bits|repo_yosys_frontend_default|official_evaluate|full_word",,,,
ex245,ex245_ex245_r75_field_active_mux_repo_yosys,OK,1,741,31,22971,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex245/verilog/ex245_r75_field_active_mux.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex245/aigs/ex245_ex245_r75_field_active_mux_repo_yosys.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex245/logs/ex245_ex245_r75_field_active_mux_repo_yosys.yosys.log,sub-fp8-addhypot-redesc-r75,official evaluate.py OK; eval_sec=0.785; total_sec=2.059,OK,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex245/eval/ex245_ex245_r75_field_active_mux_repo_yosys,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex245/logs/ex245_ex245_r75_field_active_mux_repo_yosys.evaluate.py.log,2.059,agent_shards/sub-fp8-addhypot-redesc-r75/evaluation_results.csv,float_fp8,ex245|E5M2FN packed add high byte plus low byte|ex245_r75_field_active_mux|direct_e5_field_compare_decode_plus_active_same_diff_table_gating_before_output_mux|repo_yosys_frontend_default|official_evaluate|full_word,,,,
ex245,ex245_ex245_r75_field_keyed_tables_repo_yosys,OK,1,756,36,27216,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex245/verilog/ex245_r75_field_keyed_tables.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex245/aigs/ex245_ex245_r75_field_keyed_tables_repo_yosys.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex245/logs/ex245_ex245_r75_field_keyed_tables_repo_yosys.yosys.log,sub-fp8-addhypot-redesc-r75,official evaluate.py OK; eval_sec=0.761; total_sec=1.910,OK,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex245/eval/ex245_ex245_r75_field_keyed_tables_repo_yosys,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex245/logs/ex245_ex245_r75_field_keyed_tables_repo_yosys.evaluate.py.log,1.910,agent_shards/sub-fp8-addhypot-redesc-r75/evaluation_results.csv,float_fp8,ex245|E5M2FN packed add high byte plus low byte|ex245_r75_field_keyed_tables|direct_e5_field_compare_decode_plus_inactive_key_suppression_for_same_diff_tables|repo_yosys_frontend_default|official_evaluate|full_word,,,,
ex249,ex249_ex249_r75_active_key_delta_case_repo_yosys,OK,1,208,37,7696,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex249/verilog/ex249_r75_active_key_delta_case.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex249/aigs/ex249_ex249_r75_active_key_delta_case_repo_yosys.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex249/logs/ex249_ex249_r75_active_key_delta_case_repo_yosys.yosys.log,sub-fp8-addhypot-redesc-r75,official evaluate.py OK; eval_sec=0.453; total_sec=0.656,OK,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex249/eval/ex249_ex249_r75_active_key_delta_case_repo_yosys,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex249/logs/ex249_ex249_r75_active_key_delta_case_repo_yosys.evaluate.py.log,0.656,agent_shards/sub-fp8-addhypot-redesc-r75/evaluation_results.csv,float_fp8,"ex249|E5M2FN packed hypot abs(high,low)|ex249_r75_active_key_delta_case|active_gap_key_gating_before_the_original_2_bit_delta_case_and_shared_saturation_guard|repo_yosys_frontend_default|official_evaluate|full_word",,,,
ex249,ex249_ex249_r75_active_key_split_pred_repo_yosys,OK,1,205,36,7380,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex249/verilog/ex249_r75_active_key_split_pred.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex249/aigs/ex249_ex249_r75_active_key_split_pred_repo_yosys.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex249/logs/ex249_ex249_r75_active_key_split_pred_repo_yosys.yosys.log,sub-fp8-addhypot-redesc-r75,official evaluate.py OK; eval_sec=0.451; total_sec=0.698,OK,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex249/eval/ex249_ex249_r75_active_key_split_pred_repo_yosys,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-addhypot-redesc-r75/ex249/logs/ex249_ex249_r75_active_key_split_pred_repo_yosys.evaluate.py.log,0.698,agent_shards/sub-fp8-addhypot-redesc-r75/evaluation_results.csv,float_fp8,"ex249|E5M2FN packed hypot abs(high,low)|ex249_r75_active_key_split_pred|active_gap_key_gating_feeding_split_inc1_inc2_predicate_tables_and_shared_saturation_guard|repo_yosys_frontend_default|official_evaluate|full_word",,,,
ex241,ex241_r75_product_class_step_patch,OK,1,988,41,40508,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-muldiv-redesc-r75/ex241/verilog/ex241_r75_product_class_step_patch.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-muldiv-redesc-r75/ex241/aigs/ex241_r75_product_class_step_patch.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-muldiv-redesc-r75/ex241/logs/ex241_r75_product_class_step_patch.evaluate.py.log,sub-fp8-muldiv-redesc-r75,official evaluate.py OK,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp8-muldiv-redesc-r75/evaluation_results.csv,,,,,,
ex246,ex246_r75_pprod_class_step_patch,OK,1,421,29,12209,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-muldiv-redesc-r75/ex246/verilog/ex246_r75_pprod_class_step_patch.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-muldiv-redesc-r75/ex246/aigs/ex246_r75_pprod_class_step_patch.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-muldiv-redesc-r75/ex246/logs/ex246_r75_pprod_class_step_patch.evaluate.py.log,sub-fp8-muldiv-redesc-r75,official evaluate.py OK,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp8-muldiv-redesc-r75/evaluation_results.csv,,,,,,
ex247,ex247_r75_sigpair_delta_patch,OK,1,519,28,14532,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-muldiv-redesc-r75/ex247/verilog/ex247_r75_sigpair_delta_patch.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-muldiv-redesc-r75/ex247/aigs/ex247_r75_sigpair_delta_patch.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-fp8-muldiv-redesc-r75/ex247/logs/ex247_r75_sigpair_delta_patch.evaluate.py.log,sub-fp8-muldiv-redesc-r75,official evaluate.py OK,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp8-muldiv-redesc-r75/evaluation_results.csv,,,,,,
ex297,ex297_r75_pairsel_sel2_cluster_static,OK,1,26617,16,425872,student/work/frontend_source_parallel_round75_20260613_1450/sub-unknown-large-redesc-r75/ex297/verilog/ex297_r75_pairsel_sel2_cluster_static.v,student/work/frontend_source_parallel_round75_20260613_1450/sub-unknown-large-redesc-r75/ex297/aigs/ex297_r75_pairsel_sel2_cluster_static.aig,student/work/frontend_source_parallel_round75_20260613_1450/sub-unknown-large-redesc-r75/ex297/logs/ex297_r75_pairsel_sel2_cluster_static.evaluate.py.log,sub-unknown-large-redesc-r75,"official evaluate.py result; r75 bit_source=0:pairsel,1:pairsel,2:pairsel,3:pairsel,4:pairsel,5:pairsel,6:pairsel,7:pairsel,8:pairsel,9:pairsel,10:sel2,11:sel2,12:pairsel,13:pairsel; synth_sec=47.533; eval_sec=0.820",evaluated,student/work/frontend_source_parallel_round75_20260613_1450/sub-unknown-large-redesc-r75/ex297/official_outputs/ex297_r75_pairsel_sel2_cluster_static,student/work/frontend_source_parallel_round75_20260613_1450/sub-unknown-large-redesc-r75/ex297/logs/ex297_r75_pairsel_sel2_cluster_static.evaluate.py.log,0.820,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-unknown-large-redesc-r75/evaluation_results.csv,,ex297|cyclic_2bit_static_bitcone_graft|static selected output bits from sel2-cluster source over pairsel current best|pairsel template provides most outputs; only output bits 10/11 use the sel2 BDD cone|yosys_internal_abc_g_aig|official_evaluate|static_sel2_cluster_bits,/usr/bin/python3 /home/b10507053/ALS_Final_Project/evaluate.py --case ex297 --output /home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round75_20260613_1450/sub-unknown-large-redesc-r75/ex297/official_outputs/ex297_r75_pairsel_sel2_cluster_static --timeout 180,false,false,false
