case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex263,ex263_smul_baugh_wooley_dadda_abc_g_aig,1,357,36,12852,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/aigs/ex263_smul_baugh_wooley_dadda_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_dadda; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_dadda_wreduce_abc_g_aig,1,357,36,12852,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/aigs/ex263_smul_baugh_wooley_dadda_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_dadda; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_dadda_synth_preset_d13,1,357,36,12852,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/aigs/ex263_smul_baugh_wooley_dadda_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_dadda; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_hcla4_abc_g_aig,1,357,26,9282,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/aigs/ex263_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,1,357,26,9282,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/aigs/ex263_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,1,359,26,9334,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/aigs/ex263_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_pfx6_abc_g_aig,1,363,25,9075,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/aigs/ex263_smul_baugh_wooley_wallace_pfx6_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_pfx6; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig,1,363,25,9075,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/aigs/ex263_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_pfx6; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_pfx6_synth_preset_d13,1,361,26,9386,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/aigs/ex263_smul_baugh_wooley_wallace_pfx6_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_pfx6; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_dadda_hcla4_abc_g_aig,1,496,37,18352,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex264/aigs/ex264_smul_baugh_wooley_dadda_hcla4_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_dadda_hcla4; flow=abc_g_aig
