case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_dadda_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_dadda_hcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/verilog/ex260_smul_baugh_wooley_dadda_hcla4.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/aigs/ex260_smul_baugh_wooley_dadda_hcla4_abc_g_aig.aig,1,1,1,98,16,1568,657,2.386606,0,0,0.219,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_dadda_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+synth_preset_d13,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.264,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_pfx6_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_pfx6+abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.236,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_pfx6+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.218,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx6_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_pfx6+synth_preset_d13,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_synth_preset_d13.aig,1,1,1,89,16,1424,657,2.167428,0,0,0.247,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_dadda_hcla4_abc_g_aig,signed low5_high5:a*b,baugh_wooley_dadda_hcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/verilog/ex261_smul_baugh_wooley_dadda_hcla4.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/aigs/ex261_smul_baugh_wooley_dadda_hcla4_abc_g_aig.aig,1,1,1,164,25,4100,2041,2.008819,0,0,0.236,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_dadda_hcla4; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_dadda_hcla4_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_dadda_hcla4+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/verilog/ex261_smul_baugh_wooley_dadda_hcla4.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/aigs/ex261_smul_baugh_wooley_dadda_hcla4_wreduce_abc_g_aig.aig,1,1,1,169,23,3887,2041,1.904459,0,0,0.269,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_dadda_hcla4; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_dadda_hcla4_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_dadda_hcla4+synth_preset_d13,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/verilog/ex261_smul_baugh_wooley_dadda_hcla4.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/aigs/ex261_smul_baugh_wooley_dadda_hcla4_synth_preset_d13.aig,1,1,1,164,23,3772,2041,1.848114,0,0,0.313,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_dadda_hcla4; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_dadda_pfx6_abc_g_aig,signed low5_high5:a*b,baugh_wooley_dadda_pfx6+abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/verilog/ex261_smul_baugh_wooley_dadda_pfx6.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/aigs/ex261_smul_baugh_wooley_dadda_pfx6_abc_g_aig.aig,1,1,1,163,25,4075,2041,1.996570,0,0,0.230,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_dadda_pfx6; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_dadda_pfx6_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_dadda_pfx6+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/verilog/ex261_smul_baugh_wooley_dadda_pfx6.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/aigs/ex261_smul_baugh_wooley_dadda_pfx6_wreduce_abc_g_aig.aig,1,1,1,163,25,4075,2041,1.996570,0,0,0.248,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_dadda_pfx6; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_dadda_pfx6_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_dadda_pfx6+synth_preset_d13,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/verilog/ex261_smul_baugh_wooley_dadda_pfx6.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/aigs/ex261_smul_baugh_wooley_dadda_pfx6_synth_preset_d13.aig,1,1,1,163,25,4075,2041,1.996570,0,0,0.299,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_dadda_pfx6; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_dadda_abc_g_aig,signed low5_high5:a*b,baugh_wooley_dadda+abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/verilog/ex261_smul_baugh_wooley_dadda.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/aigs/ex261_smul_baugh_wooley_dadda_abc_g_aig.aig,1,1,1,163,25,4075,2041,1.996570,0,0,0.226,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_dadda; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_dadda_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_dadda+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/verilog/ex261_smul_baugh_wooley_dadda.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/aigs/ex261_smul_baugh_wooley_dadda_wreduce_abc_g_aig.aig,1,1,1,163,25,4075,2041,1.996570,0,0,0.245,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_dadda; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_dadda_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_dadda+synth_preset_d13,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/verilog/ex261_smul_baugh_wooley_dadda.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/aigs/ex261_smul_baugh_wooley_dadda_synth_preset_d13.aig,1,1,1,163,25,4075,2041,1.996570,0,0,0.294,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_dadda; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.246,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.256,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+synth_preset_d13,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.321,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_pfx6_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_pfx6+abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx6_abc_g_aig.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.235,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx6; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_pfx6+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.238,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx6; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_pfx6_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_pfx6+synth_preset_d13,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx6_synth_preset_d13.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.287,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx6; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_dadda_hcla4_abc_g_aig,signed low7_high7:a*b,baugh_wooley_dadda_hcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/verilog/ex263_smul_baugh_wooley_dadda_hcla4.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/aigs/ex263_smul_baugh_wooley_dadda_hcla4_abc_g_aig.aig,1,1,1,361,34,12274,6840,1.794444,0,0,0.575,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_dadda_hcla4; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_dadda_hcla4_wreduce_abc_g_aig,signed low7_high7:a*b,baugh_wooley_dadda_hcla4+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/verilog/ex263_smul_baugh_wooley_dadda_hcla4.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/aigs/ex263_smul_baugh_wooley_dadda_hcla4_wreduce_abc_g_aig.aig,1,1,1,358,33,11814,6840,1.727193,0,0,0.599,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_dadda_hcla4; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_dadda_hcla4_synth_preset_d13,signed low7_high7:a*b,baugh_wooley_dadda_hcla4+synth_preset_d13,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/verilog/ex263_smul_baugh_wooley_dadda_hcla4.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/aigs/ex263_smul_baugh_wooley_dadda_hcla4_synth_preset_d13.aig,1,1,1,358,33,11814,6840,1.727193,0,0,0.703,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_dadda_hcla4; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_dadda_pfx6_abc_g_aig,signed low7_high7:a*b,baugh_wooley_dadda_pfx6+abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/verilog/ex263_smul_baugh_wooley_dadda_pfx6.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/aigs/ex263_smul_baugh_wooley_dadda_pfx6_abc_g_aig.aig,1,1,1,357,36,12852,6840,1.878947,0,0,0.545,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_dadda_pfx6; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_dadda_pfx6_wreduce_abc_g_aig,signed low7_high7:a*b,baugh_wooley_dadda_pfx6+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/verilog/ex263_smul_baugh_wooley_dadda_pfx6.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/aigs/ex263_smul_baugh_wooley_dadda_pfx6_wreduce_abc_g_aig.aig,1,1,1,357,36,12852,6840,1.878947,0,0,0.562,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_dadda_pfx6; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_dadda_pfx6_synth_preset_d13,signed low7_high7:a*b,baugh_wooley_dadda_pfx6+synth_preset_d13,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/verilog/ex263_smul_baugh_wooley_dadda_pfx6.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/aigs/ex263_smul_baugh_wooley_dadda_pfx6_synth_preset_d13.aig,1,1,1,357,36,12852,6840,1.878947,0,0,0.712,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_dadda_pfx6; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_dadda_abc_g_aig,signed low7_high7:a*b,baugh_wooley_dadda+abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/verilog/ex263_smul_baugh_wooley_dadda.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/aigs/ex263_smul_baugh_wooley_dadda_abc_g_aig.aig,1,1,1,357,36,12852,6840,1.878947,0,0,0.552,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_dadda; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_dadda_wreduce_abc_g_aig,signed low7_high7:a*b,baugh_wooley_dadda+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/verilog/ex263_smul_baugh_wooley_dadda.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/aigs/ex263_smul_baugh_wooley_dadda_wreduce_abc_g_aig.aig,1,1,1,357,36,12852,6840,1.878947,0,0,0.594,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_dadda; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_dadda_synth_preset_d13,signed low7_high7:a*b,baugh_wooley_dadda+synth_preset_d13,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/verilog/ex263_smul_baugh_wooley_dadda.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/aigs/ex263_smul_baugh_wooley_dadda_synth_preset_d13.aig,1,1,1,357,36,12852,6840,1.878947,0,0,0.669,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_dadda; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_hcla4_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace_hcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/verilog/ex263_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/aigs/ex263_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,1,1,1,357,26,9282,6840,1.357018,1,0,0.513,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace_hcla4+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/verilog/ex263_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/aigs/ex263_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,1,1,1,357,26,9282,6840,1.357018,1,0,0.554,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,signed low7_high7:a*b,baugh_wooley_wallace_hcla4+synth_preset_d13,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/verilog/ex263_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/aigs/ex263_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,1,1,1,359,26,9334,6840,1.364620,1,0,0.649,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
