case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_high3_case_lowsq_abc_g_aig,unsigned_square_x_times_x,high3_case_lowsq+abc_g_aig,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/verilog/ex273_square_high3_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/aigs/ex273_square_high3_case_lowsq_abc_g_aig.aig,1,1,1,1179,54,63666,15078,4.222443,0,0,1.023,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=high3_case_lowsq; flow=abc_g_aig
ex273,ex273_square_wallace_square_outside_csel6_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel6+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/verilog/ex273_square_wallace_square_outside_csel6.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/aigs/ex273_square_wallace_square_outside_csel6_wreduce_abc_g_aig.aig,1,1,1,716,39,27924,15078,1.851970,0,0,0.763,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel6; flow=wreduce_abc_g_aig
ex273,ex273_square_wallace_square_outside_csel6_synth_preset,unsigned_square_x_times_x,wallace_square_outside_csel6+synth_preset,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/verilog/ex273_square_wallace_square_outside_csel6.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/aigs/ex273_square_wallace_square_outside_csel6_synth_preset.aig,1,1,1,715,39,27885,15078,1.849383,0,0,0.923,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel6; flow=synth_preset
ex273,ex273_square_wallace_square_outside_csel6_synth_preset_d20,unsigned_square_x_times_x,wallace_square_outside_csel6+synth_preset_d20,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/verilog/ex273_square_wallace_square_outside_csel6.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/aigs/ex273_square_wallace_square_outside_csel6_synth_preset_d20.aig,1,1,1,715,39,27885,15078,1.849383,0,0,0.921,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel6; flow=synth_preset_d20
ex273,ex273_square_wallace_square_outside_csel8_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel8+abc_g_aig,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/verilog/ex273_square_wallace_square_outside_csel8.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/aigs/ex273_square_wallace_square_outside_csel8_abc_g_aig.aig,1,1,1,725,38,27550,15078,1.827165,0,0,0.755,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel8; flow=abc_g_aig
ex273,ex273_square_wallace_square_outside_csel8_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel8+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/verilog/ex273_square_wallace_square_outside_csel8.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/aigs/ex273_square_wallace_square_outside_csel8_wreduce_abc_g_aig.aig,1,1,1,723,37,26751,15078,1.774174,0,0,0.774,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel8; flow=wreduce_abc_g_aig
ex273,ex273_square_wallace_square_outside_csel8_synth_preset,unsigned_square_x_times_x,wallace_square_outside_csel8+synth_preset,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/verilog/ex273_square_wallace_square_outside_csel8.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/aigs/ex273_square_wallace_square_outside_csel8_synth_preset.aig,1,1,1,724,37,26788,15078,1.776628,0,0,0.929,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel8; flow=synth_preset
ex273,ex273_square_wallace_square_outside_csel8_synth_preset_d20,unsigned_square_x_times_x,wallace_square_outside_csel8+synth_preset_d20,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/verilog/ex273_square_wallace_square_outside_csel8.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/aigs/ex273_square_wallace_square_outside_csel8_synth_preset_d20.aig,1,1,1,724,37,26788,15078,1.776628,0,0,0.927,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel8; flow=synth_preset_d20
ex274,ex274_square_high3_case_lowsq_abc_g_aig,unsigned_square_x_times_x,high3_case_lowsq+abc_g_aig,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/verilog/ex274_square_high3_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/aigs/ex274_square_high3_case_lowsq_abc_g_aig.aig,1,1,1,1512,62,93744,21630,4.333981,0,0,3.714,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=high3_case_lowsq; flow=abc_g_aig
ex274,ex274_square_high3_case_lowsq_wreduce_abc_g_aig,unsigned_square_x_times_x,high3_case_lowsq+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/verilog/ex274_square_high3_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/aigs/ex274_square_high3_case_lowsq_wreduce_abc_g_aig.aig,1,1,1,1514,62,93868,21630,4.339713,0,0,3.729,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=high3_case_lowsq; flow=wreduce_abc_g_aig
ex274,ex274_square_high3_case_lowsq_synth_preset,unsigned_square_x_times_x,high3_case_lowsq+synth_preset,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/verilog/ex274_square_high3_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/aigs/ex274_square_high3_case_lowsq_synth_preset.aig,1,1,1,1583,63,99729,21630,4.610680,0,0,5.235,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=high3_case_lowsq; flow=synth_preset
ex274,ex274_square_high3_case_lowsq_synth_preset_d20,unsigned_square_x_times_x,high3_case_lowsq+synth_preset_d20,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/verilog/ex274_square_high3_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/aigs/ex274_square_high3_case_lowsq_synth_preset_d20.aig,1,1,1,1583,63,99729,21630,4.610680,0,0,5.537,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=high3_case_lowsq; flow=synth_preset_d20
ex274,ex274_square_high4_case_lowsq_abc_g_aig,unsigned_square_x_times_x,high4_case_lowsq+abc_g_aig,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/verilog/ex274_square_high4_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/aigs/ex274_square_high4_case_lowsq_abc_g_aig.aig,1,1,1,2300,64,147200,21630,6.805363,0,0,5.191,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=high4_case_lowsq; flow=abc_g_aig
ex274,ex274_square_high4_case_lowsq_wreduce_abc_g_aig,unsigned_square_x_times_x,high4_case_lowsq+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/verilog/ex274_square_high4_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/aigs/ex274_square_high4_case_lowsq_wreduce_abc_g_aig.aig,1,1,1,2306,64,147584,21630,6.823116,0,0,4.142,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=high4_case_lowsq; flow=wreduce_abc_g_aig
ex274,ex274_square_high4_case_lowsq_synth_preset,unsigned_square_x_times_x,high4_case_lowsq+synth_preset,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/verilog/ex274_square_high4_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/aigs/ex274_square_high4_case_lowsq_synth_preset.aig,1,1,1,2484,65,161460,21630,7.464632,0,0,4.246,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=high4_case_lowsq; flow=synth_preset
ex274,ex274_square_high4_case_lowsq_synth_preset_d20,unsigned_square_x_times_x,high4_case_lowsq+synth_preset_d20,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/verilog/ex274_square_high4_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/aigs/ex274_square_high4_case_lowsq_synth_preset_d20.aig,1,1,1,2484,65,161460,21630,7.464632,0,0,4.213,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=high4_case_lowsq; flow=synth_preset_d20
ex274,ex274_square_high5_case_lowsq_abc_g_aig,unsigned_square_x_times_x,high5_case_lowsq+abc_g_aig,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/verilog/ex274_square_high5_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/aigs/ex274_square_high5_case_lowsq_abc_g_aig.aig,1,1,1,3777,62,234174,21630,10.826352,0,0,4.918,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=high5_case_lowsq; flow=abc_g_aig
ex274,ex274_square_high5_case_lowsq_wreduce_abc_g_aig,unsigned_square_x_times_x,high5_case_lowsq+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/verilog/ex274_square_high5_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/aigs/ex274_square_high5_case_lowsq_wreduce_abc_g_aig.aig,1,1,1,3775,62,234050,21630,10.820620,0,0,5.081,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=high5_case_lowsq; flow=wreduce_abc_g_aig
ex274,ex274_square_high5_case_lowsq_synth_preset,unsigned_square_x_times_x,high5_case_lowsq+synth_preset,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/verilog/ex274_square_high5_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/aigs/ex274_square_high5_case_lowsq_synth_preset.aig,1,1,1,4119,69,284211,21630,13.139667,0,0,5.155,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=high5_case_lowsq; flow=synth_preset
ex274,ex274_square_high5_case_lowsq_synth_preset_d20,unsigned_square_x_times_x,high5_case_lowsq+synth_preset_d20,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/verilog/ex274_square_high5_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/aigs/ex274_square_high5_case_lowsq_synth_preset_d20.aig,1,1,1,4119,69,284211,21630,13.139667,0,0,5.164,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=high5_case_lowsq; flow=synth_preset_d20
ex274,ex274_square_high6_case_lowsq_abc_g_aig,unsigned_square_x_times_x,high6_case_lowsq+abc_g_aig,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/verilog/ex274_square_high6_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/aigs/ex274_square_high6_case_lowsq_abc_g_aig.aig,1,1,1,6804,61,415044,21630,19.188350,0,0,7.268,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=high6_case_lowsq; flow=abc_g_aig
ex274,ex274_square_high6_case_lowsq_wreduce_abc_g_aig,unsigned_square_x_times_x,high6_case_lowsq+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/verilog/ex274_square_high6_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/aigs/ex274_square_high6_case_lowsq_wreduce_abc_g_aig.aig,1,1,1,6823,61,416203,21630,19.241933,0,0,7.349,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=high6_case_lowsq; flow=wreduce_abc_g_aig
ex274,ex274_square_high6_case_lowsq_synth_preset,unsigned_square_x_times_x,high6_case_lowsq+synth_preset,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/verilog/ex274_square_high6_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/aigs/ex274_square_high6_case_lowsq_synth_preset.aig,1,1,1,7162,65,465530,21630,21.522423,0,0,7.282,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=high6_case_lowsq; flow=synth_preset
ex274,ex274_square_high6_case_lowsq_synth_preset_d20,unsigned_square_x_times_x,high6_case_lowsq+synth_preset_d20,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/verilog/ex274_square_high6_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/aigs/ex274_square_high6_case_lowsq_synth_preset_d20.aig,1,1,1,7162,65,465530,21630,21.522423,0,0,7.584,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=high6_case_lowsq; flow=synth_preset_d20
ex274,ex274_square_wallace_square_outside_csel6_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel6+abc_g_aig,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel6.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel6_abc_g_aig.aig,1,1,1,967,44,42548,21630,1.967083,0,0,3.346,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel6; flow=abc_g_aig
ex274,ex274_square_wallace_square_outside_csel6_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel6+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel6.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel6_wreduce_abc_g_aig.aig,1,1,1,970,44,42680,21630,1.973185,0,0,3.444,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel6; flow=wreduce_abc_g_aig
ex274,ex274_square_wallace_square_outside_csel6_synth_preset,unsigned_square_x_times_x,wallace_square_outside_csel6+synth_preset,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel6.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel6_synth_preset.aig,1,1,1,964,44,42416,21630,1.960980,0,0,3.598,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel6; flow=synth_preset
ex274,ex274_square_wallace_square_outside_csel6_synth_preset_d20,unsigned_square_x_times_x,wallace_square_outside_csel6+synth_preset_d20,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel6.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel6_synth_preset_d20.aig,1,1,1,964,44,42416,21630,1.960980,0,0,3.624,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel6; flow=synth_preset_d20
ex274,ex274_square_wallace_square_outside_csel8_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel8+abc_g_aig,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel8.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel8_abc_g_aig.aig,1,1,1,957,49,46893,21630,2.167961,0,0,3.337,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel8; flow=abc_g_aig
ex274,ex274_square_wallace_square_outside_csel8_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel8+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel8.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel8_wreduce_abc_g_aig.aig,1,1,1,961,49,47089,21630,2.177023,0,0,3.367,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel8; flow=wreduce_abc_g_aig
