case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_radix4_shift_subtract_abc_g_aig,1,132,19,2508,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/aigs/ex266_udiv_radix4_shift_subtract_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=radix4_shift_subtract; flow=abc_g_aig
ex266,ex266_udiv_radix8_shift_subtract_gt_guard_synth_preset,1,196,16,3136,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/aigs/ex266_udiv_radix8_shift_subtract_gt_guard_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=radix8_shift_subtract_gt_guard; flow=synth_preset
ex267,ex267_udiv_radix4_shift_subtract_abc_g_aig,1,199,28,5572,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/aigs/ex267_udiv_radix4_shift_subtract_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract; flow=abc_g_aig
ex267,ex267_udiv_radix4_shift_subtract_wreduce_abc_g_aig,1,196,25,4900,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/aigs/ex267_udiv_radix4_shift_subtract_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract; flow=wreduce_abc_g_aig
ex267,ex267_udiv_radix4_shift_subtract_synth_preset,1,198,27,5346,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/aigs/ex267_udiv_radix4_shift_subtract_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract; flow=synth_preset
ex267,ex267_udiv_radix4_shift_subtract_gt_guard_abc_g_aig,1,215,30,6450,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/aigs/ex267_udiv_radix4_shift_subtract_gt_guard_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract_gt_guard; flow=abc_g_aig
ex267,ex267_udiv_radix4_shift_subtract_gt_guard_wreduce_abc_g_aig,1,220,30,6600,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/aigs/ex267_udiv_radix4_shift_subtract_gt_guard_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract_gt_guard; flow=wreduce_abc_g_aig
ex267,ex267_udiv_radix4_shift_subtract_gt_guard_synth_preset,1,198,27,5346,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/aigs/ex267_udiv_radix4_shift_subtract_gt_guard_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract_gt_guard; flow=synth_preset
ex267,ex267_udiv_radix8_shift_subtract_abc_g_aig,1,289,23,6647,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/aigs/ex267_udiv_radix8_shift_subtract_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=radix8_shift_subtract; flow=abc_g_aig
ex267,ex267_udiv_radix8_shift_subtract_wreduce_abc_g_aig,1,282,23,6486,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/aigs/ex267_udiv_radix8_shift_subtract_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=radix8_shift_subtract; flow=wreduce_abc_g_aig
ex267,ex267_udiv_radix8_shift_subtract_synth_preset,1,290,27,7830,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/aigs/ex267_udiv_radix8_shift_subtract_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=radix8_shift_subtract; flow=synth_preset
ex267,ex267_udiv_radix8_shift_subtract_gt_guard_abc_g_aig,1,320,28,8960,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/aigs/ex267_udiv_radix8_shift_subtract_gt_guard_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=radix8_shift_subtract_gt_guard; flow=abc_g_aig
ex267,ex267_udiv_radix8_shift_subtract_gt_guard_wreduce_abc_g_aig,1,322,29,9338,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/aigs/ex267_udiv_radix8_shift_subtract_gt_guard_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=radix8_shift_subtract_gt_guard; flow=wreduce_abc_g_aig
ex267,ex267_udiv_radix8_shift_subtract_gt_guard_synth_preset,1,289,28,8092,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/aigs/ex267_udiv_radix8_shift_subtract_gt_guard_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=radix8_shift_subtract_gt_guard; flow=synth_preset
ex269,ex269_udiv_radix4_shift_subtract_abc_g_aig,1,378,45,17010,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/aigs/ex269_udiv_radix4_shift_subtract_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=radix4_shift_subtract; flow=abc_g_aig
ex269,ex269_udiv_radix4_shift_subtract_wreduce_abc_g_aig,1,380,41,15580,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/aigs/ex269_udiv_radix4_shift_subtract_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=radix4_shift_subtract; flow=wreduce_abc_g_aig
ex269,ex269_udiv_radix4_shift_subtract_synth_preset,1,382,45,17190,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/aigs/ex269_udiv_radix4_shift_subtract_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=radix4_shift_subtract; flow=synth_preset
ex269,ex269_udiv_radix4_shift_subtract_gt_guard_abc_g_aig,1,429,47,20163,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/aigs/ex269_udiv_radix4_shift_subtract_gt_guard_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=radix4_shift_subtract_gt_guard; flow=abc_g_aig
ex269,ex269_udiv_radix4_shift_subtract_gt_guard_wreduce_abc_g_aig,1,437,46,20102,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/aigs/ex269_udiv_radix4_shift_subtract_gt_guard_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=radix4_shift_subtract_gt_guard; flow=wreduce_abc_g_aig
ex269,ex269_udiv_radix4_shift_subtract_gt_guard_synth_preset,1,382,42,16044,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/aigs/ex269_udiv_radix4_shift_subtract_gt_guard_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=radix4_shift_subtract_gt_guard; flow=synth_preset
ex269,ex269_udiv_radix8_shift_subtract_abc_g_aig,1,553,39,21567,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/aigs/ex269_udiv_radix8_shift_subtract_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=radix8_shift_subtract; flow=abc_g_aig
ex269,ex269_udiv_radix8_shift_subtract_wreduce_abc_g_aig,1,544,37,20128,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/aigs/ex269_udiv_radix8_shift_subtract_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=radix8_shift_subtract; flow=wreduce_abc_g_aig
ex269,ex269_udiv_radix8_shift_subtract_synth_preset,1,545,41,22345,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/aigs/ex269_udiv_radix8_shift_subtract_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=radix8_shift_subtract; flow=synth_preset
ex269,ex269_udiv_radix8_shift_subtract_gt_guard_abc_g_aig,1,605,43,26015,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/aigs/ex269_udiv_radix8_shift_subtract_gt_guard_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=radix8_shift_subtract_gt_guard; flow=abc_g_aig
ex269,ex269_udiv_radix8_shift_subtract_gt_guard_wreduce_abc_g_aig,1,606,44,26664,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/aigs/ex269_udiv_radix8_shift_subtract_gt_guard_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=radix8_shift_subtract_gt_guard; flow=wreduce_abc_g_aig
ex269,ex269_udiv_radix8_shift_subtract_gt_guard_synth_preset,1,545,44,23980,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/aigs/ex269_udiv_radix8_shift_subtract_gt_guard_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=radix8_shift_subtract_gt_guard; flow=synth_preset
