case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_radix4_shift_subtract_abc_g_aig,unsigned low5_high5:a/b dbz=max,radix4_shift_subtract+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/verilog/ex266_udiv_radix4_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/aigs/ex266_udiv_radix4_shift_subtract_abc_g_aig.aig,1,1,1,132,19,2508,848,2.957547,0,0,0.304,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_shift_subtract; flow=abc_g_aig
ex266,ex266_udiv_radix8_shift_subtract_gt_guard_synth_preset,unsigned low5_high5:a/b dbz=max,radix8_shift_subtract_gt_guard+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/verilog/ex266_udiv_radix8_shift_subtract_gt_guard.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/aigs/ex266_udiv_radix8_shift_subtract_gt_guard_synth_preset.aig,1,1,1,196,16,3136,848,3.698113,0,0,0.430,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix8_shift_subtract_gt_guard; flow=synth_preset
ex267,ex267_udiv_radix4_shift_subtract_abc_g_aig,unsigned low6_high6:a/b dbz=max,radix4_shift_subtract+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/verilog/ex267_udiv_radix4_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/aigs/ex267_udiv_radix4_shift_subtract_abc_g_aig.aig,1,1,1,199,28,5572,2651,2.101848,0,0,0.366,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract; flow=abc_g_aig
ex267,ex267_udiv_radix4_shift_subtract_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,radix4_shift_subtract+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/verilog/ex267_udiv_radix4_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/aigs/ex267_udiv_radix4_shift_subtract_wreduce_abc_g_aig.aig,1,1,1,196,25,4900,2651,1.848359,0,0,0.408,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract; flow=wreduce_abc_g_aig
ex267,ex267_udiv_radix4_shift_subtract_synth_preset,unsigned low6_high6:a/b dbz=max,radix4_shift_subtract+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/verilog/ex267_udiv_radix4_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/aigs/ex267_udiv_radix4_shift_subtract_synth_preset.aig,1,1,1,198,27,5346,2651,2.016598,0,0,0.430,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract; flow=synth_preset
ex267,ex267_udiv_radix4_shift_subtract_gt_guard_abc_g_aig,unsigned low6_high6:a/b dbz=max,radix4_shift_subtract_gt_guard+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/verilog/ex267_udiv_radix4_shift_subtract_gt_guard.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/aigs/ex267_udiv_radix4_shift_subtract_gt_guard_abc_g_aig.aig,1,1,1,215,30,6450,2651,2.433044,0,0,0.386,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract_gt_guard; flow=abc_g_aig
ex267,ex267_udiv_radix4_shift_subtract_gt_guard_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,radix4_shift_subtract_gt_guard+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/verilog/ex267_udiv_radix4_shift_subtract_gt_guard.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/aigs/ex267_udiv_radix4_shift_subtract_gt_guard_wreduce_abc_g_aig.aig,1,1,1,220,30,6600,2651,2.489627,0,0,0.421,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract_gt_guard; flow=wreduce_abc_g_aig
ex267,ex267_udiv_radix4_shift_subtract_gt_guard_synth_preset,unsigned low6_high6:a/b dbz=max,radix4_shift_subtract_gt_guard+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/verilog/ex267_udiv_radix4_shift_subtract_gt_guard.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/aigs/ex267_udiv_radix4_shift_subtract_gt_guard_synth_preset.aig,1,1,1,198,27,5346,2651,2.016598,0,0,0.444,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract_gt_guard; flow=synth_preset
ex267,ex267_udiv_radix8_shift_subtract_abc_g_aig,unsigned low6_high6:a/b dbz=max,radix8_shift_subtract+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/verilog/ex267_udiv_radix8_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/aigs/ex267_udiv_radix8_shift_subtract_abc_g_aig.aig,1,1,1,289,23,6647,2651,2.507356,0,0,0.456,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix8_shift_subtract; flow=abc_g_aig
ex267,ex267_udiv_radix8_shift_subtract_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,radix8_shift_subtract+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/verilog/ex267_udiv_radix8_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/aigs/ex267_udiv_radix8_shift_subtract_wreduce_abc_g_aig.aig,1,1,1,282,23,6486,2651,2.446624,0,0,0.493,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix8_shift_subtract; flow=wreduce_abc_g_aig
ex267,ex267_udiv_radix8_shift_subtract_synth_preset,unsigned low6_high6:a/b dbz=max,radix8_shift_subtract+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/verilog/ex267_udiv_radix8_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/aigs/ex267_udiv_radix8_shift_subtract_synth_preset.aig,1,1,1,290,27,7830,2651,2.953602,0,0,0.499,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix8_shift_subtract; flow=synth_preset
ex267,ex267_udiv_radix8_shift_subtract_gt_guard_abc_g_aig,unsigned low6_high6:a/b dbz=max,radix8_shift_subtract_gt_guard+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/verilog/ex267_udiv_radix8_shift_subtract_gt_guard.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/aigs/ex267_udiv_radix8_shift_subtract_gt_guard_abc_g_aig.aig,1,1,1,320,28,8960,2651,3.379857,0,0,0.493,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix8_shift_subtract_gt_guard; flow=abc_g_aig
ex267,ex267_udiv_radix8_shift_subtract_gt_guard_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,radix8_shift_subtract_gt_guard+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/verilog/ex267_udiv_radix8_shift_subtract_gt_guard.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/aigs/ex267_udiv_radix8_shift_subtract_gt_guard_wreduce_abc_g_aig.aig,1,1,1,322,29,9338,2651,3.522444,0,0,0.526,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix8_shift_subtract_gt_guard; flow=wreduce_abc_g_aig
ex267,ex267_udiv_radix8_shift_subtract_gt_guard_synth_preset,unsigned low6_high6:a/b dbz=max,radix8_shift_subtract_gt_guard+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/verilog/ex267_udiv_radix8_shift_subtract_gt_guard.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex267/aigs/ex267_udiv_radix8_shift_subtract_gt_guard_synth_preset.aig,1,1,1,289,28,8092,2651,3.052433,0,0,0.533,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix8_shift_subtract_gt_guard; flow=synth_preset
ex269,ex269_udiv_radix4_shift_subtract_abc_g_aig,unsigned low8_high8:a/b dbz=max,radix4_shift_subtract+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/verilog/ex269_udiv_radix4_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/aigs/ex269_udiv_radix4_shift_subtract_abc_g_aig.aig,1,1,1,378,45,17010,11760,1.446429,1,0,0.619,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_shift_subtract; flow=abc_g_aig
ex269,ex269_udiv_radix4_shift_subtract_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,radix4_shift_subtract+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/verilog/ex269_udiv_radix4_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/aigs/ex269_udiv_radix4_shift_subtract_wreduce_abc_g_aig.aig,1,1,1,380,41,15580,11760,1.324830,1,0,0.636,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_shift_subtract; flow=wreduce_abc_g_aig
ex269,ex269_udiv_radix4_shift_subtract_synth_preset,unsigned low8_high8:a/b dbz=max,radix4_shift_subtract+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/verilog/ex269_udiv_radix4_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/aigs/ex269_udiv_radix4_shift_subtract_synth_preset.aig,1,1,1,382,45,17190,11760,1.461735,1,0,0.674,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_shift_subtract; flow=synth_preset
ex269,ex269_udiv_radix4_shift_subtract_gt_guard_abc_g_aig,unsigned low8_high8:a/b dbz=max,radix4_shift_subtract_gt_guard+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/verilog/ex269_udiv_radix4_shift_subtract_gt_guard.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/aigs/ex269_udiv_radix4_shift_subtract_gt_guard_abc_g_aig.aig,1,1,1,429,47,20163,11760,1.714541,0,0,0.604,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_shift_subtract_gt_guard; flow=abc_g_aig
ex269,ex269_udiv_radix4_shift_subtract_gt_guard_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,radix4_shift_subtract_gt_guard+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/verilog/ex269_udiv_radix4_shift_subtract_gt_guard.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/aigs/ex269_udiv_radix4_shift_subtract_gt_guard_wreduce_abc_g_aig.aig,1,1,1,437,46,20102,11760,1.709354,0,0,0.663,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_shift_subtract_gt_guard; flow=wreduce_abc_g_aig
ex269,ex269_udiv_radix4_shift_subtract_gt_guard_synth_preset,unsigned low8_high8:a/b dbz=max,radix4_shift_subtract_gt_guard+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/verilog/ex269_udiv_radix4_shift_subtract_gt_guard.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/aigs/ex269_udiv_radix4_shift_subtract_gt_guard_synth_preset.aig,1,1,1,382,42,16044,11760,1.364286,1,0,0.681,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_shift_subtract_gt_guard; flow=synth_preset
ex269,ex269_udiv_radix8_shift_subtract_abc_g_aig,unsigned low8_high8:a/b dbz=max,radix8_shift_subtract+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/verilog/ex269_udiv_radix8_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/aigs/ex269_udiv_radix8_shift_subtract_abc_g_aig.aig,1,1,1,553,39,21567,11760,1.833929,0,0,0.737,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix8_shift_subtract; flow=abc_g_aig
ex269,ex269_udiv_radix8_shift_subtract_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,radix8_shift_subtract+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/verilog/ex269_udiv_radix8_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/aigs/ex269_udiv_radix8_shift_subtract_wreduce_abc_g_aig.aig,1,1,1,544,37,20128,11760,1.711565,0,0,0.763,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix8_shift_subtract; flow=wreduce_abc_g_aig
ex269,ex269_udiv_radix8_shift_subtract_synth_preset,unsigned low8_high8:a/b dbz=max,radix8_shift_subtract+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/verilog/ex269_udiv_radix8_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/aigs/ex269_udiv_radix8_shift_subtract_synth_preset.aig,1,1,1,545,41,22345,11760,1.900085,0,0,0.807,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix8_shift_subtract; flow=synth_preset
ex269,ex269_udiv_radix8_shift_subtract_gt_guard_abc_g_aig,unsigned low8_high8:a/b dbz=max,radix8_shift_subtract_gt_guard+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/verilog/ex269_udiv_radix8_shift_subtract_gt_guard.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/aigs/ex269_udiv_radix8_shift_subtract_gt_guard_abc_g_aig.aig,1,1,1,605,43,26015,11760,2.212160,0,0,0.746,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix8_shift_subtract_gt_guard; flow=abc_g_aig
ex269,ex269_udiv_radix8_shift_subtract_gt_guard_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,radix8_shift_subtract_gt_guard+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/verilog/ex269_udiv_radix8_shift_subtract_gt_guard.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/aigs/ex269_udiv_radix8_shift_subtract_gt_guard_wreduce_abc_g_aig.aig,1,1,1,606,44,26664,11760,2.267347,0,0,0.803,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix8_shift_subtract_gt_guard; flow=wreduce_abc_g_aig
ex269,ex269_udiv_radix8_shift_subtract_gt_guard_synth_preset,unsigned low8_high8:a/b dbz=max,radix8_shift_subtract_gt_guard+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/verilog/ex269_udiv_radix8_shift_subtract_gt_guard.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/aigs/ex269_udiv_radix8_shift_subtract_gt_guard_synth_preset.aig,1,1,1,545,44,23980,11760,2.039116,0,0,0.794,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix8_shift_subtract_gt_guard; flow=synth_preset
