case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex258,ex258_umul_wallace_bits_cla_abc_g_aig,unsigned low7_high7:a*b,wallace_bits_cla+abc_g_aig,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/verilog/ex258_umul_wallace_bits_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_cla_abc_g_aig.aig,1,1,1,348,26,9048,6289,1.438702,1,0,0.507,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_cla; flow=abc_g_aig
ex258,ex258_umul_wallace_bits_outside_cla_synth_preset_d18,unsigned low7_high7:a*b,wallace_bits_outside_cla+synth_preset_d18,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/verilog/ex258_umul_wallace_bits_outside_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_outside_cla_synth_preset_d18.aig,1,1,1,348,26,9048,6289,1.438702,1,0,0.628,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_outside_cla; flow=synth_preset_d18
ex258,ex258_umul_wallace_bits_abc_g_aig,unsigned low7_high7:a*b,wallace_bits+abc_g_aig,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/verilog/ex258_umul_wallace_bits.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_abc_g_aig.aig,1,1,1,351,25,8775,6289,1.395293,1,0,0.497,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits; flow=abc_g_aig
ex258,ex258_umul_wallace_bits_wreduce_abc_g_aig,unsigned low7_high7:a*b,wallace_bits+wreduce_abc_g_aig,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/verilog/ex258_umul_wallace_bits.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_wreduce_abc_g_aig.aig,1,1,1,351,25,8775,6289,1.395293,1,0,0.499,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits; flow=wreduce_abc_g_aig
ex258,ex258_umul_wallace_bits_synth_preset_d13,unsigned low7_high7:a*b,wallace_bits+synth_preset_d13,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/verilog/ex258_umul_wallace_bits.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_synth_preset_d13.aig,1,1,1,345,30,10350,6289,1.645731,0,0,0.628,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits; flow=synth_preset_d13
ex258,ex258_umul_wallace_bits_synth_preset_d18,unsigned low7_high7:a*b,wallace_bits+synth_preset_d18,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/verilog/ex258_umul_wallace_bits.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_synth_preset_d18.aig,1,1,1,345,30,10350,6289,1.645731,0,0,0.613,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits; flow=synth_preset_d18
ex258,ex258_umul_wallace_bits_prefix_abc_g_aig,unsigned low7_high7:a*b,wallace_bits_prefix+abc_g_aig,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/verilog/ex258_umul_wallace_bits_prefix.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_prefix_abc_g_aig.aig,1,1,1,349,26,9074,6289,1.442837,1,0,0.497,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_prefix; flow=abc_g_aig
ex258,ex258_umul_wallace_bits_prefix_wreduce_abc_g_aig,unsigned low7_high7:a*b,wallace_bits_prefix+wreduce_abc_g_aig,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/verilog/ex258_umul_wallace_bits_prefix.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_prefix_wreduce_abc_g_aig.aig,1,1,1,349,26,9074,6289,1.442837,1,0,0.504,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_prefix; flow=wreduce_abc_g_aig
ex258,ex258_umul_wallace_bits_prefix_synth_preset_d13,unsigned low7_high7:a*b,wallace_bits_prefix+synth_preset_d13,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/verilog/ex258_umul_wallace_bits_prefix.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_prefix_synth_preset_d13.aig,1,1,1,349,26,9074,6289,1.442837,1,0,0.616,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_prefix; flow=synth_preset_d13
ex258,ex258_umul_wallace_bits_prefix_synth_preset_d18,unsigned low7_high7:a*b,wallace_bits_prefix+synth_preset_d18,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/verilog/ex258_umul_wallace_bits_prefix.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_prefix_synth_preset_d18.aig,1,1,1,349,26,9074,6289,1.442837,1,0,0.628,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_prefix; flow=synth_preset_d18
ex259,ex259_umul_wallace_bits_cla_abc_g_aig,unsigned low8_high8:a*b,wallace_bits_cla+abc_g_aig,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/verilog/ex259_umul_wallace_bits_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_cla_abc_g_aig.aig,1,1,1,480,28,13440,10000,1.344000,1,0,2.059,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_cla; flow=abc_g_aig
ex259,ex259_umul_wallace_bits_cla_wreduce_abc_g_aig,unsigned low8_high8:a*b,wallace_bits_cla+wreduce_abc_g_aig,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/verilog/ex259_umul_wallace_bits_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_cla_wreduce_abc_g_aig.aig,1,1,1,479,30,14370,10000,1.437000,1,0,2.184,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_cla; flow=wreduce_abc_g_aig
ex259,ex259_umul_wallace_bits_cla_synth_preset_d13,unsigned low8_high8:a*b,wallace_bits_cla+synth_preset_d13,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/verilog/ex259_umul_wallace_bits_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_cla_synth_preset_d13.aig,1,1,1,479,29,13891,10000,1.389100,1,0,2.341,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_cla; flow=synth_preset_d13
ex259,ex259_umul_wallace_bits_cla_synth_preset_d18,unsigned low8_high8:a*b,wallace_bits_cla+synth_preset_d18,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/verilog/ex259_umul_wallace_bits_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_cla_synth_preset_d18.aig,1,1,1,479,29,13891,10000,1.389100,1,0,2.277,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_cla; flow=synth_preset_d18
ex259,ex259_umul_wallace_bits_rev_cla_abc_g_aig,unsigned low8_high8:a*b,wallace_bits_rev_cla+abc_g_aig,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/verilog/ex259_umul_wallace_bits_rev_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_rev_cla_abc_g_aig.aig,1,1,1,480,28,13440,10000,1.344000,1,0,2.024,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_rev_cla; flow=abc_g_aig
ex259,ex259_umul_wallace_bits_rev_cla_wreduce_abc_g_aig,unsigned low8_high8:a*b,wallace_bits_rev_cla+wreduce_abc_g_aig,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/verilog/ex259_umul_wallace_bits_rev_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_rev_cla_wreduce_abc_g_aig.aig,1,1,1,480,29,13920,10000,1.392000,1,0,2.089,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_rev_cla; flow=wreduce_abc_g_aig
ex259,ex259_umul_wallace_bits_rev_cla_synth_preset_d13,unsigned low8_high8:a*b,wallace_bits_rev_cla+synth_preset_d13,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/verilog/ex259_umul_wallace_bits_rev_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_rev_cla_synth_preset_d13.aig,1,1,1,479,30,14370,10000,1.437000,1,0,2.236,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_rev_cla; flow=synth_preset_d13
ex259,ex259_umul_wallace_bits_rev_cla_synth_preset_d18,unsigned low8_high8:a*b,wallace_bits_rev_cla+synth_preset_d18,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/verilog/ex259_umul_wallace_bits_rev_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_rev_cla_synth_preset_d18.aig,1,1,1,479,30,14370,10000,1.437000,1,0,2.203,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_rev_cla; flow=synth_preset_d18
ex259,ex259_umul_wallace_bits_outside_cla_abc_g_aig,unsigned low8_high8:a*b,wallace_bits_outside_cla+abc_g_aig,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/verilog/ex259_umul_wallace_bits_outside_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_outside_cla_abc_g_aig.aig,1,1,1,480,28,13440,10000,1.344000,1,0,2.047,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_outside_cla; flow=abc_g_aig
ex259,ex259_umul_wallace_bits_outside_cla_wreduce_abc_g_aig,unsigned low8_high8:a*b,wallace_bits_outside_cla+wreduce_abc_g_aig,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/verilog/ex259_umul_wallace_bits_outside_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_outside_cla_wreduce_abc_g_aig.aig,1,1,1,480,29,13920,10000,1.392000,1,0,2.087,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_outside_cla; flow=wreduce_abc_g_aig
ex259,ex259_umul_wallace_bits_outside_cla_synth_preset_d13,unsigned low8_high8:a*b,wallace_bits_outside_cla+synth_preset_d13,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/verilog/ex259_umul_wallace_bits_outside_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_outside_cla_synth_preset_d13.aig,1,1,1,480,29,13920,10000,1.392000,1,0,2.287,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_outside_cla; flow=synth_preset_d13
ex259,ex259_umul_wallace_bits_outside_cla_synth_preset_d18,unsigned low8_high8:a*b,wallace_bits_outside_cla+synth_preset_d18,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/verilog/ex259_umul_wallace_bits_outside_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_outside_cla_synth_preset_d18.aig,1,1,1,480,29,13920,10000,1.392000,1,0,2.214,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_outside_cla; flow=synth_preset_d18
ex259,ex259_umul_wallace_bits_abc_g_aig,unsigned low8_high8:a*b,wallace_bits+abc_g_aig,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/verilog/ex259_umul_wallace_bits.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_abc_g_aig.aig,1,1,1,466,34,15844,10000,1.584400,0,0,2.041,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits; flow=abc_g_aig
ex259,ex259_umul_wallace_bits_wreduce_abc_g_aig,unsigned low8_high8:a*b,wallace_bits+wreduce_abc_g_aig,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/verilog/ex259_umul_wallace_bits.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_wreduce_abc_g_aig.aig,1,1,1,466,34,15844,10000,1.584400,0,0,2.025,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits; flow=wreduce_abc_g_aig
ex259,ex259_umul_wallace_bits_synth_preset_d13,unsigned low8_high8:a*b,wallace_bits+synth_preset_d13,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/verilog/ex259_umul_wallace_bits.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_synth_preset_d13.aig,1,1,1,468,34,15912,10000,1.591200,0,0,2.135,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits; flow=synth_preset_d13
ex259,ex259_umul_wallace_bits_synth_preset_d18,unsigned low8_high8:a*b,wallace_bits+synth_preset_d18,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/verilog/ex259_umul_wallace_bits.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_synth_preset_d18.aig,1,1,1,468,34,15912,10000,1.591200,0,0,2.138,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits; flow=synth_preset_d18
ex259,ex259_umul_wallace_bits_prefix_abc_g_aig,unsigned low8_high8:a*b,wallace_bits_prefix+abc_g_aig,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/verilog/ex259_umul_wallace_bits_prefix.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_prefix_abc_g_aig.aig,1,1,1,483,28,13524,10000,1.352400,1,0,2.010,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_prefix; flow=abc_g_aig
ex259,ex259_umul_wallace_bits_prefix_wreduce_abc_g_aig,unsigned low8_high8:a*b,wallace_bits_prefix+wreduce_abc_g_aig,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/verilog/ex259_umul_wallace_bits_prefix.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_prefix_wreduce_abc_g_aig.aig,1,1,1,483,28,13524,10000,1.352400,1,0,2.020,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_prefix; flow=wreduce_abc_g_aig
ex259,ex259_umul_wallace_bits_prefix_synth_preset_d13,unsigned low8_high8:a*b,wallace_bits_prefix+synth_preset_d13,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/verilog/ex259_umul_wallace_bits_prefix.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_prefix_synth_preset_d13.aig,1,1,1,478,30,14340,10000,1.434000,1,0,2.198,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_prefix; flow=synth_preset_d13
ex259,ex259_umul_wallace_bits_prefix_synth_preset_d18,unsigned low8_high8:a*b,wallace_bits_prefix+synth_preset_d18,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/verilog/ex259_umul_wallace_bits_prefix.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_prefix_synth_preset_d18.aig,1,1,1,478,30,14340,10000,1.434000,1,0,2.221,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_prefix; flow=synth_preset_d18
