round,run_id,agent_id,case,candidate_id,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,status,notes,shard_csv,domain,family,hypothesis,representation,sharing_strategy,shared_structure,synth_flow,method_signature,log_path,official_status,simulation_pass,reference_adp,current_adp,frontend_best_adp,beats_frontend,beats_current,beats_reference
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex260,ex260_r80_quadrant_word_lut_abc_g_aig,1,227,11,2497,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex260/verilog/ex260_r80_quadrant_word_lut.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex260/aigs/ex260_r80_quadrant_word_lut_abc_g_aig.aig,student/runs/integer/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex260/official_eval/ex260_r80_quadrant_word_lut_abc_g_aig/ex260_r80_quadrant_word_lut_abc_g_aig.evaluate.py.log,OK,frontend/source-only candidate; no backend portfolio,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/evaluation_results.csv,,,,,,,,,,,,,,,,,
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex260,ex260_r80_bias_correct_unsigned_synth_preset_d13,1,131,19,2489,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex260/verilog/ex260_r80_bias_correct_unsigned.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex260/aigs/ex260_r80_bias_correct_unsigned_synth_preset_d13.aig,student/runs/integer/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex260/official_eval/ex260_r80_bias_correct_unsigned_synth_preset_d13/ex260_r80_bias_correct_unsigned_synth_preset_d13.evaluate.py.log,OK,frontend/source-only candidate; no backend portfolio,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/evaluation_results.csv,,,,,,,,,,,,,,,,,
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex266,ex266_r80_mixed_region_udiv_synth_preset_d10,1,89,28,2492,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex266/verilog/ex266_r80_mixed_region_udiv.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex266/aigs/ex266_r80_mixed_region_udiv_synth_preset_d10.aig,student/runs/integer/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex266/official_eval/ex266_r80_mixed_region_udiv_synth_preset_d10/ex266_r80_mixed_region_udiv_synth_preset_d10.evaluate.py.log,OK,frontend/source-only candidate; no backend portfolio,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/evaluation_results.csv,,,,,,,,,,,,,,,,,
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex266,ex266_r80_parallel_topbits_abc_g_aig,1,160,40,6400,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex266/verilog/ex266_r80_parallel_topbits.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex266/aigs/ex266_r80_parallel_topbits_abc_g_aig.aig,student/runs/integer/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex266/official_eval/ex266_r80_parallel_topbits_abc_g_aig/ex266_r80_parallel_topbits_abc_g_aig.evaluate.py.log,OK,frontend/source-only candidate; no backend portfolio,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/evaluation_results.csv,,,,,,,,,,,,,,,,,
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex265,ex265_r80_mixed_region_udiv_synth_preset_d10,1,49,18,882,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex265/verilog/ex265_r80_mixed_region_udiv.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex265/aigs/ex265_r80_mixed_region_udiv_synth_preset_d10.aig,student/runs/integer/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex265/official_eval/ex265_r80_mixed_region_udiv_synth_preset_d10/ex265_r80_mixed_region_udiv_synth_preset_d10.evaluate.py.log,OK,frontend/source-only candidate; no backend portfolio,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/evaluation_results.csv,,,,,,,,,,,,,,,,,
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex267,ex267_r80_mixed_region_udiv_synth_preset_d18,1,142,40,5680,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex267/verilog/ex267_r80_mixed_region_udiv.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex267/aigs/ex267_r80_mixed_region_udiv_synth_preset_d18.aig,student/runs/integer/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex267/official_eval/ex267_r80_mixed_region_udiv_synth_preset_d18/ex267_r80_mixed_region_udiv_synth_preset_d18.evaluate.py.log,OK,frontend/source-only candidate; no backend portfolio,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/evaluation_results.csv,,,,,,,,,,,,,,,,,
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex270,ex270_r80_square_balanced_term_tree_abc_g_aig,1,209,30,6270,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex270/verilog/ex270_r80_square_balanced_term_tree.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex270/aigs/ex270_r80_square_balanced_term_tree_abc_g_aig.aig,student/runs/integer/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex270/official_eval/ex270_r80_square_balanced_term_tree_abc_g_aig/ex270_r80_square_balanced_term_tree_abc_g_aig.evaluate.py.log,OK,frontend/source-only candidate; no backend portfolio,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/evaluation_results.csv,,,,,,,,,,,,,,,,,
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex273,ex273_r80_square_balanced_term_tree_synth_preset_d32,1,751,46,34546,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex273/verilog/ex273_r80_square_balanced_term_tree.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex273/aigs/ex273_r80_square_balanced_term_tree_synth_preset_d32.aig,student/runs/integer/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex273/official_eval/ex273_r80_square_balanced_term_tree_synth_preset_d32/ex273_r80_square_balanced_term_tree_synth_preset_d32.evaluate.py.log,OK,frontend/source-only candidate; no backend portfolio,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/evaluation_results.csv,,,,,,,,,,,,,,,,,
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex274,ex274_r80_square_balanced_term_tree_synth_preset_d40,1,966,61,58926,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex274/verilog/ex274_r80_square_balanced_term_tree.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex274/aigs/ex274_r80_square_balanced_term_tree_synth_preset_d40.aig,student/runs/integer/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex274/official_eval/ex274_r80_square_balanced_term_tree_synth_preset_d40/ex274_r80_square_balanced_term_tree_synth_preset_d40.evaluate.py.log,OK,frontend/source-only candidate; no backend portfolio,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/evaluation_results.csv,,,,,,,,,,,,,,,,,
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex276,ex276_r80_hi6_interval_wordmux_abc_g_aig,1,195,32,6240,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex276/verilog/ex276_r80_hi6_interval_wordmux.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex276/aigs/ex276_r80_hi6_interval_wordmux_abc_g_aig.aig,student/runs/integer/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex276/official_eval/ex276_r80_hi6_interval_wordmux_abc_g_aig/ex276_r80_hi6_interval_wordmux_abc_g_aig.evaluate.py.log,OK,frontend/source-only candidate; no backend portfolio,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/evaluation_results.csv,,,,,,,,,,,,,,,,,
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-large-r80,ex297,ex297_r80_pairsel_pairxor_lowhi_pairs_2_3_10_11,1,26677,16,426832,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-large-r80/ex297/verilog/ex297_r80_pairsel_pairxor_lowhi_pairs_2_3_10_11.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-large-r80/ex297/aigs/ex297_r80_pairsel_pairxor_lowhi_pairs_2_3_10_11.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-large-r80/ex297/logs/ex297_r80_pairsel_pairxor_lowhi_pairs_2_3_10_11.evaluate.py.log,OK,,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-large-r80/evaluation_results.csv,,,,,,,,,,,,,,,,,
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-large-r80,ex299,ex299_r80_static_celllocal_hightail_10_11,1,98781,18,1778058,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-large-r80/ex299/verilog/ex299_r80_static_celllocal_hightail_10_11.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-large-r80/ex299/aigs/ex299_r80_static_celllocal_hightail_10_11.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-large-r80/ex299/logs/ex299_r80_static_celllocal_hightail_10_11.evaluate.py.log,OK,,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-large-r80/evaluation_results.csv,,,,,,,,,,,,,,,,,
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-large-r80,ex299,ex299_r80_static_celllocal_edge_quads_0_1_14_15,1,98773,18,1777914,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-large-r80/ex299/verilog/ex299_r80_static_celllocal_edge_quads_0_1_14_15.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-large-r80/ex299/aigs/ex299_r80_static_celllocal_edge_quads_0_1_14_15.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-large-r80/ex299/logs/ex299_r80_static_celllocal_edge_quads_0_1_14_15.evaluate.py.log,OK,,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-large-r80/evaluation_results.csv,,,,,,,,,,,,,,,,,
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-route-r80,ex285,ex285_r80_layer_pairdesc_edge_cofactor,1,809,19,15371,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-route-r80/ex285/verilog/ex285_r80_layer_pairdesc_edge_cofactor.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-route-r80/ex285/aigs/ex285_r80_layer_pairdesc_edge_cofactor.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-route-r80/ex285/logs/ex285_r80_layer_pairdesc_edge_cofactor.evaluate.py.log,OK,official evaluate.py OK; synth_flow=yosys_internal_abc_g_aig; synth_sec=18.020; eval_sec=0.184,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-route-r80/evaluation_results.csv,,,,,,,,,,,,,,,,,
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-route-r80,ex285,ex285_r80_center_outer_cofactor_mix,1,812,18,14616,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-route-r80/ex285/verilog/ex285_r80_center_outer_cofactor_mix.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-route-r80/ex285/aigs/ex285_r80_center_outer_cofactor_mix.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-route-r80/ex285/logs/ex285_r80_center_outer_cofactor_mix.evaluate.py.log,OK,official evaluate.py OK; synth_flow=yosys_internal_abc_g_aig; synth_sec=19.160; eval_sec=0.184,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-route-r80/evaluation_results.csv,,,,,,,,,,,,,,,,,
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-route-r80,ex288,ex288_r80_pairdesc_k6_cofactor,1,2287,15,34305,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-route-r80/ex288/verilog/ex288_r80_pairdesc_k6_cofactor.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-route-r80/ex288/aigs/ex288_r80_pairdesc_k6_cofactor.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-route-r80/ex288/logs/ex288_r80_pairdesc_k6_cofactor.evaluate.py.log,OK,official evaluate.py OK; synth_flow=yosys_internal_abc_g_aig; synth_sec=4.244; eval_sec=0.643,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-route-r80/evaluation_results.csv,,,,,,,,,,,,,,,,,
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-route-r80,ex288,ex288_r80_midlayer_k6_cofactor,1,2267,16,36272,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-route-r80/ex288/verilog/ex288_r80_midlayer_k6_cofactor.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-route-r80/ex288/aigs/ex288_r80_midlayer_k6_cofactor.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-route-r80/ex288/logs/ex288_r80_midlayer_k6_cofactor.evaluate.py.log,OK,official evaluate.py OK; synth_flow=yosys_internal_abc_g_aig; synth_sec=4.554; eval_sec=0.610,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-route-r80/evaluation_results.csv,,,,,,,,,,,,,,,,,
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-route-r80,ex292,ex292_r80_mod4_mirror_lane_cofactor,1,6750,22,148500,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-route-r80/ex292/verilog/ex292_r80_mod4_mirror_lane_cofactor.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-route-r80/ex292/aigs/ex292_r80_mod4_mirror_lane_cofactor.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-route-r80/ex292/logs/ex292_r80_mod4_mirror_lane_cofactor.evaluate.py.log,OK,official evaluate.py OK; synth_flow=yosys_internal_abc_g_aig; synth_sec=6.325; eval_sec=0.394,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-route-r80/evaluation_results.csv,,,,,,,,,,,,,,,,,
